Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,Volatility,Trend,RSI_Condition,Volatility_Condition
2015-01-01,199.27,200.55,198.67,199.63,2740000.0,,,,,,,
2015-01-02,199.67,201.46,198.82,199.1,6770000.0,,,,,,,
2015-01-05,198.98,200.3,196.53,196.92,9330000.0,,,,,,,
2015-01-06,195.61,196.28,187.06,187.98,17190000.0,,,,,,,
2015-01-07,188.21,193.09,188.19,192.08,19120000.0,195.142,,,,,,
2015-01-08,193.38,194.01,188.89,189.32,18340000.0,193.07999999999998,,,,,,
2015-01-09,190.75,193.81,189.98,193.42,12360000.0,191.944,,,,,,
2015-01-12,193.47,193.58,189.22,191.18,9320000.0,190.796,,,,,,
2015-01-13,191.78,192.22,188.97,189.57,9180000.0,191.11399999999998,,,,,,
2015-01-14,189.53,190.43,186.88,187.72,10500000.0,190.24200000000002,,,,,,
2015-01-15,188.86,195.85,188.86,194.31,15620000.0,191.24,,,,,,
2015-01-16,193.36,196.73,191.57,195.54,17660000.0,191.66400000000002,,,,,,
2015-01-19,195.65,199.2,193.08,197.77,12310000.0,192.982,,,,,,
2015-01-20,198.19,203.6,197.59,203.04,12330000.0,195.676,,,,,,
2015-01-21,203.47,204.91,200.56,203.87,15770000.0,198.906,,54.768331084120554,,,RSI_NORMAL,
2015-01-22,203.51,203.97,197.74,198.7,21900000.0,199.78400000000002,,49.59266802443992,,,RSI_NORMAL,
2015-01-23,200.1,201.86,197.18,199.4,16690000.000000002,200.55599999999998,,52.603947921041595,,,RSI_NORMAL,
2015-01-27,200.75,201.61,197.97,199.89,16559999.999999998,200.98,,65.20296145008933,,,RSI_NORMAL,
2015-01-28,199.23,204.55,199.23,203.89,17810000.0,201.15,,65.1138981315587,,,RSI_NORMAL,
2015-01-29,203.95,210.11,203.9,208.96,33340000.000000004,202.168,196.6145,73.73127114548092,,BULLISH,RSI_HIGH,
2015-01-30,209.1,209.38,204.37,205.78,20070000.0,203.584,196.92199999999997,65.2743450321305,0.020029254532010567,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-02,205.96,206.82,203.63,204.16,17820000.0,204.536,197.175,66.29016064257024,0.020122851849255496,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-03,205.32,211.53,205.32,210.8,15780000.0,206.718,197.86899999999997,73.65723200356584,0.021040196104260847,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-04,211.14,212.2,208.17,208.83,12990000.0,207.706,198.9115,73.46076905979105,0.01793435259275392,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-05,210.44,211.32,206.31,207.68,11410000.0,207.45,199.6915,66.90265486725662,0.01765885790685072,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-06,207.77,209.1,203.02,204.58,8350000.0,207.20999999999998,200.4545,60.91260260743603,0.017689907567734864,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-09,202.62,206.4,200.55,201.61,8160000.0,206.7,200.864,54.55407969639469,0.01764219729987577,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-10,201.9,203.36,193.65,198.3,12600000.0,204.2,201.22,44.10447761194033,0.017873016743335714,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-11,199.2,203.42,198.53,202.51,9030000.0,202.936,201.86700000000002,48.43965121615418,0.01819173645702831,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
