Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,Volatility,Trend,RSI_Condition,Volatility_Condition
2015-01-01,1279.1,1291.18,1275.02,1281.84,244690.0,,,,,,,
2015-01-02,1278.11,1293.92,1278.11,1288.11,512600.0,,,,,,,
2015-01-05,1284.53,1294.26,1262.3,1266.62,385400.0,,,,,,,
2015-01-06,1262.32,1269.22,1242.71,1253.04,979970.0,,,,,,,
2015-01-07,1257.36,1272.08,1241.65,1247.18,665770.0,1267.358,,,,,,
2015-01-08,1248.96,1274.6,1248.96,1268.05,880470.0,1264.6,,,,,,
2015-01-09,1268.72,1328.95,1268.72,1324.23,1500000.0,1271.824,,,,,,
2015-01-12,1332.45,1363.09,1326.53,1360.62,1730000.0,1290.624,,,,,,
2015-01-13,1365.56,1369.61,1351.23,1364.12,1510000.0,1312.84,,,,,,
2015-01-14,1365.56,1381.34,1359.38,1379.17,821110.0,1339.2379999999998,,,,,,
2015-01-15,1381.88,1383.34,1367.09,1374.35,1170000.0,1360.498,,,,,,
2015-01-16,1375.93,1393.2,1368.82,1391.72,1920000.0,1373.9959999999999,,,,,,
2015-01-19,1390.75,1393.22,1374.99,1383.46,533100.0,1378.5639999999999,,,,,,
2015-01-20,1380.9,1393.2,1380.9,1384.23,624020.0,1382.586,,,,,,
2015-01-21,1383.84,1391.2,1377.31,1381.61,1050000.0,1383.074,,73.41688963995679,,,RSI_HIGH,
2015-01-22,1381.71,1385.81,1358.14,1362.64,1230000.0,1380.7320000000002,,66.50866078943875,,,RSI_NORMAL,
2015-01-23,1368.94,1385.32,1363.58,1373.83,998750.0,1377.154,,74.88279255442606,,,RSI_HIGH,
2015-01-27,1373.39,1393.17,1363.83,1391.57,988240.0,1378.776,,81.5428753586229,,,RSI_HIGH,
2015-01-28,1386.45,1425.34,1386.45,1419.58,1190000.0,1385.846,,85.65814511458589,,,RSI_HIGH,
2015-01-29,1421.88,1447.57,1420.4,1434.92,1890000.0,1396.508,1346.5445,85.32238262562973,,BULLISH,RSI_HIGH,
2015-01-30,1448.06,1477.95,1401.7,1417.18,2350000.0,1407.416,1353.3115,73.49951964403093,0.015123867175178166,BULLISH,RSI_HIGH,LOW_VOLATILITY
2015-02-02,1468.32,1479.73,1418.99,1430.3,3900000.0,1418.7099999999998,1360.4209999999998,69.96561604584527,0.015151601656168386,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-03,1442.13,1445.1,1417.92,1442.21,1220000.0,1428.8380000000002,1369.2005,71.34656388387732,0.014241566574778238,BULLISH,RSI_HIGH,LOW_VOLATILITY
2015-02-04,1445.1,1445.1,1403.15,1409.16,875720.0,1426.7540000000001,1377.0065,57.46354088895526,0.015248023006331159,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-05,1408.59,1433.22,1405.57,1416.81,801390.0,1423.132,1385.4879999999998,60.42014331991756,0.015041729599429086,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-06,1417.92,1443.1,1408.02,1413.16,855640.0,1422.328,1392.7435,55.641511419850566,0.014970034573688243,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-09,1403.1,1419.9,1388.83,1393.44,677980.0,1414.9560000000001,1396.2040000000002,52.47667262259282,0.012492745164089184,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-10,1385.81,1386.6,1357.9,1364.81,1420000.0,1399.4759999999999,1396.4135,45.766111450248516,0.01207228569118772,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-11,1368.52,1412.0,1368.45,1403.97,1440000.0,1398.4379999999999,1398.4060000000002,54.20490446818117,0.013649637136754872,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-12,1412.98,1440.16,1405.87,1437.34,699480.0,1402.544,1401.3145,63.32595975453116,0.014393145760715412,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-13,1442.63,1443.81,1424.0,1426.1,683740.0,1405.132,1403.902,59.32294081974815,0.014514656178613765,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-16,1430.28,1456.44,1428.67,1432.52,869680.0,1412.9479999999999,1405.942,57.6112412177986,0.014311897661039264,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-18,1422.37,1440.16,1411.5,1428.92,2320000.0,1425.77,1408.2150000000001,51.90923957481605,0.014238056464939457,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-19,1432.75,1432.75,1395.74,1398.24,1500000.0,1424.624,1408.9155,42.94452565976763,0.015154737116114371,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-20,1388.28,1396.36,1380.5,1388.38,777800.0,1414.8319999999999,1409.2540000000001,44.287074506069985,0.015243272014893188,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-23,1388.28,1404.09,1364.72,1372.84,1080000.0,1404.1799999999998,1409.7640000000001,38.710311222885885,0.015130008499962053,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-24,1378.43,1387.32,1373.95,1379.04,873150.0,1393.484,1410.0245,37.3035333842505,0.015052996443210318,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-25,1385.81,1387.29,1359.73,1364.84,1310000.0,1380.6680000000001,1408.6879999999999,40.361864996520495,0.01492329382816102,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-26,1370.89,1370.89,1353.7,1357.7,2130000.0,1372.56,1405.594,37.11695218168347,0.014100469888813126,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-27,1360.1,1408.04,1354.54,1401.0,1050000.0,1375.084,1403.898,47.740280978220454,0.01580414881649729,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-28,1411.21,1417.92,1384.03,1414.61,409220.0,1383.4379999999999,1403.7694999999999,54.025480129302125,0.01574530897659161,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-02,1422.27,1430.28,1407.48,1413.01,820080.0,1390.232,1402.905,60.21532722956937,0.015595386475923718,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-03,1423.85,1439.47,1400.66,1436.95,1010000.0,1404.654,1402.642,57.47168101495243,0.015966414508818798,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-04,1437.69,1452.01,1415.75,1422.62,1100000.0,1417.638,1403.315,46.35029257165526,0.015236957948852528,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-05,1422.87,1439.07,1408.59,1421.95,862520.0,1421.828,1403.572,48.91412423465386,0.015195299136887526,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-09,1413.97,1413.97,1373.95,1388.95,1280000.0,1416.6960000000001,1402.3615,39.99173060136905,0.016074960159286087,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-10,1360.34,1406.07,1360.34,1403.0,1260000.0,1414.694,1402.8395,44.31877958968962,0.01593408974530777,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-11,1403.15,1454.36,1390.75,1443.44,2510000.0,1415.992,1406.7710000000002,59.50058853203297,0.016327564969730157,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-12,1451.69,1452.53,1409.16,1411.5,2220000.0,1413.768,1407.1475,54.446837975073066,0.016059562928553248,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-13,1421.88,1421.88,1387.29,1392.43,1420000.0,1407.864,1404.902,53.71740863030858,0.015351032820420532,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-16,1402.12,1403.33,1390.75,1397.15,2350000.0,1409.5040000000001,1403.4545,53.45597496278771,0.01531174829838565,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-17,1405.08,1423.75,1398.61,1414.42,2570000.0,1411.788,1402.5495,59.351893767919165,0.0155569360468951,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-18,1419.9,1422.87,1378.4,1383.59,7610000.0,1399.818,1400.283,54.48280638570486,0.016268223931633057,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-19,686.73,692.56,676.85,678.97,5620000.0,1253.3120000000001,1364.3195,12.002020861181578,0.11484001222161734,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-20,680.75,681.79,664.99,670.23,3620000.0,1108.872,1328.4119999999998,10.623981718541714,0.11479716532453497,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-23,675.86,677.29,642.46,648.98,3670000.0,959.238,1292.2189999999998,10.407619679335042,0.11474797069905705,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-24,653.13,659.56,644.24,651.8,3790000.0,806.7139999999999,1255.857,8.40264900662251,0.11474549146539033,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-25,655.11,655.11,643.25,648.54,3050000.0,659.704,1220.042,8.502380237594892,0.11479264871458549,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-26,648.19,657.09,640.44,643.4,3770000.0,652.5899999999999,1184.327,8.461825748279352,0.11476741691473467,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-27,646.22,653.53,631.4,638.21,3220000.0,646.1859999999999,1146.1875,8.72061055270855,0.11403239889628312,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-30,640.19,644.98,611.29,619.49,3890000.0,640.288,1106.4315000000001,7.138871565956606,0.1136671287042352,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-03-31,625.57,631.99,619.05,622.21,3130000.0,634.3700000000001,1066.8915000000002,3.1416540186467756,0.11375022456278759,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-01,623.0,631.1,621.52,625.17,4890000.0,629.6960000000001,1026.3025000000002,3.5984468494411743,0.11351374868984905,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-06,627.54,639.8,627.54,635.69,5050000.0,628.1540000000001,986.9559999999999,4.889360484524772,0.1139368268430292,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-07,638.66,648.19,637.28,645.08,1920000.0,629.528,948.1125,5.415979986483762,0.1141955210100916,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-08,649.13,667.96,648.19,664.3,3510000.0,638.49,911.8800000000001,5.634152688731675,0.114955645951239,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-09,671.81,672.5,654.91,662.42,1880000.0,646.5319999999999,874.851,5.833935548669189,0.11477432529792245,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-10,662.82,665.44,647.21,652.34,1680000.0,651.966,835.296,39.076216260562774,0.11406217115114912,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-13,656.79,666.38,642.91,656.49,1360000.0,656.126,797.5455,44.14322250639384,0.11433600742594548,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-15,656.49,663.66,648.19,652.0,3790000.0,657.51,760.524,51.50188979510642,0.11439030145524909,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-16,654.81,656.35,636.83,648.24,1850000.0,654.298,723.0785,48.24595979503353,0.11427761857249871,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-17,644.24,645.23,626.6,633.42,2220000.0,648.4979999999999,684.0285,43.31210191082801,0.11389119002384586,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-20,633.37,633.37,615.09,624.78,2300000.0,642.986,646.088,42.01132658314741,0.11393637338782041,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-21,616.62,636.58,614.6,629.91,1500000.0,637.67,643.635,46.43715659340656,0.015401223779758822,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-04-22,627.44,628.33,615.19,622.31,3460000.0,631.732,641.2389999999999,51.33826879271068,0.015376766058106527,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-04-23,624.78,629.72,603.88,607.88,3890000.0,623.66,639.184,43.87973007602287,0.014658229589360514,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-04-24,604.42,607.39,571.22,580.51,3380000.0,613.0780000000001,635.6195,34.21685043822448,0.017254359878638686,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-27,584.07,589.35,558.38,580.26,4640000.0,604.174,632.2055,28.877372151512787,0.01729338177676739,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-28,580.9,604.72,573.1,601.36,1780000.0,598.464,630.1034999999999,34.70472991883568,0.019631053140798275,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-04-29,600.77,619.39,594.94,609.56,1730000.0,595.914,628.6709999999999,29.24943138741469,0.019944570950122593,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-04-30,608.67,618.35,591.18,613.96,2980000.0,597.13,628.3945,31.974408570153273,0.018969072633608402,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-05-04,615.49,617.41,595.82,604.47,2860000.0,601.922,627.5074999999999,32.11537024583427,0.01922943371818829,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-05-05,609.66,612.62,597.65,602.69,2830000.0,606.408,626.3835,29.53750190171918,0.019179453203395893,BEARISH,RSI_LOW,HIGH_VOLATILITY
2015-05-06,604.72,609.02,592.86,601.65,3150000.0,606.466,624.6814999999999,30.333567690024225,0.018680700746922064,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-05-07,594.84,610.65,592.86,606.94,1950000.0,605.942,622.7745,34.05897792187744,0.018434604587500736,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-05-08,614.6,617.46,608.67,614.01,1400000.0,605.952,620.26,42.031365465144944,0.01714306339521036,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-05-11,617.56,632.29,610.65,623.79,2020000.0,609.816,618.3285,49.59733181485398,0.01770224846457237,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-05-12,625.47,631.2,604.77,608.87,2540000.0,611.052,616.155,42.07353827606994,0.01812408508285058,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
