Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,Volatility,Trend,RSI_Condition,Volatility_Condition
2015-01-01,98.53,99.26,97.8,98.66,24850.0,,,,,,,
2015-01-02,98.8,99.26,97.11,97.79,38070.0,,,,,,,
2015-01-05,97.24,101.12,96.01,97.9,379020.0,,,,,,,
2015-01-06,97.8,99.71,95.8,96.53,189780.0,,,,,,,
2015-01-07,99.42,100.9,97.22,99.03,274840.0,97.982,,,,,,
2015-01-08,100.66,100.66,97.81,99.96,194430.0,98.24199999999999,,,,,,
2015-01-09,99.92,100.46,97.2,97.94,99540.0,98.272,,,,,,
2015-01-12,97.93,99.27,95.31,96.35,92340.0,97.96199999999999,,,,,,
2015-01-13,97.41,97.54,94.47,94.68,132180.0,97.59200000000001,,,,,,
2015-01-14,95.33,96.4,92.48,92.84,233860.0,96.354,,,,,,
2015-01-15,93.98,94.85,91.26,94.47,355590.0,95.256,,,,,,
2015-01-16,94.41,94.41,92.48,92.63,67410.0,94.194,,,,,,
2015-01-19,92.74,95.74,92.74,95.25,105390.0,93.974,,,,,,
2015-01-20,96.79,98.25,95.74,96.17,221470.0,94.272,,,,,,
2015-01-21,96.93,97.58,95.12,95.41,37590.0,94.786,,42.13836477987421,,,RSI_NORMAL,
2015-01-22,96.38,98.95,92.81,94.42,334200.0,94.776,,41.895141895141876,,,RSI_NORMAL,
2015-01-23,96.07,99.34,95.14,96.14,845010.0,95.47800000000001,,46.071428571428555,,,RSI_NORMAL,
2015-01-27,96.4,99.33,95.47,97.34,373000.0,95.89599999999999,,51.82186234817815,,,RSI_NORMAL,
2015-01-28,97.8,99.46,97.79,98.75,343330.0,96.412,,49.33774834437086,,,RSI_NORMAL,
2015-01-29,99.12,99.12,95.54,96.44,222460.0,96.618,96.435,42.18472468916519,,BULLISH,RSI_NORMAL,
2015-01-30,95.8,98.59,95.8,97.05,190210.0,97.14399999999999,96.3545,47.89199431549029,0.016874255312031253,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-02,97.05,98.34,95.8,96.63,81070.0,97.24199999999999,96.2965,50.70210631895687,0.01679003823511698,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-03,96.61,98.33,93.81,94.37,143710.0,96.648,96.12,49.2450073063809,0.017545748292039465,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-04,94.6,98.6,94.6,97.98,567070.0,96.494,96.1925,61.52466367713004,0.01940790446751305,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-05,97.99,101.59,97.46,99.38,1150000.0,97.08200000000001,96.21,61.123697326687804,0.018785221565812495,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-06,100.08,100.91,97.0,98.2,192600.0,97.312,96.12199999999999,63.0079402148529,0.01884785978456635,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-09,98.26,99.79,97.14,97.59,75070.0,97.50399999999999,96.1045,56.03092783505156,0.018339155630423903,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-10,97.33,98.4,94.93,96.61,198190.0,97.952,96.11749999999999,51.13052415210688,0.018101734630705458,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-11,97.15,99.06,95.24,98.62,165100.0,98.08,96.31450000000001,57.74987928536941,0.018156343899582587,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-12,99.12,99.31,96.8,97.54,62440.0,97.712,96.5495,57.500000000000014,0.01771825012527699,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-13,98.13,98.46,96.96,97.36,32290.0,97.54400000000001,96.69399999999999,53.16718587746625,0.01738544287885949,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-16,97.47,99.97,97.0,97.32,50370.0,97.49,96.9285,49.94475138121544,0.01667414376065976,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-18,97.69,100.25,97.61,99.34,222040.0,98.036,97.13300000000001,51.57669695350081,0.016140325210008247,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-19,99.79,100.06,97.13,97.6,83010.0,97.83200000000001,97.2045,53.197353914002186,0.01661852790404194,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-20,98.1,99.06,96.81,97.02,49660.0,97.728,97.285,49.91717283268912,0.016569786676244792,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-23,97.93,98.9,96.21,96.72,59140.0,97.6,97.4,50.25013896609228,0.01638638123576728,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-24,97.3,98.99,96.35,97.37,77730.0,97.60999999999999,97.4615,59.15750915750914,0.015958950596269294,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-25,97.8,98.8,95.8,96.35,55440.0,97.012,97.412,44.089920232052194,0.01589667581775389,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-26,96.9,98.46,95.14,97.83,77920.0,97.05799999999999,97.366,44.41240086517667,0.01594093541338029,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-27,97.93,100.16,96.67,99.24,103350.0,97.502,97.506,53.68794326241131,0.01529279889771412,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-02-28,98.55,99.59,96.87,97.55,22450.0,97.66799999999999,97.53099999999999,49.868247694334634,0.015791880457158146,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-02,97.6,98.13,96.67,96.98,41580.0,97.59,97.54849999999999,51.25253893026407,0.01581924312588541,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-03,97.0,98.99,96.53,97.76,109680.0,97.872,97.71799999999999,46.82422451994093,0.014875309826031217,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-04,97.73,99.73,96.48,96.88,104940.0,97.682,97.663,47.52623688155919,0.01232674384613222,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-05,97.33,99.06,96.93,97.71,55330.0,97.376,97.57950000000001,51.25089349535379,0.012028445028351532,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-09,97.14,98.46,96.2,97.11,58620.0,97.288,97.525,49.27835051546394,0.011816565674346769,BEARISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-10,97.73,99.13,96.87,98.48,79120.0,97.58800000000001,97.56949999999999,46.90647482014389,0.012167205575966402,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-11,97.86,99.39,93.94,98.21,445570.0,97.678,97.6495,52.45374094931616,0.011940937625453974,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-12,97.67,100.19,97.67,98.17,104670.0,97.93599999999999,97.627,54.835996635828444,0.010982435942741543,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-13,98.99,103.12,98.47,100.11,527640.0,98.416,97.7555,62.52771618625276,0.01152942927563032,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-16,98.13,101.06,97.27,99.0,410550.0,98.794,97.8375,55.82558970693351,0.011845733375471377,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-17,100.11,100.19,97.47,99.08,353610.0,98.91400000000002,97.9255,60.45977011494255,0.011841757933430074,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-18,99.66,100.35,97.8,99.03,416590.0,99.078,97.91,55.1635111876076,0.010887214010232097,BULLISH,RSI_NORMAL,LOW_VOLATILITY
2015-03-19,99.13,99.13,97.54,98.4,138460.0,99.124,97.95,46.125461254612595,0.010212951453717846,BULLISH,RSI_NORMAL,LOW_VOLATILITY
