Date,Open,High,Low,Close,Volume
2015-01-01,749.79,753.19,745.7,747.85,284940.0
2015-01-02,749.94,780.09,749.94,773.7,2080000.0
2015-01-05,778.54,786.53,771.36,773.65,1330000.0
2015-01-06,773.65,781.64,749.09,755.18,1510000.0
2015-01-07,762.07,777.0,757.93,770.36,1430000.0
2015-01-08,782.44,821.47,776.75,818.92,2770000.0
2015-01-09,827.01,827.56,802.65,811.09,1710000.0
2015-01-12,811.64,816.98,798.81,806.34,1320000.0
2015-01-13,811.59,840.98,810.69,832.4,3840000.0
2015-01-14,838.54,848.52,828.76,841.18,2320000.0
2015-01-15,847.52,848.52,831.55,837.89,1310000.0
2015-01-16,843.43,857.51,838.54,841.98,1570000.0
2015-01-19,844.53,846.52,828.11,830.45,1040000.0
2015-01-20,833.55,845.53,833.55,837.74,1310000.0
2015-01-21,843.53,854.41,837.74,849.82,1660000.0
2015-01-22,855.01,880.12,851.37,865.64,2000000.0
2015-01-23,869.28,878.42,858.6,860.6,1530000.0
2015-01-27,867.39,891.25,863.99,888.95,1830000.0
2015-01-28,891.5,919.4,889.5,908.67,2900000.0
2015-01-29,912.21,920.89,865.69,879.77,5330000.0
2015-01-30,886.95,886.95,852.61,856.26,3290000.0
2015-02-02,848.52,849.62,802.1,806.69,4810000.0
2015-02-03,808.39,825.06,800.6,813.28,3050000.0
2015-02-04,818.37,821.77,799.41,802.45,912370.0
2015-02-05,810.59,824.96,806.59,809.44,1670000.0
2015-02-06,808.59,813.58,787.43,796.26,1670000.0
2015-02-09,788.63,820.57,782.04,802.25,1910000.0
2015-02-10,800.5,828.46,798.46,820.77,2240000.0
2015-02-11,828.56,843.53,826.56,839.29,1230000.0
2015-02-12,845.53,848.42,817.92,822.32,1970000.0
2015-02-13,822.92,833.5,813.63,825.31,1320000.0
2015-02-16,832.55,841.03,816.58,832.7,1580000.0
2015-02-18,837.64,840.53,818.27,819.62,1450000.0
2015-02-19,824.56,836.54,824.56,832.65,1220000.0
2015-02-20,832.8,834.65,821.77,824.26,699110.0
2015-02-23,828.06,831.55,804.7,808.19,1430000.0
2015-02-24,808.59,812.08,796.61,798.16,1140000.0
2015-02-25,803.8,814.58,803.6,812.43,1540000.0
2015-02-26,817.38,818.47,785.83,790.52,1600000.0
2015-02-27,797.71,807.69,794.71,805.75,1270000.0
2015-02-28,811.39,820.47,799.66,817.18,858990.0
2015-03-02,822.37,829.15,804.6,824.16,1380000.0
2015-03-03,828.41,840.53,825.76,836.84,1620000.0
2015-03-04,843.03,846.72,830.95,835.34,1600000.0
2015-03-05,835.54,840.09,826.56,832.45,694150.0
2015-03-09,831.05,831.05,807.44,811.24,626460.0
2015-03-10,811.59,816.58,800.6,806.54,691300.0
2015-03-11,816.58,818.52,805.35,807.59,942310.0
2015-03-12,813.38,813.58,803.8,806.69,979690.0
2015-03-13,810.49,817.28,804.2,806.99,837990.0
2015-03-16,811.59,834.4,807.59,830.4,1290000.0
2015-03-17,837.89,840.49,821.57,829.95,1380000.0
2015-03-18,834.4,834.4,808.59,812.78,1170000.0
2015-03-19,822.57,846.37,820.27,833.35,2040000.0
2015-03-20,834.55,835.54,804.2,808.54,1250000.0
2015-03-23,814.58,814.58,804.1,810.19,759200.0
2015-03-24,808.24,818.07,806.19,811.88,755970.0
2015-03-25,812.38,815.93,801.1,807.09,834390.0
2015-03-26,801.6,814.48,786.63,791.72,1520000.0
2015-03-27,791.62,791.62,766.76,776.8,1560000.0
2015-03-30,778.74,808.34,778.69,806.05,847420.0
2015-03-31,806.49,815.58,800.65,809.89,947720.0
2015-04-01,808.59,824.46,802.1,820.27,898480.0
2015-04-06,827.56,829.95,817.57,823.07,687260.0
2015-04-07,822.92,837.34,819.57,833.75,769530.0
2015-04-08,839.54,852.51,838.54,845.38,982730.0
2015-04-09,853.51,854.51,839.54,851.67,1020000.0
2015-04-10,851.52,860.2,841.73,857.95,802070.0
2015-04-13,858.5,864.04,850.92,860.55,805170.0
2015-04-15,860.15,861.5,833.55,837.59,1280000.0
2015-04-16,833.55,835.39,809.19,820.82,1370000.0
2015-04-17,820.82,828.16,813.58,815.38,685340.0
2015-04-20,816.58,817.87,798.61,807.54,920200.0
2015-04-21,812.03,815.48,790.62,795.11,652650.0
2015-04-22,798.61,804.6,767.86,784.08,1780000.0
2015-04-23,791.72,808.59,783.63,785.03,1280000.0
2015-04-24,791.12,791.12,763.72,770.01,1120000.0
2015-04-27,773.65,773.65,739.26,743.5,1630000.0
2015-04-28,740.66,767.31,728.73,764.12,2049999.9999999998
2015-04-29,761.77,761.77,748.7,753.09,1450000.0
2015-04-30,748.0,769.51,745.9,761.12,2260000.0
2015-05-04,768.51,780.14,762.67,778.04,1070000.0
2015-05-05,778.64,783.48,767.31,780.04,952720.0
2015-05-06,777.64,777.64,748.84,759.53,1620000.0
2015-05-07,751.99,772.1,733.57,764.42,1720000.0
2015-05-08,771.65,773.05,751.44,758.08,1130000.0
2015-05-11,766.66,774.85,750.59,770.31,976350.0
2015-05-12,771.46,771.51,752.69,757.03,1140000.0
2015-05-13,757.73,773.65,757.68,761.17,839420.0
2015-05-14,760.67,801.6,753.69,795.06,1980000.0
2015-05-15,800.6,816.58,783.63,788.92,1500000.0
2015-05-18,795.46,816.58,760.67,765.42,6760000.0
2015-05-19,756.68,777.94,748.7,773.4,3900000.0
2015-05-20,774.3,776.6,762.82,769.86,1790000.0
2015-05-21,768.66,778.44,764.72,775.85,1680000.0
2015-05-22,773.65,778.44,769.86,774.05,1040000.0
2015-05-25,774.6,777.39,753.09,760.57,1280000.0
2015-05-26,760.77,767.66,754.24,762.17,906100.0
2015-05-27,760.67,760.72,753.09,757.93,792610.0
2015-05-28,758.83,769.66,757.18,766.01,1050000.0
2015-05-29,767.16,793.62,766.66,785.68,2580000.0
2015-06-01,786.43,793.32,784.93,788.38,713450.0
2015-06-02,787.73,792.92,754.68,757.88,1010000.0
2015-06-03,761.67,765.67,748.7,761.37,867740.0
2015-06-04,762.57,764.67,750.49,758.28,820600.0
2015-06-05,757.68,764.27,750.69,757.48,830300.0
2015-06-08,757.68,758.68,743.7,746.7,795680.0
2015-06-09,743.5,749.89,728.73,734.42,998510.0
2015-06-10,734.72,743.8,733.32,737.86,803750.0
2015-06-11,737.91,742.41,701.28,707.17,1450000.0
2015-06-12,707.77,721.54,700.78,704.42,1170000.0
2015-06-15,713.51,718.15,695.19,697.33,1240000.0
2015-06-16,699.73,704.77,691.79,703.72,2770000.0
2015-06-17,706.77,717.95,703.77,709.41,2220000.0
2015-06-18,717.7,733.07,717.7,727.68,1910000.0
