Date,Open,High,Low,Close,Volume
2015-01-01,130.99,132.23,128.0,128.66,293920.0
2015-01-02,129.17,129.8,126.7,127.56,435600.0
2015-01-05,126.81,128.4,125.26,125.87,315660.0
2015-01-06,125.0,125.31,121.56,122.96,377240.0
2015-01-07,123.03,124.08,120.82,122.86,731140.0
2015-01-08,123.0,129.79,123.0,128.98,872680.0
2015-01-09,129.4,129.94,127.55,127.92,327840.0
2015-01-12,125.5,128.62,125.5,126.77,196780.0
2015-01-13,127.5,130.8,127.0,128.65,580420.0
2015-01-14,128.0,128.87,123.82,125.42,2590000.0
2015-01-15,129.49,129.8,127.2,128.91,1370000.0
2015-01-16,129.8,130.3,125.5,126.77,810480.0
2015-01-19,127.29,128.62,125.1,125.8,325300.0
2015-01-20,126.0,134.5,126.0,132.19,1360000.0
2015-01-21,132.44,133.64,128.9,129.26,1000000.0
2015-01-22,128.85,131.8,128.06,129.82,378310.0
2015-01-23,130.24,132.9,129.58,131.22,255020.0
2015-01-27,131.7,139.7,130.8,137.54,1060000.0
2015-01-28,138.07,149.9,138.0,145.04,2740000.0
2015-01-29,145.33,147.0,142.5,146.03,1060000.0
2015-01-30,145.8,148.0,139.8,144.75,726130.0
2015-02-02,144.3,152.26,142.89,150.93,2710000.0
2015-02-03,150.9,153.17,145.55,146.84,667360.0
2015-02-04,147.3,151.0,145.25,147.13,501620.0
2015-02-05,147.21,150.89,146.03,147.62,216290.0
2015-02-06,147.7,150.87,146.25,146.9,308180.0
2015-02-09,145.4,147.4,143.35,144.96,181200.0
2015-02-10,144.01,147.09,140.25,143.65,330010.0
2015-02-11,144.1,145.0,140.8,141.03,182820.0
2015-02-12,141.5,151.1,141.5,149.91,653460.0
2015-02-13,149.91,154.0,149.91,151.09,728530.0
2015-02-16,151.01,154.6,145.5,148.35,974540.0
2015-02-18,146.9,150.5,145.5,148.41,485050.0
2015-02-19,148.9,149.7,141.96,146.72,236600.0
2015-02-20,147.2,148.59,146.2,147.13,138300.0
2015-02-23,147.6,150.0,141.7,143.56,4210000.0
2015-02-24,144.79,146.8,141.3,142.99,310620.0
2015-02-25,143.5,145.8,142.62,143.12,220350.0
2015-02-26,143.62,144.76,139.1,139.97,392490.0
2015-02-27,140.4,142.99,140.32,142.22,518850.0
2015-02-28,142.81,145.99,140.03,140.74,678050.0
2015-03-02,141.2,147.6,141.15,145.14,705830.0
2015-03-03,145.6,150.98,145.0,148.5,2470000.0
2015-03-04,149.5,151.33,145.82,147.02,933390.0
2015-03-05,147.49,157.4,147.28,152.91,3080000.0
2015-03-09,152.7,152.9,146.22,147.07,1600000.0
2015-03-10,147.5,147.6,144.12,145.71,922780.0
2015-03-11,145.8,150.0,145.0,145.84,398460.0
2015-03-12,147.3,149.18,147.3,147.96,2049999.9999999998
2015-03-13,152.5,156.4,146.59,150.09,2590000.0
2015-03-16,150.47,150.47,143.12,145.22,1030000.0
2015-03-17,145.74,149.5,145.2,146.97,1130000.0
2015-03-18,147.44,147.44,141.6,143.47,1230000.0
2015-03-19,144.0,145.8,140.01,140.97,1060000.0
2015-03-20,141.75,146.66,134.0,137.98,7860000.0
2015-03-23,138.5,140.42,131.37,133.53,553620.0
2015-03-24,134.0,137.25,131.13,134.13,600420.0
2015-03-25,135.7,138.81,134.2,137.49,1530000.0
2015-03-26,138.0,141.0,137.5,137.92,646920.0
2015-03-27,138.89,139.52,135.0,135.63,697550.0
2015-03-30,136.59,141.0,136.1,139.94,529100.0
2015-03-31,140.74,144.9,139.5,141.46,985290.0
2015-04-01,141.2,144.75,139.6,142.75,448110.0
2015-04-06,144.59,144.59,141.01,142.66,295280.0
2015-04-07,143.4,146.5,142.01,143.12,420600.0
2015-04-08,143.94,146.0,141.9,145.56,445590.0
2015-04-09,145.8,147.0,144.53,146.47,443770.0
2015-04-10,146.67,146.67,143.0,145.49,243060.0
2015-04-13,146.46,146.46,143.0,143.84,168320.0
