Date,Open,High,Low,Close,Volume
2020-03-02,554.0,566.45,550.85,554.95,1120000.0
2020-03-03,560.7,574.7,560.7,565.4,1360000.0
2020-03-04,569.0,571.25,561.0,569.8,839700.0
2020-03-05,572.0,572.0,558.0,567.05,1730000.0
2020-03-06,540.15,557.8,536.7,549.75,1190000.0
2020-03-09,541.0,545.0,508.65,519.15,2000000.0
2020-03-11,517.55,527.3,510.0,515.2,1330000.0
2020-03-12,490.0,500.0,455.0,475.45,2080000.0
2020-03-13,436.75,526.0,434.2,509.15,3430000.0
2020-03-16,491.8,501.0,464.0,474.5,3140000.0
2020-03-17,479.2,485.35,459.3,464.7,2320000.0
2020-03-18,468.0,470.0,409.55,418.85,2530000.0
2020-03-19,387.55,432.5,385.3,418.55,3700000.0
2020-03-20,426.0,444.0,412.85,419.15,3030000.0
2020-03-23,378.0,394.0,340.0,342.6,2320000.0
2020-03-24,361.95,411.15,345.05,392.0,4500000.0
2020-03-25,388.0,441.75,388.0,435.1,2640000.0
2020-03-26,447.0,485.0,433.45,477.05,2710000.0
2020-03-27,457.7,486.0,435.95,438.6,9150000.0
2020-03-30,430.2,444.35,409.15,414.65,3740000.0
2020-03-31,429.0,447.25,416.15,441.6,2690000.0
2020-04-01,437.6,448.75,426.95,431.0,3810000.0
2020-04-03,429.0,444.15,418.55,424.3,3770000.0
2020-04-07,441.1,477.7,434.65,472.55,3040000.0
2020-04-08,465.55,502.65,460.4,478.35,3040000.0
2020-04-09,489.0,496.4,466.15,474.75,1790000.0
2020-04-13,473.95,484.5,455.6,480.0,2089999.9999999998
2020-04-15,483.0,492.0,470.0,472.8,2390000.0
2020-04-16,468.55,494.75,463.45,490.55,2540000.0
2020-04-17,504.0,520.0,494.15,497.9,3590000.0
2020-04-20,501.6,517.45,496.8,509.45,2150000.0
2020-04-21,497.95,504.35,490.05,497.35,1750000.0
2020-04-22,500.0,510.0,491.4,505.15,1530000.0
2020-04-23,508.85,512.0,487.0,489.05,1870000.0
2020-04-24,477.9,479.25,451.5,453.55,3060000.0
2020-04-27,461.0,490.8,461.0,484.7,5010000.0
2020-04-28,494.65,495.0,470.95,485.9,6200000.0
2020-04-29,487.0,505.0,484.55,492.2,4880000.0
2020-04-30,499.0,510.25,491.1,498.55,3420000.0
2020-05-04,487.95,489.95,472.0,480.8,3040000.0
2020-05-05,486.8,489.8,475.05,478.4,1870000.0
2020-05-06,479.25,501.05,471.35,493.0,5420000.0
2020-05-07,491.2,503.45,491.2,494.6,2510000.0
2020-05-08,500.0,527.7,499.5,520.95,8680000.0
2020-05-11,526.5,538.95,522.95,526.0,5190000.0
2020-05-12,520.3,537.6,518.1,528.65,4720000.0
2020-05-13,537.85,538.2,514.4,516.8,3720000.0
2020-05-14,511.05,522.0,490.75,494.8,4470000.0
2020-05-15,499.2,499.7,485.65,488.6,3460000.0
2020-05-18,484.35,490.0,463.6,467.5,2880000.0
2020-05-19,474.9,487.25,465.0,474.0,3330000.0
2020-05-20,474.7,483.35,472.8,480.0,2500000.0
2020-05-21,482.7,494.0,481.75,491.95,3740000.0
2020-05-22,493.9,504.0,488.0,492.5,4530000.0
2020-05-26,498.05,514.85,495.0,507.05,6740000.0
2020-05-27,505.15,510.65,495.25,501.9,6580000.0
2020-05-28,499.9,523.05,499.3,516.2,4660000.0
2020-05-29,512.4,534.9,510.9,519.35,11500000.0
2020-06-01,518.75,526.35,512.05,515.1,3490000.0
2020-06-02,513.15,521.0,496.0,498.6,10220000.0
2020-06-03,503.45,521.0,496.2,503.05,20090000.0
2020-06-04,524.0,526.0,511.25,516.45,15110000.0
2020-06-05,518.0,520.45,510.15,515.35,3970000.0
2020-06-08,518.05,531.1,516.0,522.95,5880000.0
2020-06-09,527.45,531.5,502.6,507.35,6750000.0
2020-06-10,507.9,508.9,499.55,503.4,2830000.0
2020-06-11,500.1,510.6,497.5,502.45,2450000.0
2020-06-12,492.5,504.45,486.85,502.85,6380000.0
2020-06-15,505.05,507.9,495.85,500.65,2130000.0
2020-06-16,506.55,511.9,496.95,506.45,2910000.0
2020-06-17,506.5,509.65,498.8,500.65,1690000.0
2020-06-18,500.5,518.0,500.0,516.15,4490000.0
2020-06-19,518.15,524.45,514.05,521.95,3960000.0
2020-06-22,511.05,528.95,511.05,521.05,4500000.0
2020-06-23,522.2,545.4,521.1,537.25,10390000.0
2020-06-24,541.85,546.2,523.8,526.65,6880000.0
2020-06-25,522.75,539.0,519.85,538.4,2990000.0
2020-06-26,541.85,549.5,535.75,542.4,3250000.0
2020-06-29,543.35,544.7,533.25,537.3,2500000.0
2020-06-30,539.5,554.9,539.5,549.75,4440000.0
2020-07-01,554.95,560.0,547.9,550.85,4030000.0000000005
2020-07-02,550.8,552.7,546.2,550.1,2200000.0
2020-07-03,564.95,589.0,557.4,572.5,15560000.0
2020-07-06,579.1,591.55,575.85,584.95,4950000.0
2020-07-07,586.95,590.4,572.0,582.85,3760000.0
2020-07-08,582.6,597.6,580.25,583.25,4610000.0
2020-07-09,583.75,590.0,583.2,586.85,2530000.0
2020-07-10,585.5,601.1,585.5,592.65,4290000.0
2020-07-13,592.4,605.0,584.35,602.35,4730000.0
2020-07-14,596.05,609.85,596.0,598.95,4910000.0
2020-07-15,601.85,605.7,594.5,596.15,2660000.0
2020-07-16,605.8,605.8,591.0,601.6,1890000.0
2020-07-17,601.9,616.0,601.2,615.0,3640000.0
2020-07-20,618.05,627.5,613.5,617.95,4230000.0
2020-07-21,624.0,633.6,601.3,627.0,10950000.0
2020-07-22,626.95,627.0,605.5,609.35,4540000.0
2020-07-23,610.5,623.3,610.35,622.5,3000000.0
2020-07-24,615.65,624.45,615.05,621.45,2740000.0
2020-07-27,622.35,634.7,613.1,632.9,4500000.0
2020-07-28,635.45,646.35,634.3,639.75,5730000.0
2020-07-29,639.75,641.65,628.7,638.8,4800000.0
2020-07-30,641.95,643.75,622.45,635.1,8770000.0
2020-07-31,633.1,637.5,621.5,628.05,6160000.0
2020-08-03,623.1,624.1,602.6,604.7,4960000.0
2020-08-04,604.25,618.0,603.4,615.9,3530000.0
2020-08-05,618.1,618.8,604.2,606.1,2530000.0
2020-08-06,606.5,613.45,603.55,610.0,2310000.0
2020-08-07,610.55,615.45,608.1,610.15,2340000.0
2020-08-10,616.9,619.0,610.05,612.45,2580000.0
2020-08-11,613.45,616.95,608.8,611.8,2480000.0
2020-08-12,609.7,619.45,605.0,611.4,5060000.0
2020-08-13,611.8,616.25,601.2,602.5,3150000.0
2020-08-14,602.1,604.0,587.45,589.45,5310000.0
2020-08-17,594.0,595.8,587.0,591.5,1910000.0
2020-08-18,591.55,602.2,591.0,600.1,2870000.0
2020-08-19,602.75,608.85,600.0,604.45,3300000.0
2020-08-20,601.1,601.1,590.75,595.3,2540000.0
2020-08-21,600.0,609.8,597.2,599.4,3930000.0
2020-08-24,601.6,606.5,598.9,600.65,4059999.9999999995
2020-08-25,599.65,604.15,594.4,601.25,6770000.0
2020-08-26,601.75,602.1,590.4,593.1,4240000.0
2020-08-27,594.25,599.25,590.6,596.05,2950000.0
2020-08-28,603.1,605.25,591.2,592.55,4000000.0
2020-08-31,594.6,595.95,569.0,577.3,4130000.0
2020-09-01,582.0,589.0,573.0,583.6,3810000.0
2020-09-02,581.65,591.5,580.25,584.45,2710000.0
2020-09-03,584.05,591.95,579.6,585.35,2660000.0
2020-09-04,573.45,583.7,572.1,576.95,2940000.0
2020-09-07,576.1,594.4,572.5,592.8,4490000.0
2020-09-08,594.7,595.85,581.0,583.0,3120000.0
2020-09-09,585.95,593.35,583.95,588.5,5120000.0
2020-09-10,590.6,605.85,587.8,604.15,6510000.0
2020-09-11,607.05,613.5,602.85,605.95,5670000.0
2020-09-14,609.6,609.75,595.15,599.95,3160000.0
2020-09-15,601.1,602.75,592.0,596.65,2680000.0
2020-09-16,596.45,605.9,594.25,600.8,2510000.0
2020-09-17,596.1,598.6,588.95,593.65,1980000.0
2020-09-18,594.85,595.65,583.55,585.75,3190000.0
2020-09-21,585.25,589.8,577.0,579.2,4640000.0
2020-09-22,574.7,586.8,566.15,579.45,5890000.0
2020-09-23,592.65,592.65,577.3,581.75,4900000.0
2020-09-24,576.1,581.2,573.8,577.65,2520000.0
2020-09-25,578.25,582.75,573.4,580.45,3020000.0
2020-09-28,573.6,586.85,573.6,584.75,2410000.0
2020-09-29,586.75,587.05,568.4,574.95,4700000.0
2020-09-30,572.15,574.55,559.35,563.6,6280000.0
2020-10-01,566.6,575.0,565.0,572.8,2780000.0
2020-10-05,573.65,579.85,568.5,577.9,2690000.0
2020-10-06,578.9,589.0,577.8,585.85,7190000.0
2020-10-07,587.0,590.0,577.7,582.3,3320000.0
2020-10-08,586.15,589.15,579.1,586.05,8180000.0
2020-10-09,590.0,590.4,571.2,574.9,6540000.0
2020-10-12,577.5,578.45,561.0,563.9,4240000.0
2020-10-13,564.5,572.75,560.45,568.25,3430000.0
2020-10-14,565.55,576.1,558.55,574.65,4720000.0
2020-10-15,573.4,575.5,561.15,562.65,3040000.0
2020-10-16,564.0,567.4,561.25,563.2,3030000.0
2020-10-19,566.0,576.15,565.5,573.2,4640000.0
2020-10-20,575.6,581.7,567.5,572.2,8610000.0
2020-10-21,574.35,577.8,556.45,563.55,4360000.0
2020-10-22,561.9,566.6,559.25,562.85,2900000.0
2020-10-23,562.25,580.8,560.05,565.55,11430000.0
2020-10-26,565.6,582.25,564.05,579.1,10460000.0
2020-10-27,585.7,590.65,579.6,586.45,8160000.0
2020-10-28,590.65,593.7,582.9,585.65,5350000.0
2020-10-29,582.05,587.25,579.85,586.1,2570000.0
2020-10-30,589.0,599.25,584.55,590.6,3860000.0
2020-11-02,591.65,595.3,586.1,590.05,2710000.0
2020-11-03,592.75,603.75,592.15,600.45,4130000.0
2020-11-04,596.35,604.65,594.05,597.2,2880000.0
2020-11-05,601.7,604.8,592.85,595.1,2760000.0
2020-11-06,596.2,599.8,591.45,592.7,2140000.0
2020-11-09,595.0,601.0,590.45,595.55,3110000.0
2020-11-10,596.0,614.75,593.0,610.85,6470000.0
2020-11-11,616.0,627.1,614.6,624.0,7970000.0
2020-11-12,625.2,634.0,618.95,631.1,4990000.0
2020-11-13,626.15,630.7,620.25,629.15,3080000.0
2020-11-14,634.95,636.45,631.8,634.1,947100.0
2020-11-17,638.0,675.8,635.35,671.2,12030000.0
2020-11-18,674.55,676.45,662.45,666.85,4710000.0
2020-11-19,664.0,672.35,645.0,648.45,4680000.0
2020-11-20,650.65,669.0,648.05,665.15,4600000.0
2020-11-23,666.6,674.0,656.1,662.5,4640000.0
2020-11-24,664.95,666.9,651.5,665.25,4720000.0
2020-11-25,672.35,689.0,663.65,666.5,8920000.0
2020-11-26,667.2,674.8,657.5,660.8,3750000.0
2020-11-27,666.9,666.9,645.3,649.4,13030000.0
2020-12-01,660.0,660.0,640.3,646.05,5720000.0
2020-12-02,647.3,648.65,632.4,638.1,13840000.0
2020-12-03,629.0,654.2,623.0,652.4,32640000.0
2020-12-04,654.2,657.45,642.45,646.65,6600000.0
2020-12-07,647.95,653.75,644.5,651.85,7170000.0
2020-12-08,653.5,659.35,645.4,653.3,6880000.0
2020-12-09,655.65,657.45,646.05,654.3,5280000.0
2020-12-10,654.0,662.7,647.2,661.3,7650000.0
2020-12-11,663.8,669.5,655.7,665.05,7220000.0
2020-12-14,667.05,667.5,656.5,659.05,3190000.0
2020-12-15,660.1,664.9,647.55,653.9,4050000.0
2020-12-16,656.25,657.45,650.05,651.75,3090000.0
2020-12-17,652.0,662.0,651.95,655.9,5720000.0
2020-12-18,657.1,657.75,639.55,654.7,3630000.0
2020-12-21,651.35,655.75,618.55,629.75,5590000.0
2020-12-22,626.6,643.4,621.55,641.55,5330000.0
2020-12-23,641.95,650.0,635.4,648.85,4000000.0
2020-12-24,651.0,664.75,649.4,658.9,6500000.0
2020-12-28,662.0,679.95,657.95,678.85,8250000.0
2020-12-29,683.4,686.25,670.05,673.3,6630000.0
2020-12-30,676.7,678.3,666.45,675.35,4160000.0
2020-12-31,674.1,678.55,669.0,676.5,4200000.0
2021-01-01,679.5,682.3,676.75,680.25,2260000.0
2021-01-04,681.05,698.95,681.05,697.25,6190000.0
2021-01-05,694.3,716.0,691.75,714.75,8029999.999999999
2021-01-06,715.0,721.95,706.55,720.15,4540000.0
2021-01-07,723.1,725.0,705.8,707.65,3700000.0
2021-01-08,711.75,722.95,709.45,717.6,3380000.0
2021-01-11,718.8,732.0,716.75,725.65,4260000.0
2021-01-12,729.3,729.3,717.0,721.8,1660000.0
2021-01-13,723.5,725.9,709.75,716.65,3200000.0
2021-01-14,715.8,719.9,705.45,710.35,2049999.9999999998
2021-01-15,711.5,718.55,702.65,706.6,2910000.0
2021-01-18,705.15,710.35,689.25,695.9,2750000.0
2021-01-19,699.15,704.5,695.3,701.95,2410000.0
2021-01-20,701.55,712.9,701.55,704.05,2730000.0
2021-01-21,707.15,712.0,698.35,700.9,2340000.0
2021-01-22,702.0,708.0,685.25,689.45,3400000.0
2021-01-25,695.0,699.6,668.0,681.85,5250000.0
2021-01-27,681.3,694.75,672.7,683.35,4320000.0
2021-01-28,676.65,683.15,668.2,671.8,3530000.0
2021-01-29,675.4,686.3,670.75,680.0,3580000.0
2021-02-01,684.1,714.95,670.2,703.0,11980000.0
2021-02-02,711.1,713.25,677.85,684.95,6970000.0
2021-02-03,688.0,698.55,680.0,690.6,4170000.0
2021-02-04,692.2,694.4,682.15,684.55,3610000.0
2021-02-05,688.35,688.4,675.2,684.35,3410000.0
2021-02-08,685.75,694.7,680.65,687.7,4280000.0
2021-02-09,691.45,713.0,690.0,707.3,10230000.0
2021-02-10,712.0,725.3,711.25,720.0,9090000.0
2021-02-11,724.2,727.4,712.6,716.55,3190000.0
2021-02-12,713.5,720.65,709.5,711.1,2550000.0
2021-02-15,713.15,717.8,696.85,697.9,2810000.0
2021-02-16,698.85,704.7,689.5,696.95,3150000.0
2021-02-17,693.0,712.0,693.0,703.3,3440000.0
2021-02-18,706.2,715.85,703.55,713.3,3130000.0
2021-02-19,713.4,723.4,703.55,710.25,3860000.0
2021-02-22,708.6,713.0,688.2,690.2,3510000.0
2021-02-23,690.6,712.45,690.0,705.9,5710000.0
2021-02-24,712.0,720.9,707.05,719.2,2480000.0
2021-02-25,724.2,745.0,718.95,733.5,3710000.0
2021-02-26,728.1,731.35,697.75,705.05,8050000.000000001
2021-03-01,710.6,715.9,704.15,709.05,2910000.0
2021-03-02,715.05,730.55,708.8,724.2,3000000.0
2021-03-03,727.7,734.3,724.55,730.8,2450000.0
2021-03-04,721.7,732.9,717.1,724.7,2640000.0
2021-03-05,724.65,727.6,711.1,719.75,2290000.0
2021-03-08,724.05,740.55,718.1,727.55,4940000.0
2021-03-09,740.0,748.95,734.8,743.75,6100000.0
2021-03-10,748.05,748.55,727.05,733.7,2920000.0
2021-03-12,738.95,739.0,711.9,713.3,4480000.0
2021-03-15,712.95,716.3,697.05,706.15,3260000.0
2021-03-16,708.55,711.8,702.9,705.55,2380000.0
2021-03-17,708.0,708.15,689.0,691.1,2510000.0
2021-03-18,696.4,699.7,675.65,681.3,2620000.0
2021-03-19,682.6,692.1,674.5,690.3,3130000.0
2021-03-22,690.3,694.85,679.1,681.8,3370000.0
2021-03-23,682.3,689.95,682.15,685.7,3740000.0
2021-03-24,682.45,686.1,674.5,676.1,3930000.0
2021-03-25,684.2,684.2,662.0,667.05,3840000.0
2021-03-26,674.5,679.2,670.35,677.25,1710000.0
2021-03-30,679.6,693.0,679.6,689.95,3400000.0
2021-03-31,690.35,700.0,684.1,698.3,2730000.0
2021-04-01,702.9,705.4,686.6,695.55,2570000.0
2021-04-05,698.4,698.75,679.15,686.5,2130000.0
2021-04-06,683.8,704.75,683.25,701.35,2510000.0
2021-04-07,706.7,709.45,699.55,704.7,2940000.0
2021-04-08,705.0,708.95,700.8,704.1,1490000.0
2021-04-09,701.55,705.5,694.05,697.65,1920000.0
2021-04-12,690.1,692.55,680.45,687.9,3100000.0
2021-04-13,687.9,711.85,686.95,707.75,3630000.0
2021-04-15,710.0,713.5,690.6,696.55,2890000.0
2021-04-16,697.0,702.05,692.1,693.2,3040000.0
2021-04-19,682.8,685.9,663.7,668.05,4380000.0
2021-04-20,673.15,690.5,671.75,685.05,5000000.0
2021-04-22,675.85,683.05,673.0,680.6,2360000.0
2021-04-23,677.0,692.3,677.0,688.75,3740000.0
2021-04-26,690.55,710.0,687.15,706.5,5550000.0
2021-04-27,710.05,720.0,676.75,678.3,11240000.0
2021-04-28,682.1,682.1,670.7,672.55,3950000.0
2021-04-29,676.95,680.25,672.15,674.65,3210000.0
2021-04-30,673.0,679.85,666.0,669.5,2910000.0
2021-05-03,664.4,677.8,660.65,675.8,5240000.0
2021-05-04,678.2,683.25,669.55,672.0,4480000.0
2021-05-05,676.1,679.7,671.0,677.85,2980000.0
2021-05-06,677.95,683.65,673.0,675.55,3110000.0
2021-05-07,678.0,684.8,675.05,676.9,4070000.0000000005
2021-05-10,676.9,688.0,676.75,682.25,5280000.0
2021-05-11,678.05,684.35,671.1,674.7,5920000.0
2021-05-12,673.15,677.9,666.7,671.3,4750000.0
2021-05-14,675.65,676.85,669.0,673.6,2870000.0
2021-05-17,675.0,676.95,665.7,669.6,4840000.0
2021-05-18,671.65,675.0,668.5,670.1,3680000.0
2021-05-19,671.75,672.9,667.5,669.35,2670000.0
2021-05-20,669.9,679.85,666.3,669.65,7770000.0
2021-05-21,671.4,676.4,668.0,672.3,3920000.0
2021-05-24,672.3,674.8,667.85,672.1,5810000.0
2021-05-25,674.7,674.7,656.7,659.65,7290000.0
2021-05-26,664.65,666.4,658.15,659.85,5480000.0
2021-05-27,661.15,666.0,657.45,664.05,4910000.0
2021-05-28,669.05,676.8,665.7,671.1,6690000.0
2021-05-31,673.3,673.3,664.55,669.75,4290000.0
2021-06-01,671.15,672.5,666.55,668.7,3760000.0
2021-06-02,668.1,682.2,666.65,679.65,8320000.0
2021-06-03,681.7,685.65,679.65,681.2,4099999.9999999995
2021-06-04,682.8,689.95,680.2,683.65,4270000.0
2021-06-07,685.65,685.7,677.35,682.65,2540000.0
2021-06-08,684.9,694.4,682.35,691.85,6330000.0
2021-06-09,694.8,698.0,682.45,686.3,5320000.0
2021-06-10,687.7,692.25,684.75,689.5,3260000.0
2021-06-11,687.95,690.75,682.8,685.1,1980000.0
2021-06-14,684.6,685.95,675.15,684.45,2260000.0
2021-06-15,684.7,694.45,683.2,693.1,3610000.0
2021-06-16,696.35,698.2,690.15,692.4,4540000.0
2021-06-17,688.45,703.95,683.0,700.05,5760000.0
2021-06-18,704.3,711.4,693.45,708.7,6830000.0
2021-06-21,705.35,719.6,704.8,718.15,8020000.0
2021-06-22,719.75,723.35,712.6,716.75,4620000.0
2021-06-23,722.1,723.0,716.0,717.1,3540000.0
2021-06-24,716.5,723.0,712.0,719.5,2140000.0
2021-06-25,724.35,732.0,718.6,726.75,2810000.0
2021-06-28,726.95,727.0,695.5,696.65,14710000.0
2021-06-29,679.0,703.95,676.25,688.65,37430000.0
2021-06-30,692.0,697.85,687.35,689.05,6340000.0
2021-07-01,693.0,694.45,685.75,688.65,4190000.0000000005
2021-07-02,691.0,691.8,682.15,689.9,5790000.0
2021-07-05,692.3,692.5,680.5,681.6,4910000.0
2021-07-06,682.0,689.0,680.05,683.7,6740000.0
2021-07-07,683.0,688.95,681.2,688.2,3580000.0
2021-07-08,685.2,691.35,681.55,684.55,4270000.0
2021-07-09,684.0,687.35,679.55,686.4,2040000.0
2021-07-12,688.35,688.4,683.35,686.2,2750000.0
2021-07-13,689.4,696.5,686.55,695.7,4580000.0
2021-07-14,696.45,698.5,690.6,691.25,2800000.0
2021-07-15,692.95,700.4,690.1,695.55,4200000.0
2021-07-16,693.55,704.4,693.55,700.6,3840000.0
2021-07-19,694.95,698.6,677.0,679.2,6740000.0
2021-07-20,679.4,681.7,663.25,664.65,4920000.0
2021-07-22,664.6,671.1,662.55,663.6,2750000.0
2021-07-23,664.5,668.75,662.5,666.25,4030000.0000000005
2021-07-26,660.1,666.3,660.1,664.25,4110000.0000000005
2021-07-27,666.65,674.0,664.0,668.55,8670000.0
2021-07-28,669.4,671.5,662.25,665.15,5370000.0
2021-07-29,669.0,669.0,658.65,662.65,7370000.0
2021-07-30,667.5,673.4,662.3,666.85,3750000.0
2021-08-02,669.7,672.8,667.3,671.45,2080000.0
2021-08-03,672.2,677.35,669.0,676.55,3790000.0
2021-08-04,678.0,681.1,674.55,676.5,3470000.0
2021-08-05,677.0,678.35,663.4,671.75,2410000.0
2021-08-06,673.7,677.9,670.85,676.2,2590000.0
2021-08-09,675.7,679.9,668.4,669.5,2290000.0
2021-08-10,671.0,675.0,663.85,670.65,3210000.0
2021-08-11,669.85,672.0,663.0,667.7,2450000.0
2021-08-12,668.65,676.1,666.5,675.2,2640000.0
2021-08-13,676.2,678.0,670.2,671.8,1810000.0
2021-08-16,670.9,675.65,667.65,673.75,1550000.0
2021-08-17,673.05,676.5,669.2,670.9,1830000.0
2021-08-18,671.25,675.1,671.0,672.7,1820000.0
2021-08-20,668.2,674.6,655.3,666.8,5160000.0
2021-08-23,669.7,671.55,662.0,668.2,8590000.0
2021-08-24,670.7,674.55,667.5,671.95,6710000.0
2021-08-25,673.2,692.0,673.2,686.9,9970000.0
2021-08-26,690.8,700.4,689.4,698.85,5050000.0
2021-08-27,703.8,709.95,700.6,707.45,4810000.0
2021-08-30,709.5,714.3,707.05,713.3,3480000.0
2021-08-31,711.15,719.55,705.5,718.25,3830000.0
2021-09-01,718.95,725.0,708.35,721.3,5730000.0
2021-09-02,715.15,777.85,715.15,760.3,22280000.0
2021-09-03,739.8,748.0,727.35,735.35,18260000.0
2021-09-06,740.7,743.9,730.05,737.05,5820000.0
2021-09-07,737.75,744.0,733.85,735.95,2980000.0
2021-09-08,745.0,747.4,735.0,745.05,5030000.0
2021-09-09,744.0,746.7,736.0,738.0,2800000.0
2021-09-13,735.65,742.65,725.55,737.3,2680000.0
2021-09-14,740.2,744.9,736.75,741.45,2089999.9999999998
2021-09-15,743.4,752.45,741.35,746.35,4030000.0000000005
2021-09-16,748.75,755.8,743.5,754.95,3890000.0
2021-09-17,761.0,761.0,741.95,747.85,7500000.0
2021-09-20,738.8,748.5,726.5,729.5,2890000.0
2021-09-21,729.8,738.9,726.2,737.55,3090000.0
2021-09-22,736.25,739.65,731.0,733.3,1800000.0
2021-09-23,735.0,736.2,723.55,726.5,3550000.0
2021-09-24,728.9,732.4,722.05,726.35,2960000.0
2021-09-27,731.35,731.55,719.8,722.05,4870000.0
2021-09-28,722.4,734.2,721.55,726.95,7410000.0
2021-09-29,723.4,737.45,721.75,734.05,7210000.0
2021-09-30,739.8,740.0,720.25,722.4,3900000.0
2021-10-01,726.85,731.85,715.05,730.8,3740000.0
2021-10-04,729.45,735.25,727.3,730.1,1940000.0
2021-10-05,727.3,739.0,725.75,736.95,3080000.0
2021-10-06,737.55,743.6,725.55,727.8,3480000.0
2021-10-07,730.7,735.8,722.95,728.8,4130000.0
2021-10-08,730.2,733.25,723.5,724.8,1940000.0
2021-10-11,726.25,726.75,717.2,720.15,3010000.0
2021-10-12,718.05,719.75,702.0,706.6,4400000.0
2021-10-13,704.6,711.8,703.1,704.05,3240000.0
2021-10-14,705.0,705.0,695.65,696.85,4160000.0
2021-10-18,697.5,708.45,691.9,706.55,5500000.0
2021-10-19,707.55,710.95,700.85,705.4,3750000.0
2021-10-20,706.55,711.4,697.25,706.15,4800000.0
2021-10-21,705.8,711.95,693.45,697.1,4370000.0
2021-10-22,700.5,702.8,678.35,693.05,9500000.0
2021-10-25,694.9,694.9,678.05,684.05,6960000.0
2021-10-26,684.85,695.75,684.85,691.95,6850000.0
2021-10-27,691.1,700.05,691.1,694.4,5680000.0
2021-10-28,699.9,699.9,679.55,683.1,6520000.0
2021-10-29,684.05,690.35,677.4,682.45,3410000.0
2021-11-01,683.1,695.2,683.1,692.95,2320000.0
2021-11-02,695.9,698.85,692.6,694.4,2610000.0
2021-11-03,707.95,707.95,687.05,693.15,1820000.0
2021-11-04,697.15,697.75,694.05,696.5,312400.0
2021-11-08,699.0,708.05,692.75,706.9,4040000.0
2021-11-09,710.7,711.95,701.25,707.45,3390000.0
2021-11-10,707.35,708.0,701.45,707.05,2260000.0
2021-11-11,707.95,707.95,700.65,703.55,1510000.0
2021-11-12,706.75,723.0,706.45,721.65,7860000.0
2021-11-15,723.95,724.5,711.65,715.0,2590000.0
2021-11-16,717.05,719.75,711.6,713.55,2230000.0
2021-11-17,715.05,721.9,709.05,710.9,3000000.0
2021-11-18,710.45,714.65,704.1,706.1,2850000.0
2021-11-22,704.05,708.15,683.95,688.55,6200000.0
2021-11-23,686.0,698.95,685.2,696.2,5640000.0
2021-11-24,699.45,703.35,684.85,688.75,5280000.0
2021-11-25,688.75,693.3,684.1,688.8,5380000.0
2021-11-26,688.3,689.75,668.25,671.45,3740000.0
2021-11-29,671.5,686.95,660.5,684.8,4700000.0
2021-11-30,684.2,691.1,675.15,681.55,6050000.0
2021-12-01,679.55,696.75,679.55,695.7,2910000.0
2021-12-02,696.85,707.65,695.35,706.35,2410000.0
2021-12-03,700.35,708.15,689.95,691.95,3390000.0
2021-12-06,691.05,696.05,683.2,685.05,1320000.0
2021-12-07,688.0,697.45,684.6,695.85,2180000.0
2021-12-08,699.0,699.05,688.0,690.05,2790000.0
2021-12-09,693.7,693.7,684.55,686.75,1640000.0
2021-12-10,688.25,688.65,683.55,688.3,1790000.0
2021-12-13,687.05,690.65,676.65,677.8,2520000.0
