Date,Open,High,Low,Close,Volume
2015-01-01,315.1,317.95,313.4,316.65,18400000.0
2015-01-02,317.5,320.95,317.1,317.75,28160000.0
2015-01-05,318.0,318.75,314.1,315.0,21820000.0
2015-01-06,312.95,312.95,300.1,301.3,36670000.0
2015-01-07,301.95,304.55,297.35,302.25,35610000.0
2015-01-08,306.5,308.4,303.7,306.65,25150000.0
2015-01-09,306.75,309.25,301.05,304.75,23700000.0
2015-01-12,305.25,309.7,302.3,309.0,24260000.0
2015-01-13,309.75,312.25,305.55,306.6,26160000.0
2015-01-14,306.9,308.5,303.3,306.35,21570000.0
2015-01-15,321.0,324.75,315.0,320.95,65330000.0
2015-01-16,318.6,320.95,314.45,316.9,30540000.0
2015-01-19,318.0,319.2,313.75,314.7,23020000.0
2015-01-20,316.0,321.3,315.6,319.6,33960000.0
2015-01-21,320.3,328.85,320.2,327.25,51370000.0
2015-01-22,327.1,328.45,322.8,325.95,24770000.0
2015-01-23,328.45,332.8,324.65,327.9,41060000.0
2015-01-27,330.2,332.6,322.5,330.7,50620000.0
2015-01-28,331.1,336.3,328.3,333.6,51230000.0
2015-01-29,332.2,333.5,325.2,327.5,29740000.0
2015-01-30,330.35,332.8,309.25,311.5,56310000.0
2015-02-02,310.7,314.4,307.5,310.15,36360000.0
2015-02-03,314.1,314.1,301.0,302.4,52620000.0
2015-02-04,303.5,304.5,294.1,295.3,42780000.0
2015-02-05,295.2,299.85,291.0,292.35,39750000.0
2015-02-06,292.85,297.0,287.5,292.4,42000000.0
2015-02-09,291.0,294.25,279.5,281.0,35710000.0
2015-02-10,275.6,292.5,275.6,288.95,53380000.0
2015-02-11,291.6,295.15,285.3,287.75,35550000.0
2015-02-12,290.0,290.45,279.65,286.3,43820000.0
2015-02-13,288.05,309.85,286.55,308.9,203760000.0
2015-02-16,311.2,314.2,306.0,307.8,56360000.0
2015-02-18,308.0,309.35,302.85,307.1,35090000.0
2015-02-19,307.3,308.5,297.55,303.6,48210000.0
2015-02-20,302.15,307.9,298.15,302.9,51230000.0
2015-02-23,302.0,305.4,294.6,296.85,47300000.0
2015-02-24,296.35,299.35,292.2,296.5,49420000.0
2015-02-25,299.0,300.95,295.1,295.8,41610000.0
2015-02-26,296.35,296.95,288.25,289.15,46460000.0
2015-02-27,292.7,302.45,292.25,301.4,41920000.0
2015-02-28,304.5,307.5,296.25,303.8,68960000.0
2015-03-02,307.25,307.25,298.75,304.4,42790000.0
2015-03-03,305.05,307.35,301.0,304.65,46260000.0
2015-03-04,316.15,316.8,293.8,295.5,103410000.0
2015-03-05,295.35,297.8,291.15,295.85,39620000.0
2015-03-09,292.5,295.55,290.0,291.75,36900000.0
2015-03-10,291.75,294.7,285.8,288.75,37450000.0
2015-03-11,290.25,292.2,285.4,287.3,34540000.0
2015-03-12,289.7,291.0,288.15,288.7,21980000.0
2015-03-13,292.4,292.5,280.5,281.8,36720000.0
2015-03-16,283.95,285.45,281.5,283.5,25840000.0
2015-03-17,285.15,285.7,280.7,284.3,26610000.0
2015-03-18,285.2,289.55,283.25,288.1,30320000.0
2015-03-19,294.7,294.7,281.0,281.9,31610000.0
2015-03-20,282.0,283.4,277.8,279.0,28570000.0
2015-03-23,280.1,280.4,273.9,275.05,32890000.0
2015-03-24,274.0,276.9,269.8,271.35,51580000.0
2015-03-25,271.4,272.35,265.7,266.15,37900000.0
2015-03-26,264.6,266.05,255.5,256.8,57800000.0
2015-03-27,262.1,267.7,258.55,266.6,42970000.0
2015-03-30,267.2,270.8,265.1,270.0,25110000.0
2015-03-31,271.0,272.5,266.8,267.85,31420000.0
2015-04-01,267.6,275.45,264.85,274.5,29370000.0
2015-04-06,275.8,276.45,271.95,275.35,25460000.0
2015-04-07,275.8,277.3,271.0,273.0,29290000.0
2015-04-08,274.0,278.6,272.6,274.3,26570000.0
2015-04-09,275.25,282.4,273.25,281.65,40670000.0
2015-04-10,281.3,288.0,280.4,286.05,32729999.999999996
2015-04-13,287.5,288.9,284.1,286.8,22910000.0
2015-04-15,287.15,294.8,286.3,290.4,36720000.0
2015-04-16,290.6,294.5,286.55,292.45,36730000.0
2015-04-17,291.35,295.5,289.25,291.95,29760000.0
2015-04-20,291.9,293.9,284.75,287.9,31870000.0
2015-04-21,286.0,292.4,282.25,289.8,34140000.0
2015-04-22,291.65,293.45,275.9,285.05,42650000.0
2015-04-23,286.0,288.0,276.8,277.85,39280000.0
2015-04-24,277.0,279.8,274.3,276.15,24240000.0
2015-04-27,275.9,276.9,266.6,267.85,30830000.0
2015-04-28,267.95,274.0,265.7,272.75,39910000.0
2015-04-29,272.5,273.45,269.7,271.9,25500000.0
2015-04-30,270.45,273.25,266.65,270.0,37150000.0
2015-05-04,275.5,279.1,271.7,278.5,21980000.0
2015-05-05,278.25,278.3,272.55,273.4,19470000.0
2015-05-06,272.2,274.7,263.4,265.0,33409999.999999996
2015-05-07,264.1,266.85,259.3,261.1,33350000.0
2015-05-08,264.9,267.7,259.2,261.65,30900000.0
2015-05-11,264.0,275.95,261.75,274.95,47330000.0
2015-05-12,274.8,274.85,263.8,264.8,30110000.0
2015-05-13,267.0,273.65,265.8,272.6,31860000.0
2015-05-14,272.4,280.1,270.2,279.25,35980000.0
2015-05-15,280.0,285.3,280.0,284.5,29930000.0
2015-05-18,286.95,286.95,282.25,286.25,25580000.0
2015-05-19,285.3,289.25,283.65,286.15,28850000.0
2015-05-20,287.65,292.2,287.0,289.25,28290000.0
2015-05-21,290.35,291.4,284.6,286.9,29510000.0
2015-05-22,290.95,302.7,277.6,279.45,208260000.0
2015-05-25,278.7,281.35,272.85,274.7,55120000.0
2015-05-26,275.7,277.65,272.8,274.3,39290000.0
2015-05-27,272.8,278.45,270.85,277.75,41400000.0
2015-05-28,279.0,279.85,276.0,277.4,38600000.0
2015-05-29,280.0,283.3,279.1,280.15,32909999.999999996
2015-06-01,280.6,283.25,278.45,279.2,25680000.0
2015-06-02,279.5,280.3,266.6,267.2,55890000.0
2015-06-03,267.8,268.1,256.3,259.0,40160000.0
2015-06-04,261.0,262.7,255.1,259.1,32280000.0
2015-06-05,258.0,262.65,256.8,258.45,26680000.0
2015-06-08,259.2,259.2,253.35,255.4,25680000.0
2015-06-09,254.5,258.95,254.3,258.3,27300000.0
2015-06-10,258.85,262.9,258.85,260.85,24340000.0
2015-06-11,262.2,263.15,252.75,254.45,33640000.0
2015-06-12,253.85,256.3,252.2,254.95,21900000.0
2015-06-15,254.1,256.3,249.3,250.9,28550000.0
2015-06-16,251.0,256.5,249.45,255.3,24430000.0
2015-06-17,257.15,257.3,253.6,255.0,23440000.0
2015-06-18,256.0,260.9,255.0,257.95,30110000.0
2015-06-19,260.0,262.85,257.9,260.65,29950000.0
2015-06-22,261.6,267.65,261.0,266.0,43040000.0
2015-06-23,268.95,270.85,266.15,268.05,50750000.0
2015-06-24,267.95,268.0,260.3,262.5,37060000.0
2015-06-25,261.6,265.9,258.95,264.75,44490000.0
2015-06-26,265.55,267.65,261.7,265.7,21280000.0
2015-06-29,260.1,261.25,255.55,260.6,26850000.0
2015-06-30,260.45,264.5,258.25,263.9,20560000.0
2015-07-01,263.85,271.0,263.2,268.9,31470000.0
2015-07-02,269.15,272.2,267.05,268.2,21180000.0
2015-07-03,267.85,270.75,267.15,269.9,16850000.0
2015-07-06,267.7,271.95,262.0,271.45,26610000.0
2015-07-07,271.25,274.85,270.5,273.4,21390000.0
2015-07-08,270.2,271.85,266.0,268.6,24180000.0
2015-07-09,269.8,272.3,267.6,269.0,17870000.0
2015-07-10,270.85,272.6,267.8,271.95,19580000.0
2015-07-13,272.9,275.4,268.45,274.75,25660000.0
2015-07-14,274.0,274.5,268.45,269.35,20930000.0
2015-07-15,272.2,273.5,268.3,269.15,17870000.0
2015-07-16,270.55,273.15,268.9,272.7,22380000.0
2015-07-17,272.8,274.85,270.8,271.35,15320000.0
2015-07-20,271.6,272.35,266.4,268.25,16000000.0
2015-07-21,267.85,270.3,263.45,264.2,17390000.0
2015-07-22,263.9,270.3,262.3,269.4,18150000.0
2015-07-23,269.4,272.5,267.5,270.1,19510000.0
