Date,Open,High,Low,Close,Volume
2015-01-01,150.95,151.75,150.35,150.7,535690.0
2015-01-02,150.9,153.2,150.55,152.5,2040000.0
2015-01-05,151.65,154.5,151.65,152.95,1870000.0
2015-01-06,151.95,151.95,147.0,148.15,2390000.0
2015-01-07,147.2,149.2,146.0,148.45,2770000.0
2015-01-08,149.9,154.5,149.5,153.7,2290000.0
2015-01-09,154.5,157.7,153.3,155.6,4010000.0
2015-01-12,156.35,158.7,155.2,157.35,1650000.0
2015-01-13,157.55,157.9,154.2,155.25,1560000.0
2015-01-14,155.05,157.0,153.8,154.85,1380000.0
2015-01-15,156.6,157.6,154.05,155.65,1180000.0
2015-01-16,155.0,155.75,153.75,154.3,1300000.0
2015-01-19,154.3,157.8,154.3,156.55,1000000.0
2015-01-20,156.8,157.45,155.6,156.35,1210000.0
2015-01-21,157.4,159.4,156.65,158.0,2700000.0
2015-01-22,157.1,160.6,157.1,158.85,2330000.0
2015-01-23,159.15,162.15,156.9,161.15,2440000.0
2015-01-27,161.0,162.0,158.6,159.4,1630000.0
2015-01-28,158.8,159.9,157.65,158.75,1820000.0
2015-01-29,158.95,160.75,157.3,158.25,2820000.0
2015-01-30,158.95,162.4,154.05,158.7,4090000.0
2015-02-02,157.9,167.75,157.75,163.6,5420000.0
2015-02-03,164.0,164.5,159.2,160.45,1930000.0
2015-02-04,160.7,163.1,157.65,158.55,1570000.0
2015-02-05,159.25,159.8,153.5,154.75,2400000.0
2015-02-06,154.4,154.7,151.55,152.4,1390000.0
2015-02-09,151.5,152.9,148.7,149.55,1470000.0
2015-02-10,148.9,153.15,148.0,151.55,1720000.0
2015-02-11,151.2,154.7,151.2,154.35,1130000.0
2015-02-12,154.95,156.8,153.2,155.2,1730000.0
2015-02-13,155.65,158.95,154.85,157.4,1570000.0
2015-02-16,157.85,157.95,154.75,155.15,696970.0
2015-02-18,155.5,158.0,155.05,156.85,1120000.0
2015-02-19,157.4,158.5,154.45,157.0,1380000.0
2015-02-20,157.75,162.25,156.6,159.7,2890000.0
2015-02-23,160.95,161.5,155.3,155.95,1610000.0
2015-02-24,156.0,157.3,153.6,155.55,1400000.0
2015-02-25,155.55,156.25,153.1,153.5,1550000.0
2015-02-26,153.9,154.5,151.9,152.55,2960000.0
2015-02-27,153.4,156.55,153.15,156.05,1540000.0
2015-02-28,156.75,156.9,152.8,154.9,816170.0
2015-03-02,155.5,158.9,155.0,158.35,1210000.0
2015-03-03,158.5,164.9,157.15,163.55,4310000.0
2015-03-04,164.0,164.35,157.0,158.35,2200000.0
2015-03-05,157.9,161.4,156.1,159.3,1420000.0
2015-03-09,159.05,162.85,157.25,159.05,2280000.0
2015-03-10,159.65,161.0,155.8,157.25,1350000.0
2015-03-11,157.35,159.5,156.7,157.85,1770000.0
2015-03-12,158.5,161.4,157.85,160.0,2130000.0
2015-03-13,160.95,161.1,153.55,154.85,2250000.0
2015-03-16,154.95,155.65,152.85,154.75,1340000.0
2015-03-17,155.25,157.3,155.25,156.7,1420000.0
2015-03-18,156.9,158.25,155.4,155.85,1270000.0
2015-03-19,156.65,157.35,152.7,153.85,1780000.0
2015-03-20,153.75,153.75,149.0,149.95,1830000.0
2015-03-23,149.8,150.55,146.9,147.2,1230000.0
2015-03-24,147.35,148.95,146.2,147.95,1330000.0
2015-03-25,148.0,149.4,147.75,149.0,1570000.0
2015-03-26,148.05,149.55,146.5,147.3,2029999.9999999998
2015-03-27,148.45,149.2,142.7,145.75,2100000.0
2015-03-30,147.1,150.25,146.55,149.75,818900.0
2015-03-31,150.25,151.2,148.3,148.8,1380000.0
2015-04-01,148.8,151.95,148.8,151.1,575050.0
2015-04-06,151.95,152.1,149.8,151.45,843470.0
2015-04-07,152.4,152.4,149.9,151.1,1810000.0
2015-04-08,151.8,153.7,150.8,151.6,1140000.0
2015-04-09,152.35,153.0,151.0,152.05,852910.0
2015-04-10,152.7,162.5,152.05,161.2,6350000.0
2015-04-13,161.65,162.75,158.6,161.5,3120000.0
2015-04-15,161.45,163.5,157.85,158.95,4220000.0
2015-04-16,158.9,160.25,156.05,159.3,1370000.0
2015-04-17,159.25,161.2,157.0,157.55,1220000.0
2015-04-20,157.3,157.75,151.2,153.25,1750000.0
2015-04-21,152.9,154.65,149.65,150.2,3100000.0
2015-04-22,150.9,151.75,145.85,149.65,2720000.0
2015-04-23,151.0,152.5,149.9,150.2,2310000.0
2015-04-24,150.65,150.65,146.2,147.25,1180000.0
2015-04-27,147.65,148.15,141.4,142.15,3010000.0
2015-04-28,141.6,144.15,141.0,141.95,3700000.0
2015-04-29,142.25,143.35,141.5,142.55,1840000.0
2015-04-30,142.25,143.15,140.4,142.1,2460000.0
2015-05-04,143.4,144.9,142.55,143.55,1100000.0
2015-05-05,143.85,145.9,143.5,144.55,1790000.0
2015-05-06,144.25,144.95,138.75,139.8,2280000.0
2015-05-07,139.0,140.45,136.6,137.75,2370000.0
2015-05-08,139.0,141.85,138.3,141.05,1570000.0
2015-05-11,141.4,143.9,140.55,143.35,2340000.0
2015-05-12,143.3,145.5,139.4,142.85,3020000.0
2015-05-13,143.15,145.9,143.05,144.55,2230000.0
2015-05-14,145.05,146.9,143.65,146.3,1370000.0
2015-05-15,146.85,148.5,145.45,147.4,2230000.0
2015-05-18,147.75,150.45,147.65,147.95,1500000.0
2015-05-19,147.8,149.25,146.8,147.55,1140000.0
2015-05-20,147.45,148.75,144.55,145.95,1650000.0
2015-05-21,146.15,147.5,145.05,146.65,702800.0
2015-05-22,147.0,149.15,146.55,147.95,1010000.0
2015-05-25,147.5,149.45,146.75,147.45,872190.0
2015-05-26,146.8,149.7,146.8,148.8,1120000.0
2015-05-27,147.4,150.0,147.4,148.7,909190.0
2015-05-28,149.4,150.3,143.0,144.9,5130000.0
2015-05-29,143.05,146.65,143.05,146.25,1340000.0
2015-06-01,145.3,146.4,144.8,145.15,569530.0
2015-06-02,145.0,145.75,140.0,140.8,2080000.0
2015-06-03,140.6,141.2,136.5,137.35,2270000.0
2015-06-04,137.65,138.6,136.0,137.75,2130000.0
2015-06-05,137.9,139.7,136.85,138.5,756590.0
2015-06-08,138.8,138.8,134.0,134.85,1940000.0
2015-06-09,135.0,138.9,134.0,137.55,877700.0
2015-06-10,137.6,138.7,136.0,136.6,799420.0
2015-06-11,137.0,137.75,133.6,134.4,1590000.0
2015-06-12,133.6,134.45,125.7,128.15,2640000.0
2015-06-15,127.85,130.9,127.1,129.1,1930000.0
2015-06-16,128.95,129.5,126.8,128.7,1340000.0
2015-06-17,129.3,134.15,128.85,132.35,2240000.0
2015-06-18,132.95,133.9,132.3,132.6,970880.0
2015-06-19,133.2,136.2,132.65,133.75,1280000.0
2015-06-22,133.75,136.45,133.7,135.0,1020000.0
2015-06-23,135.6,135.9,133.0,133.85,2120000.0
2015-06-24,133.35,135.25,132.5,133.2,1700000.0
2015-06-25,132.9,136.4,132.6,135.7,2740000.0
2015-06-26,133.2,135.0,132.3,133.85,928890.0
2015-06-29,132.0,132.0,128.2,129.55,1400000.0
2015-06-30,129.75,132.75,129.15,132.2,4330000.0
2015-07-01,132.5,136.1,131.3,135.55,2670000.0
2015-07-02,135.45,138.05,135.1,137.1,1830000.0
2015-07-03,137.5,138.6,135.25,136.1,1030000.0
2015-07-06,133.1,135.6,132.2,135.0,1260000.0
2015-07-07,135.6,141.65,135.1,138.2,3130000.0
2015-07-08,136.1,138.0,134.2,134.9,1610000.0
2015-07-09,134.9,135.7,133.2,133.95,1050000.0
2015-07-10,134.8,135.6,133.8,134.55,1590000.0
2015-07-13,134.9,137.8,134.25,136.8,1720000.0
2015-07-14,137.0,138.2,135.75,137.05,1970000.0
2015-07-15,137.5,139.5,136.6,138.15,1530000.0
2015-07-16,138.95,138.95,136.6,138.0,804970.0
2015-07-17,138.9,140.0,137.25,139.0,2110000.0
2015-07-20,138.2,142.55,138.2,141.75,2390000.0
2015-07-21,140.1,141.9,136.9,137.5,1970000.0
2015-07-22,137.0,140.0,134.5,139.5,1310000.0
2015-07-23,139.95,142.2,139.4,140.85,2009999.9999999998
