Date,Open,High,Low,Close,Volume
2015-01-01,295.27,298.22,293.93,297.63,944550.0
2015-01-02,296.91,308.94,296.91,305.6,4190000.0000000005
2015-01-05,304.58,314.08,302.55,312.76,6760000.0
2015-01-06,307.12,307.12,298.11,299.39,7980000.0
2015-01-07,295.57,298.79,292.1,294.88,9230000.0
2015-01-08,300.94,307.39,299.15,305.72,5540000.0
2015-01-09,311.24,313.45,307.81,311.87,4050000.0
2015-01-12,309.6,313.3,305.27,311.87,2560000.0
2015-01-13,310.7,313.9,307.66,310.17,4330000.0
2015-01-14,311.39,314.47,306.88,310.7,6070000.0
2015-01-15,315.45,320.05,312.73,318.23,6900000.0
2015-01-16,317.12,319.93,311.93,313.93,4250000.0
2015-01-19,314.38,322.2,312.38,321.54,4620000.0
2015-01-20,321.69,334.98,319.3,333.9,6140000.0
2015-01-21,332.5,333.45,326.02,329.3,6520000.0
2015-01-22,328.8,339.57,327.54,338.26,6010000.0
2015-01-23,343.34,352.98,342.74,351.37,7760000.0
2015-01-27,355.9,362.86,355.9,360.98,7210000.0
2015-01-28,357.67,357.79,350.5,351.81,8300000.000000001
2015-01-29,349.9,358.68,346.68,357.43,5870000.0
2015-01-30,359.1,361.07,346.98,349.4,4179999.9999999995
2015-02-02,350.98,355.82,346.83,353.79,4360000.0
2015-02-03,356.86,365.67,355.99,360.23,6100000.0
2015-02-04,362.23,362.23,351.22,353.13,3400000.0
2015-02-05,352.89,360.0,347.52,351.81,6850000.0
2015-02-06,338.59,341.54,329.72,334.14,12220000.0
2015-02-09,328.41,331.07,323.21,324.02,4630000.0
2015-02-10,324.83,339.16,324.44,336.83,5620000.0
2015-02-11,338.56,341.19,330.41,333.72,4640000.0
2015-02-12,335.69,337.96,329.9,335.45,5490000.0
2015-02-13,335.99,338.68,331.39,337.69,3510000.0
2015-02-16,339.75,346.59,337.66,342.83,5790000.0
2015-02-18,341.96,350.5,334.77,348.89,5850000.0
2015-02-19,349.9,353.82,341.6,344.26,4320000.0
2015-02-20,346.02,349.31,341.69,346.26,3910000.0
2015-02-23,347.52,348.98,341.57,342.86,3040000.0
2015-02-24,344.53,345.13,334.35,337.01,4350000.0
2015-02-25,338.38,343.93,336.77,339.28,3080000.0
2015-02-26,340.41,341.57,332.8,334.77,3570000.0
2015-02-27,338.59,346.92,336.47,343.43,4360000.0
2015-02-28,344.44,357.64,336.65,354.29,4150000.0000000005
2015-03-02,356.71,358.86,342.2,349.31,4950000.0
2015-03-03,347.81,347.81,341.54,342.8,3590000.0
2015-03-04,347.22,353.55,340.41,342.8,6240000.0
2015-03-05,343.93,345.01,338.98,340.77,3350000.0
2015-03-09,340.95,342.5,335.57,337.42,3570000.0
2015-03-10,339.1,341.96,333.6,334.5,3920000.0
2015-03-11,334.98,337.48,327.33,328.95,3180000.0
2015-03-12,331.33,338.53,330.98,336.71,3430000.0
2015-03-13,337.75,337.78,331.45,333.39,5380000.0
2015-03-16,333.81,337.78,330.95,332.53,2790000.0
2015-03-17,336.77,345.72,335.81,341.28,5400000.0
2015-03-18,340.56,340.95,332.29,334.5,4570000.0
2015-03-19,337.36,339.72,329.15,330.68,3300000.0
2015-03-20,327.78,328.8,323.03,326.98,5120000.0
2015-03-23,327.24,333.07,327.24,329.27,3150000.0
2015-03-24,329.48,329.9,315.51,317.81,4520000.0
2015-03-25,319.75,325.78,318.56,323.54,8630000.0
2015-03-26,317.0,321.84,310.97,313.03,6540000.0
2015-03-27,313.87,320.53,309.39,319.66,4720000.0
2015-03-30,320.56,323.06,317.27,322.44,4010000.0
2015-03-31,322.53,334.26,321.0,328.53,5410000.0
2015-04-01,327.87,338.2,327.21,337.31,4220000.0
2015-04-06,340.32,346.11,335.16,342.88,5730000.0
2015-04-07,343.43,344.42,334.38,338.18,3200000.0
2015-04-08,340.98,343.76,337.48,338.87,3770000.0
2015-04-09,339.66,340.89,333.29,337.91,3040000.0
2015-04-10,337.24,343.64,335.28,339.57,2810000.0
2015-04-13,339.78,340.32,333.41,335.7,2890000.0
2015-04-15,332.69,332.69,324.84,326.17,4120000.0
2015-04-16,328.16,332.69,322.4,326.65,4030000.0000000005
2015-04-17,326.8,328.79,322.37,323.09,2730000.0
2015-04-20,327.8,327.8,314.46,321.79,5010000.0
2015-04-21,320.74,324.69,315.94,318.29,3240000.0
2015-04-22,319.26,319.68,308.18,315.94,4310000.0
2015-04-23,318.53,318.53,306.86,309.0,4960000.0
2015-04-24,310.96,313.83,306.95,311.53,4300000.0
2015-04-27,314.43,315.64,309.63,311.92,3080000.0
2015-04-28,314.13,322.15,312.83,319.77,6420000.0
2015-04-29,317.9,318.65,311.89,314.37,3690000.0
2015-04-30,312.74,314.31,305.83,306.73,10010000.0
2015-05-04,308.85,311.41,300.25,305.65,5850000.0
2015-05-05,307.49,311.23,305.41,308.06,3400000.0
2015-05-06,306.89,306.89,299.22,300.46,5930000.0
2015-05-07,297.83,303.57,291.25,294.57,5500000.0
2015-05-08,301.0,311.35,300.16,310.02,6230000.0
2015-05-11,315.18,320.43,312.02,319.68,5520000.0
2015-05-12,317.27,317.27,308.48,309.93,4570000.0
2015-05-13,312.02,317.18,305.71,314.1,4440000.0
2015-05-14,313.22,313.22,307.85,311.77,3590000.0
2015-05-15,313.22,316.54,312.05,313.77,4040000.0
2015-05-18,312.17,316.48,307.97,314.25,4360000.0
2015-05-19,311.95,313.07,307.01,307.67,5500000.0
2015-05-20,308.39,310.11,303.9,304.92,6390000.0
2015-05-21,305.68,309.3,304.77,308.51,4710000.0
2015-05-22,308.85,311.98,307.91,310.6,4740000.0
2015-05-25,309.6,310.2,303.57,304.95,3080000.0
2015-05-26,304.77,305.38,297.86,300.31,7390000.0
2015-05-27,285.82,286.64,279.76,284.71,15940000.0
2015-05-28,285.97,294.18,285.01,292.31,11790000.0
2015-05-29,292.82,295.87,289.32,290.68,7890000.0
2015-06-01,291.44,291.44,284.25,284.89,4610000.0
