"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2026","3,025.50","3,072.00","3,076.10","3,016.00","1.29M","-1.09%"
"30-07-2026","3,058.90","3,040.00","3,077.40","3,010.30","1.49M","0.53%"
"29-07-2026","3,042.90","3,030.00","3,066.90","2,982.00","3.02M","1.35%"
"28-07-2026","3,002.30","3,029.00","3,035.30","2,991.30","","-1.40%"
"27-07-2026","3,045.00","3,056.00","3,056.00","3,007.10","5.47M","0.69%"
"24-07-2026","3,024.10","2,997.00","3,047.90","2,991.70","4.30M","0.37%"
"23-07-2026","3,013.10","3,132.10","3,137.00","2,999.90","5.85M","-4.14%"
"22-07-2026","3,143.30","3,187.50","3,203.00","3,136.40","1.66M","-1.44%"
"21-07-2026","3,189.30","3,187.80","3,218.70","3,178.90","939.36K","-0.06%"
"20-07-2026","3,191.30","3,165.60","3,196.20","3,133.90","848.51K","0.78%"
"17-07-2026","3,166.60","3,163.10","3,195.00","3,148.20","1.42M","0.11%"
"16-07-2026","3,163.20","3,170.40","3,197.00","3,147.20","1.18M","-0.01%"
"15-07-2026","3,163.50","3,192.00","3,205.00","3,148.50","1.21M","-0.87%"
"14-07-2026","3,191.20","3,182.70","3,226.00","3,152.00","2.03M","0.27%"
"13-07-2026","3,182.70","3,145.10","3,199.00","3,125.10","1.72M","0.67%"
"10-07-2026","3,161.40","3,107.00","3,188.70","3,106.00","2.65M","2.21%"
"09-07-2026","3,093.00","3,081.10","3,119.70","3,040.10","2.44M","1.05%"
"08-07-2026","3,061.00","3,100.10","3,153.30","3,041.30","3.59M","-1.80%"
"07-07-2026","3,117.00","3,225.00","3,225.00","3,105.00","3.13M","-3.00%"
"06-07-2026","3,213.40","3,240.00","3,253.80","3,195.70","2.31M","-0.20%"
"03-07-2026","3,219.70","3,194.80","3,234.00","3,114.00","6.12M","1.06%"
"02-07-2026","3,185.90","3,167.00","3,240.00","3,156.00","5.24M","0.99%"
"01-07-2026","3,154.60","3,040.00","3,161.00","3,027.50","5.16M","3.91%"
"30-06-2026","3,036.00","2,965.00","3,057.90","2,965.00","3.36M","2.09%"
"29-06-2026","2,973.90","3,012.00","3,018.30","2,953.40","5.88M","-2.17%"
"25-06-2026","3,040.00","3,089.00","3,105.00","3,032.70","6.11M","-1.06%"
"24-06-2026","3,072.60","2,997.00","3,084.00","2,966.50","5.54M","3.67%"
"23-06-2026","2,963.80","3,070.30","3,094.00","2,949.60","3.02M","-3.44%"
"22-06-2026","3,069.40","3,040.00","3,075.20","3,002.10","2.16M","0.97%"
"19-06-2026","3,039.80","3,034.00","3,058.90","3,017.10","2.89M","0.38%"
"18-06-2026","3,028.30","2,962.00","3,054.00","2,945.20","3.01M","2.12%"
"17-06-2026","2,965.30","2,965.90","2,984.10","2,941.00","1.37M","0.44%"
"16-06-2026","2,952.40","2,974.00","3,006.00","2,935.00","2.85M","-0.17%"
"15-06-2026","2,957.40","2,995.20","2,995.20","2,948.70","1.48M","0.59%"
"12-06-2026","2,940.00","2,973.90","2,981.50","2,895.50","2.58M","0.74%"
"11-06-2026","2,918.40","2,920.00","2,975.00","2,900.00","1.28M","-0.62%"
"10-06-2026","2,936.50","2,979.00","3,005.70","2,925.00","2.11M","-1.82%"
"09-06-2026","2,991.00","2,999.00","3,012.90","2,944.70","2.18M","0.43%"
"08-06-2026","2,978.10","3,037.00","3,058.70","2,964.10","2.54M","-3.01%"
"05-06-2026","3,070.50","3,011.00","3,081.60","2,975.00","6.47M","2.66%"
"04-06-2026","2,990.80","2,934.00","2,999.00","2,934.00","1.75M","1.49%"
"03-06-2026","2,946.80","2,989.00","2,989.00","2,904.00","2.15M","-1.49%"
"02-06-2026","2,991.50","2,917.30","2,997.90","2,886.00","3.39M","2.04%"
"01-06-2026","2,931.60","2,979.00","2,979.00","2,914.00","1.77M","-1.14%"
"29-05-2026","2,965.50","2,996.10","3,019.00","2,953.90","2.85M","-1.02%"
"27-05-2026","2,996.00","2,997.00","3,049.70","2,956.00","4.59M","0.90%"
"26-05-2026","2,969.30","2,850.70","2,976.70","2,827.80","4.06M","4.25%"
"25-05-2026","2,848.30","2,750.00","2,864.00","2,743.50","7.26M","4.68%"
"22-05-2026","2,721.00","2,717.60","2,750.00","2,704.70","5.71M","0.85%"
"21-05-2026","2,698.20","2,730.00","2,773.20","2,690.70","4.36M","-0.44%"
"20-05-2026","2,710.00","2,700.00","2,718.90","2,683.30","3.01M","-0.51%"
"19-05-2026","2,723.90","2,730.00","2,770.80","2,696.00","4.40M","1.18%"
"18-05-2026","2,692.10","2,704.00","2,716.00","2,646.10","3.75M","-1.01%"
"15-05-2026","2,719.70","2,795.80","2,805.90","2,665.00","7.31M","0.13%"
"14-05-2026","2,716.30","2,549.90","2,727.00","2,540.00","10.76M","8.23%"
"13-05-2026","2,509.80","2,400.10","2,543.80","2,400.10","3.13M","3.95%"
"12-05-2026","2,414.40","2,504.90","2,519.90","2,407.20","2.53M","-3.84%"
"11-05-2026","2,510.90","2,508.00","2,526.60","2,470.00","2.06M","-0.30%"
"08-05-2026","2,518.50","2,522.10","2,558.40","2,509.20","2.11M","-0.30%"
"07-05-2026","2,526.00","2,553.30","2,557.80","2,515.00","1.70M","-1.07%"
"06-05-2026","2,553.30","2,490.00","2,563.10","2,479.70","4.47M","3.24%"
"05-05-2026","2,473.20","2,475.10","2,524.00","2,466.70","2.46M","-0.70%"
"04-05-2026","2,490.70","2,400.00","2,529.90","2,388.00","8.12M","2.84%"
"30-04-2026","2,421.80","2,395.00","2,431.90","2,334.30","5.42M","-0.36%"
"29-04-2026","2,430.50","2,441.00","2,458.00","2,402.50","5.00M","0.75%"
"28-04-2026","2,412.40","2,333.00","2,421.50","2,323.30","4.17M","3.69%"
"27-04-2026","2,326.60","2,311.00","2,340.30","2,287.00","6.04M","1.64%"
"24-04-2026","2,289.10","2,316.00","2,323.10","2,228.50","5.83M","-0.78%"
