"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2026","752.00","756.85","760.80","751.30","16.25M","-0.64%"
"30-07-2026","756.85","752.00","759.10","747.50","16.13M","0.81%"
"29-07-2026","750.75","746.95","753.95","744.85","19.01M","2.09%"
"28-07-2026","735.40","736.80","741.60","733.25","","-0.77%"
"27-07-2026","741.10","747.85","749.95","739.00","54.36M","-0.45%"
"24-07-2026","744.45","739.55","749.35","738.30","67.96M","-0.53%"
"23-07-2026","748.40","751.10","752.25","743.85","67.92M","-0.78%"
"22-07-2026","754.25","760.00","762.65","751.40","50.86M","-1.14%"
"21-07-2026","762.95","770.25","772.70","762.00","42.27M","-2.10%"
"20-07-2026","779.35","790.00","790.00","775.95","56.15M","-4.95%"
"17-07-2026","819.90","811.50","824.25","809.30","24.87M","1.13%"
"16-07-2026","810.75","817.30","819.45","808.90","13.18M","-0.64%"
"15-07-2026","816.00","811.65","820.40","810.50","16.85M","0.73%"
"14-07-2026","810.05","814.70","819.45","807.50","25.64M","-1.22%"
"13-07-2026","820.05","818.10","822.85","812.00","19.64M","-0.76%"
"10-07-2026","826.30","823.95","828.80","821.30","14.51M","0.92%"
"09-07-2026","818.75","815.00","824.00","814.20","21.98M","0.75%"
"08-07-2026","812.65","826.00","835.75","809.05","33.95M","-2.21%"
"07-07-2026","831.05","846.00","846.00","829.05","36.21M","-0.07%"
"06-07-2026","831.65","809.80","833.50","809.00","41.23M","3.28%"
"03-07-2026","805.20","805.90","811.40","802.05","13.54M","0.62%"
"02-07-2026","800.25","801.30","810.60","798.85","20.21M","-0.13%"
"01-07-2026","801.30","799.00","807.80","799.00","16.03M","0.42%"
"30-06-2026","797.95","805.00","807.00","793.95","44.12M","-0.06%"
"29-06-2026","798.45","800.00","805.95","794.10","73.03M","0.24%"
"25-06-2026","796.55","796.00","803.95","794.95","100.38M","0.49%"
"24-06-2026","792.70","774.70","794.50","774.00","103.23M","2.26%"
"23-06-2026","775.15","784.00","791.15","773.35","47.69M","-1.46%"
"22-06-2026","786.60","789.95","789.95","783.25","33.03M","0.68%"
"19-06-2026","781.30","786.00","789.80","777.00","37.26M","-0.84%"
"18-06-2026","787.90","773.90","791.00","773.90","49.60M","1.59%"
"17-06-2026","775.60","775.00","782.40","772.90","22.18M","0.25%"
"16-06-2026","773.70","771.00","776.90","767.90","19.15M","0.93%"
"15-06-2026","766.60","780.00","781.75","765.05","40.53M","0.64%"
"12-06-2026","761.75","748.40","763.80","741.35","35.61M","3.58%"
"11-06-2026","735.40","735.00","746.90","731.05","26.96M","-0.46%"
"10-06-2026","738.80","732.00","748.25","727.95","39.17M","1.09%"
"09-06-2026","730.85","731.50","735.90","724.00","30.61M","0.12%"
"08-06-2026","729.95","732.60","733.60","725.65","19.16M","-1.44%"
"05-06-2026","740.60","745.05","751.40","737.60","22.80M","-0.60%"
"04-06-2026","745.10","739.95","748.85","738.05","22.63M","-0.11%"
"03-06-2026","745.95","739.00","749.00","733.45","28.10M","0.38%"
"02-06-2026","743.10","732.00","746.30","726.35","30.58M","1.10%"
"01-06-2026","735.00","741.20","744.85","732.20","18.48M","-0.81%"
"29-05-2026","741.00","744.00","754.60","735.10","59.92M","-1.55%"
"27-05-2026","752.65","770.00","770.00","750.65","38.60M","-3.37%"
"26-05-2026","778.90","783.75","790.90","776.70","20.26M","-1.10%"
"25-05-2026","787.55","776.70","789.95","776.70","53.99M","2.47%"
"22-05-2026","768.60","761.00","776.90","761.00","63.59M","1.12%"
"21-05-2026","760.10","768.00","769.55","755.65","73.45M","-0.16%"
"20-05-2026","761.35","758.00","763.50","756.40","56.85M","-0.33%"
"19-05-2026","763.85","768.70","771.95","762.20","20.60M","-0.80%"
"18-05-2026","770.00","763.00","773.95","753.10","23.99M","0.25%"
"15-05-2026","768.10","774.70","782.85","766.50","23.10M","-0.34%"
