"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2026","348.05","345.10","348.55","345.10","4.54M","0.61%"
"30-07-2026","345.95","345.00","348.90","343.95","4.22M","0.12%"
"29-07-2026","345.55","343.60","346.80","343.10","4.89M","0.52%"
"28-07-2026","343.75","349.90","349.90","340.75","","-1.87%"
"27-07-2026","350.30","351.80","351.95","347.60","53.49M","0.75%"
"24-07-2026","347.70","348.00","350.35","345.00","32.75M","-0.22%"
"23-07-2026","348.45","348.25","350.30","346.75","25.87M","-0.47%"
"22-07-2026","350.10","347.30","350.40","345.55","11.04M","0.47%"
"21-07-2026","348.45","349.75","349.75","344.15","5.80M","-0.01%"
"20-07-2026","348.50","341.95","350.25","341.95","8.29M","1.96%"
"17-07-2026","341.80","342.55","344.70","340.70","4.50M","-0.44%"
"16-07-2026","343.30","345.40","347.05","343.00","5.04M","-0.65%"
"15-07-2026","345.55","348.80","349.65","344.30","6.94M","-1.09%"
"14-07-2026","349.35","351.50","354.40","348.30","8.14M","-0.91%"
"13-07-2026","352.55","345.60","354.65","345.10","5.86M","1.89%"
"10-07-2026","346.00","347.70","350.30","344.90","8.66M","0.23%"
"09-07-2026","345.20","350.00","350.40","344.65","12.06M","-1.09%"
"08-07-2026","349.00","354.25","354.25","347.60","11.72M","-1.61%"
"07-07-2026","354.70","358.00","358.00","353.20","3.78M","-0.63%"
"06-07-2026","356.95","357.50","359.90","355.60","4.09M","0.06%"
"03-07-2026","356.75","358.40","360.90","356.00","6.58M","-0.71%"
"02-07-2026","359.30","358.50","360.50","354.30","3.57M","0.14%"
"01-07-2026","358.80","360.00","362.00","355.95","4.66M","0.60%"
"30-06-2026","356.65","354.50","358.90","352.00","23.16M","0.21%"
"29-06-2026","355.90","352.50","357.30","351.05","51.94M","1.01%"
"25-06-2026","352.35","357.65","359.75","351.55","34.92M","-1.48%"
"24-06-2026","357.65","362.60","363.75","356.20","25.40M","-1.87%"
"23-06-2026","364.45","369.00","369.15","361.95","10.20M","-0.71%"
"22-06-2026","367.05","366.30","368.60","364.50","11.26M","0.30%"
"19-06-2026","365.95","364.70","368.30","361.10","19.05M","0.81%"
"18-06-2026","363.00","357.00","364.65","355.05","12.42M","1.75%"
"17-06-2026","356.75","354.50","357.15","353.60","9.17M","0.22%"
"16-06-2026","355.95","350.35","356.65","349.40","10.42M","1.80%"
"15-06-2026","349.65","358.20","358.45","348.75","9.08M","-1.63%"
"12-06-2026","355.45","357.50","357.50","351.25","9.03M","0.62%"
"11-06-2026","353.25","353.35","355.20","350.40","7.16M","-0.07%"
"10-06-2026","353.50","359.70","361.00","352.85","8.52M","-1.26%"
"09-06-2026","358.00","364.40","367.60","357.30","6.60M","-1.76%"
"08-06-2026","364.40","360.10","367.65","357.50","7.95M","-0.03%"
"05-06-2026","364.50","368.35","370.95","361.00","6.79M","-1.34%"
"04-06-2026","369.45","369.90","371.90","367.50","8.25M","-0.18%"
"03-06-2026","370.10","371.85","373.05","366.55","10.14M","-0.19%"
"02-06-2026","370.80","379.60","379.60","366.05","14.66M","-2.82%"
"01-06-2026","381.55","390.00","390.20","380.10","8.66M","-2.49%"
"29-05-2026","391.30","403.35","403.35","390.15","11.41M","-2.28%"
"27-05-2026","400.45","392.90","405.00","392.90","11.79M","2.77%"
"26-05-2026","389.65","390.60","391.50","389.15","16.63M","-0.15%"
