"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2026","1,032.60","1,033.80","1,038.50","1,026.90","6.41M","0.37%"
"30-07-2026","1,028.80","1,017.20","1,032.90","1,011.40","5.62M","0.88%"
"29-07-2026","1,019.80","1,022.80","1,024.90","1,017.60","3.76M","0.65%"
"28-07-2026","1,013.20","1,020.90","1,020.90","1,007.90","","-0.89%"
"27-07-2026","1,022.30","1,025.00","1,025.00","1,016.30","20.91M","0.56%"
"24-07-2026","1,016.60","1,005.00","1,019.40","1,002.20","16.30M","0.24%"
"23-07-2026","1,014.20","1,020.30","1,024.90","1,007.60","14.07M","-0.96%"
"22-07-2026","1,024.00","1,046.10","1,046.10","1,019.10","10.08M","-2.11%"
"21-07-2026","1,046.10","1,058.00","1,069.00","1,044.90","10.95M","-1.44%"
"20-07-2026","1,061.40","1,046.40","1,067.00","1,038.60","16.85M","1.57%"
"17-07-2026","1,045.00","1,033.00","1,048.70","1,030.40","11.96M","1.07%"
"16-07-2026","1,033.90","1,031.20","1,039.50","1,030.30","4.74M","0.16%"
"15-07-2026","1,032.20","1,015.00","1,039.90","1,015.00","14.00M","1.36%"
"14-07-2026","1,018.40","1,036.00","1,037.80","1,013.90","11.45M","-2.22%"
"13-07-2026","1,041.50","1,025.00","1,046.70","1,024.60","7.58M","0.12%"
"10-07-2026","1,040.20","1,031.10","1,052.60","1,027.70","10.05M","1.54%"
"09-07-2026","1,024.40","1,023.90","1,034.10","1,021.50","5.28M","0.41%"
"08-07-2026","1,020.20","1,030.10","1,040.90","1,014.50","12.94M","-1.90%"
"07-07-2026","1,040.00","1,045.00","1,053.30","1,038.40","5.76M","-0.26%"
"06-07-2026","1,042.70","1,041.00","1,053.70","1,040.30","4.98M","-0.07%"
"03-07-2026","1,043.40","1,059.90","1,059.90","1,037.80","9.69M","-1.05%"
"02-07-2026","1,054.50","1,054.20","1,063.20","1,048.20","9.83M","0.34%"
"01-07-2026","1,050.90","1,037.00","1,054.00","1,030.30","7.49M","2.34%"
"30-06-2026","1,026.90","1,041.30","1,043.50","1,023.05","12.28M","-1.15%"
"29-06-2026","1,038.85","1,044.20","1,044.95","1,031.30","20.43M","-0.54%"
"25-06-2026","1,044.50","1,042.95","1,054.50","1,040.30","30.81M","0.79%"
"24-06-2026","1,036.35","1,028.90","1,044.10","1,021.25","21.98M","1.03%"
"23-06-2026","1,025.75","1,041.00","1,045.75","1,024.05","10.01M","-1.52%"
"22-06-2026","1,041.60","1,042.00","1,043.50","1,035.75","5.47M","0.26%"
"19-06-2026","1,038.85","1,043.90","1,043.90","1,031.85","8.76M","-0.57%"
"18-06-2026","1,044.85","1,029.20","1,046.80","1,026.00","16.38M","1.65%"
"17-06-2026","1,027.90","1,021.80","1,029.70","1,015.30","7.26M","1.04%"
"16-06-2026","1,017.30","1,027.25","1,028.00","1,009.05","8.20M","-0.75%"
"15-06-2026","1,024.95","1,035.00","1,035.50","1,022.80","12.29M","0.42%"
"12-06-2026","1,020.65","1,018.20","1,023.00","1,006.00","11.42M","1.63%"
"11-06-2026","1,004.25","998.20","1,011.50","995.85","9.60M","-0.09%"
"10-06-2026","1,005.20","1,007.05","1,015.45","1,001.95","17.76M","-0.29%"
"09-06-2026","1,008.15","988.00","1,013.00","986.35","20.84M","2.41%"
"08-06-2026","984.45","973.65","993.00","970.10","12.08M","-0.03%"
"05-06-2026","984.70","988.00","1,000.60","978.00","26.10M","-0.07%"
"04-06-2026","985.35","967.90","991.80","967.05","16.34M","0.84%"
"03-06-2026","977.15","961.10","979.90","943.60","22.46M","1.37%"
"02-06-2026","963.95","954.00","967.75","947.05","9.81M","0.45%"
"01-06-2026","959.60","973.30","976.45","955.35","8.51M","-1.41%"
"29-05-2026","973.30","975.00","981.50","966.50","13.57M","-0.22%"
"27-05-2026","975.40","975.50","983.20","973.30","7.28M","0.71%"
"26-05-2026","968.50","970.10","979.10","961.60","20.17M","-0.25%"
"25-05-2026","970.90","960.00","974.00","959.00","27.58M","1.99%"
"22-05-2026","952.00","952.00","960.00","950.40","15.45M","-0.04%"
"21-05-2026","952.40","962.00","962.10","946.10","18.21M","-0.07%"
"20-05-2026","953.10","939.10","955.60","935.00","13.00M","0.51%"
"19-05-2026","948.30","943.10","956.20","938.70","10.27M","0.70%"
"18-05-2026","941.70","954.00","954.90","934.10","17.51M","-2.20%"
"15-05-2026","962.90","969.50","972.90","957.40","15.60M","-0.32%"
"14-05-2026","966.00","958.90","973.70","947.60","14.91M","1.12%"
"13-05-2026","955.30","962.90","966.50","945.10","17.12M","-0.35%"
"12-05-2026","958.70","960.00","965.90","946.70","19.67M","-0.09%"
"11-05-2026","959.60","989.00","989.00","957.70","36.12M","-4.38%"
"08-05-2026","1,003.60","1,080.00","1,084.80","996.00","75.77M","-7.45%"
"07-05-2026","1,084.40","1,095.10","1,099.80","1,078.30","14.50M","-0.53%"
"06-05-2026","1,090.20","1,065.00","1,094.20","1,054.00","19.76M","3.65%"
"05-05-2026","1,051.80","1,057.00","1,060.10","1,040.80","7.98M","-0.77%"
"04-05-2026","1,060.00","1,062.40","1,082.00","1,058.00","10.83M","-0.39%"
"30-04-2026","1,064.10","1,075.00","1,075.00","1,053.00","12.27M","-1.58%"
"29-04-2026","1,081.20","1,090.00","1,101.00","1,079.25","10.59M","-0.93%"
"28-04-2026","1,091.30","1,101.00","1,111.95","1,089.35","17.49M","-1.88%"
"27-04-2026","1,112.25","1,109.20","1,114.00","1,102.20","20.87M","0.84%"
"24-04-2026","1,103.00","1,089.75","1,108.00","1,089.75","22.06M","0.81%"
"23-04-2026","1,094.10","1,098.50","1,102.90","1,081.80","20.25M","-1.03%"
"22-04-2026","1,105.50","1,111.00","1,116.85","1,098.90","10.73M","-0.59%"
"21-04-2026","1,112.05","1,112.80","1,114.35","1,105.15","9.76M","0.52%"
"20-04-2026","1,106.30","1,084.00","1,121.40","1,077.70","21.51M","2.17%"
"17-04-2026","1,082.80","1,070.00","1,084.50","1,063.20","9.49M","1.18%"
"16-04-2026","1,070.15","1,082.00","1,087.50","1,065.00","8.98M","-0.37%"
"15-04-2026","1,074.10","1,074.80","1,088.30","1,069.75","10.61M","0.96%"
"13-04-2026","1,063.85","1,046.00","1,068.30","1,015.10","12.37M","-0.43%"
"10-04-2026","1,068.45","1,048.55","1,071.85","1,048.50","12.52M","2.18%"
"09-04-2026","1,045.70","1,067.20","1,069.15","1,043.20","11.44M","-2.01%"
"08-04-2026","1,067.20","1,084.00","1,084.00","1,065.05","20.55M","3.32%"
"07-04-2026","1,032.95","1,030.20","1,036.60","1,016.55","12.41M","-0.50%"
"06-04-2026","1,038.10","1,025.00","1,041.45","1,009.30","15.73M","1.64%"
"02-04-2026","1,021.35","1,002.00","1,028.30","981.70","16.80M","0.08%"
"01-04-2026","1,020.55","1,009.00","1,034.00","1,002.60","16.71M","4.20%"
"30-03-2026","979.40","1,006.20","1,008.90","977.30","20.35M","-3.86%"
"27-03-2026","1,018.70","1,053.30","1,056.90","1,012.80","22.52M","-3.86%"
"25-03-2026","1,059.60","1,046.00","1,063.80","1,044.30","29.43M","2.58%"
"24-03-2026","1,033.00","1,054.00","1,055.00","1,021.60","32.72M","0.27%"
"23-03-2026","1,030.20","1,039.70","1,043.90","1,014.70","17.29M","-2.78%"
"20-03-2026","1,059.70","1,062.00","1,085.90","1,054.50","16.48M","1.01%"
"19-03-2026","1,049.10","1,052.50","1,060.90","1,040.00","14.90M","-2.09%"
"18-03-2026","1,071.50","1,068.10","1,077.20","1,062.30","10.25M","0.53%"
"17-03-2026","1,065.80","1,069.90","1,073.40","1,048.60","11.32M","-0.13%"
"16-03-2026","1,067.20","1,049.50","1,074.00","1,039.50","16.93M","1.68%"
"13-03-2026","1,049.60","1,079.30","1,085.20","1,045.00","18.29M","-3.61%"
"12-03-2026","1,088.90","1,077.00","1,102.20","1,073.20","15.16M","-0.39%"
"11-03-2026","1,093.20","1,116.10","1,120.50","1,090.70","10.68M","-2.18%"
"10-03-2026","1,117.60","1,116.30","1,125.00","1,108.10","15.65M","1.26%"
"09-03-2026","1,103.70","1,116.00","1,117.80","1,068.30","25.52M","-3.73%"
"06-03-2026","1,146.50","1,169.00","1,172.80","1,142.50","18.24M","-2.38%"
"05-03-2026","1,174.50","1,185.20","1,187.20","1,155.60","18.98M","-0.45%"
"04-03-2026","1,179.80","1,178.40","1,188.80","1,163.20","20.56M","-1.35%"
"02-03-2026","1,196.00","1,185.10","1,203.60","1,185.00","17.36M","-1.02%"
"27-02-2026","1,208.30","1,214.20","1,217.70","1,204.60","11.56M","-0.73%"
"26-02-2026","1,217.20","1,208.70","1,222.80","1,196.90","18.28M","0.80%"
"25-02-2026","1,207.50","1,233.00","1,234.10","1,205.30","19.60M","-1.29%"
"24-02-2026","1,223.30","1,227.90","1,232.90","1,220.20","13.42M","-0.32%"
"23-02-2026","1,227.20","1,218.00","1,228.40","1,214.40","17.65M","1.09%"
"20-02-2026","1,214.00","1,204.00","1,216.10","1,201.90","24.20M","0.83%"
"19-02-2026","1,204.00","1,216.90","1,220.40","1,199.00","21.60M","-0.87%"
"18-02-2026","1,214.60","1,212.50","1,218.90","1,209.10","12.72M","0.48%"
"17-02-2026","1,208.80","1,202.30","1,221.20","1,200.50","19.02M","0.32%"
"16-02-2026","1,205.00","1,190.10","1,206.90","1,181.60","16.33M","0.90%"
"13-02-2026","1,194.20","1,185.30","1,196.40","1,182.70","16.02M","0.39%"
"12-02-2026","1,189.60","1,181.30","1,200.00","1,173.30","28.70M","0.81%"
"11-02-2026","1,180.10","1,144.80","1,184.90","1,142.80","31.91M","3.30%"
"10-02-2026","1,142.40","1,149.80","1,152.30","1,137.80","15.26M","-0.25%"
"09-02-2026","1,145.30","1,119.00","1,147.50","1,100.70","45.17M","7.34%"
"06-02-2026","1,067.00","1,071.80","1,075.20","1,052.40","14.99M","-0.73%"
"05-02-2026","1,074.80","1,066.20","1,082.10","1,066.20","11.39M","0.46%"
"04-02-2026","1,069.90","1,063.00","1,074.50","1,057.30","9.56M","0.40%"
"03-02-2026","1,065.60","1,069.80","1,094.20","1,043.00","23.55M","3.17%"
"02-02-2026","1,032.90","1,021.50","1,035.50","994.10","26.45M","1.19%"
"01-02-2026","1,020.80","1,075.30","1,086.90","993.00","27.37M","-5.69%"
"30-01-2026","1,082.40","1,066.00","1,085.55","1,062.70","14.17M","1.26%"
"29-01-2026","1,068.90","1,066.90","1,078.40","1,063.80","13.79M","0.15%"
"28-01-2026","1,067.30","1,062.00","1,070.30","1,048.30","14.15M","1.34%"
"27-01-2026","1,053.15","1,033.70","1,051.80","1,028.95","17.93M","2.21%"
"23-01-2026","1,030.35","1,048.35","1,052.25","1,027.00","23.65M","-1.61%"
"22-01-2026","1,047.25","1,036.90","1,054.30","1,034.80","29.71M","1.65%"
"21-01-2026","1,030.25","1,030.00","1,039.40","1,021.30","26.13M","-0.47%"
"20-01-2026","1,035.15","1,040.00","1,051.85","1,031.95","17.97M","-0.25%"
"19-01-2026","1,037.75","1,035.10","1,043.60","1,034.75","8.02M","-0.41%"
"16-01-2026","1,042.00","1,032.70","1,047.90","1,028.55","14.38M","1.26%"
"14-01-2026","1,029.05","1,030.30","1,032.80","1,021.25","12.17M","0.00%"
"13-01-2026","1,029.10","1,019.10","1,029.90","1,017.65","14.81M","1.23%"
"12-01-2026","1,016.60","1,006.50","1,018.60","998.30","13.49M","1.25%"
"09-01-2026","1,004.05","1,000.00","1,010.55","997.20","12.27M","0.33%"
"08-01-2026","1,000.70","1,007.80","1,013.55","998.00","10.35M","-0.85%"
"07-01-2026","1,009.25","1,021.25","1,023.60","1,006.40","13.53M","-1.17%"
"06-01-2026","1,021.20","1,008.75","1,026.60","1,008.65","14.16M","1.33%"
"05-01-2026","1,007.80","1,010.80","1,019.80","1,002.85","18.18M","0.13%"
"02-01-2026","1,006.45","989.15","1,015.35","987.75","16.23M","1.78%"
"01-01-2026","988.85","986.95","991.30","983.50","5.47M","0.25%"
"31-12-2025","986.35","982.45","989.40","978.00","8.78M","1.33%"
"30-12-2025","973.45","961.10","973.50","958.80","16.73M","0.87%"
"29-12-2025","965.05","966.45","968.85","961.65","14.74M","-0.24%"
"26-12-2025","967.40","970.00","971.35","964.80","17.69M","-0.28%"
"24-12-2025","970.10","974.90","980.00","969.05","14.57M","-0.35%"
"23-12-2025","973.55","977.80","978.60","972.45","11.22M","-0.26%"
"22-12-2025","976.10","982.15","984.00","974.70","8.96M","-0.51%"
"19-12-2025","981.15","979.50","982.85","978.50","5.73M","0.34%"
"18-12-2025","977.85","979.00","981.90","974.60","9.58M","0.04%"
"17-12-2025","977.50","966.80","979.70","966.80","14.35M","1.52%"
"16-12-2025","962.90","969.40","970.60","961.35","9.87M","-0.75%"
"15-12-2025","970.15","962.00","972.30","960.40","8.72M","0.48%"
"12-12-2025","965.55","968.00","969.05","960.55","5.19M","0.03%"
"11-12-2025","965.30","964.00","969.20","960.40","8.84M","0.37%"
"10-12-2025","961.75","963.90","966.45","957.45","7.50M","-0.13%"
"09-12-2025","963.00","955.50","966.80","953.60","11.92M","0.42%"
"08-12-2025","959.00","975.00","976.30","956.55","17.06M","-1.60%"
"05-12-2025","974.55","954.50","976.00","951.55","21.94M","2.14%"
"04-12-2025","954.10","957.05","957.40","950.00","10.83M","-0.31%"
"03-12-2025","957.05","975.00","978.40","953.45","20.20M","-1.67%"
"02-12-2025","973.35","979.15","986.20","971.15","14.64M","-0.55%"
"01-12-2025","978.75","988.05","995.65","976.20","10.99M","-0.65%"
"28-11-2025","985.15","982.50","988.35","978.55","8.39M","0.58%"
"27-11-2025","979.50","993.80","995.90","975.10","18.75M","-1.15%"
"26-11-2025","990.90","993.00","1,004.00","989.00","15.55M","0.74%"
"25-11-2025","983.60","973.45","987.00","969.65","15.83M","1.39%"
"24-11-2025","970.10","973.00","976.00","966.55","20.55M","-0.28%"
"21-11-2025","972.85","978.05","979.70","970.85","23.31M","-0.78%"
"20-11-2025","980.50","983.90","985.55","978.80","22.83M","-0.17%"
"19-11-2025","982.15","972.45","983.80","969.15","14.05M","0.97%"
"18-11-2025","972.75","972.00","976.85","970.25","8.08M","-0.11%"
"17-11-2025","973.80","970.80","977.00","970.20","8.75M","0.50%"
"14-11-2025","969.00","955.00","970.00","955.00","15.15M","1.30%"
"13-11-2025","956.60","959.00","966.65","954.90","10.85M","-0.32%"
"12-11-2025","959.65","961.10","963.80","956.70","7.59M","0.18%"
"11-11-2025","957.90","955.00","958.70","947.90","10.48M","0.34%"
"10-11-2025","954.70","960.60","965.40","951.20","10.98M","-0.43%"
"07-11-2025","958.85","959.95","966.65","946.55","23.95M","-0.42%"
"06-11-2025","962.90","964.50","974.05","957.40","32.38M","0.07%"
"04-11-2025","962.20","955.05","963.95","946.00","47.08M","0.89%"
"03-11-2025","953.75","944.85","957.40","943.40","17.01M","1.16%"
"31-10-2025","942.85","940.00","952.30","935.00","16.20M","0.37%"
"30-10-2025","939.40","941.35","948.45","938.60","12.85M","-0.45%"
"29-10-2025","943.60","937.45","946.15","934.45","14.69M","1.44%"
"28-10-2025","930.25","927.50","934.10","915.65","25.20M","0.95%"
"27-10-2025","921.50","904.50","928.35","904.50","28.04M","1.94%"
"24-10-2025","904.00","908.20","914.10","900.75","32.66M","-0.76%"
"23-10-2025","910.95","911.05","917.60","904.30","30.05M","0.42%"
"21-10-2025","907.10","909.95","909.95","903.30","2.31M","-0.01%"
"20-10-2025","907.15","893.45","913.40","890.50","23.29M","2.00%"
"17-10-2025","889.40","887.10","895.50","883.40","15.02M","0.12%"
"16-10-2025","888.30","889.15","893.05","883.70","14.24M","0.10%"
"15-10-2025","887.40","879.50","889.50","878.30","10.00M","1.04%"
"14-10-2025","878.30","887.80","887.80","874.15","11.72M","-0.71%"
"13-10-2025","884.60","879.95","889.80","878.00","12.55M","0.14%"
"10-10-2025","883.35","867.15","887.45","864.75","22.53M","1.90%"
"09-10-2025","866.85","865.00","870.30","861.60","9.42M","0.49%"
"08-10-2025","862.60","868.00","871.50","860.20","10.72M","-0.73%"
"07-10-2025","868.90","878.50","879.45","867.70","13.70M","-1.01%"
"06-10-2025","877.75","873.10","879.25","866.40","12.47M","0.56%"
"03-10-2025","872.85","870.15","877.50","868.65","11.65M","0.37%"
"01-10-2025","869.60","877.50","880.95","868.05","13.86M","-0.33%"
"30-09-2025","872.45","867.10","876.75","867.10","16.88M","0.35%"
"29-09-2025","869.40","857.75","871.75","856.20","27.43M","1.54%"
"26-09-2025","856.25","865.00","865.45","852.80","26.07M","-0.86%"
"25-09-2025","863.70","866.40","871.00","861.45","27.97M","-0.37%"
"24-09-2025","866.90","876.20","881.30","865.20","18.42M","-0.69%"
"23-09-2025","872.95","855.40","876.40","853.55","19.68M","1.80%"
