"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2026","1,651.30","1,620.00","1,661.50","1,610.50","3.36M","-1.06%"
"30-07-2026","1,669.00","1,649.00","1,686.60","1,638.10","4.17M","1.51%"
"29-07-2026","1,644.20","1,661.00","1,673.00","1,640.10","2.19M","0.55%"
"28-07-2026","1,635.20","1,599.00","1,643.90","1,595.80","5.08M","3.82%"
"27-07-2026","1,575.00","1,576.00","1,599.60","1,571.00","1.51M","0.99%"
"24-07-2026","1,559.50","1,549.00","1,579.80","1,531.10","1.23M","0.24%"
"23-07-2026","1,555.80","1,550.00","1,567.60","1,539.00","2.42M","-0.31%"
"22-07-2026","1,560.60","1,574.10","1,574.10","1,551.60","975.90K","-1.00%"
"21-07-2026","1,576.30","1,577.00","1,614.60","1,572.00","2.62M","-0.01%"
"20-07-2026","1,576.40","1,577.60","1,608.00","1,572.40","2.32M","0.22%"
"17-07-2026","1,572.90","1,540.00","1,585.00","1,527.30","10.63M","4.14%"
"16-07-2026","1,510.30","1,510.00","1,538.30","1,504.20","2.90M","0.77%"
"15-07-2026","1,498.70","1,465.20","1,507.00","1,453.00","1.83M","0.97%"
"14-07-2026","1,484.30","1,509.00","1,519.90","1,480.00","2.01M","-1.34%"
"13-07-2026","1,504.50","1,444.20","1,524.80","1,444.20","2.29M","3.42%"
"10-07-2026","1,454.80","1,448.00","1,478.90","1,445.30","1.73M","2.00%"
"09-07-2026","1,426.30","1,426.00","1,436.30","1,399.00","1.38M","-0.17%"
"08-07-2026","1,428.80","1,441.00","1,452.90","1,422.80","1.49M","-1.29%"
"07-07-2026","1,447.50","1,398.50","1,463.30","1,398.50","4.07M","2.92%"
"06-07-2026","1,406.50","1,409.80","1,417.40","1,391.00","1.16M","-0.26%"
"03-07-2026","1,410.10","1,399.90","1,445.00","1,398.50","2.85M","-0.79%"
"02-07-2026","1,421.30","1,378.30","1,426.00","1,373.40","3.03M","4.34%"
"01-07-2026","1,362.20","1,404.70","1,404.70","1,355.60","3.79M","-3.03%"
"30-06-2026","1,404.70","1,438.00","1,443.80","1,398.90","2.42M","-2.03%"
"29-06-2026","1,433.80","1,439.70","1,453.90","1,428.60","2.47M","-0.23%"
"25-06-2026","1,437.10","1,465.00","1,476.00","1,435.10","2.55M","-1.68%"
"24-06-2026","1,461.60","1,420.00","1,466.50","1,420.00","3.45M","3.25%"
"23-06-2026","1,415.60","1,427.20","1,433.30","1,400.50","2.40M","-1.37%"
"22-06-2026","1,435.20","1,414.00","1,444.00","1,414.00","2.17M","1.82%"
"19-06-2026","1,409.60","1,350.00","1,417.20","1,344.00","5.86M","-2.63%"
"18-06-2026","1,447.70","1,454.00","1,460.00","1,435.50","2.27M","-1.01%"
"17-06-2026","1,462.40","1,455.00","1,476.80","1,454.00","2.13M","1.08%"
"16-06-2026","1,446.80","1,435.10","1,455.70","1,422.90","1.99M","1.49%"
"15-06-2026","1,425.60","1,441.20","1,454.70","1,423.60","1.93M","-0.25%"
"12-06-2026","1,429.20","1,477.00","1,478.60","1,425.00","2.46M","-2.45%"
"11-06-2026","1,465.10","1,456.80","1,481.90","1,437.70","2.09M","-0.93%"
"10-06-2026","1,478.90","1,480.00","1,496.30","1,471.20","1.08M","-0.33%"
"09-06-2026","1,483.80","1,516.50","1,518.40","1,473.20","1.33M","-1.30%"
"08-06-2026","1,503.40","1,469.10","1,511.10","1,459.00","2.47M","1.34%"
"05-06-2026","1,483.50","1,508.70","1,524.00","1,467.90","2.20M","-0.26%"
"04-06-2026","1,487.30","1,460.00","1,499.70","1,453.10","2.06M","1.02%"
"03-06-2026","1,472.30","1,549.10","1,554.70","1,467.60","3.49M","-6.31%"
"02-06-2026","1,571.40","1,562.90","1,589.00","1,554.00","4.17M","1.83%"
"01-06-2026","1,543.20","1,495.20","1,562.50","1,495.20","5.24M","4.00%"
"29-05-2026","1,483.90","1,476.90","1,496.60","1,460.10","3.96M","1.94%"
"27-05-2026","1,455.60","1,460.10","1,479.00","1,451.10","1.83M","-0.21%"
"26-05-2026","1,458.70","1,433.60","1,465.80","1,429.90","1.73M","1.62%"
"25-05-2026","1,435.50","1,429.40","1,445.00","1,421.20","887.43K","0.94%"
"22-05-2026","1,422.20","1,425.00","1,429.30","1,406.10","654.08K","0.15%"
"21-05-2026","1,420.00","1,445.10","1,450.00","1,416.30","999.42K","-1.32%"
"20-05-2026","1,439.00","1,453.60","1,476.50","1,434.70","2.22M","-1.92%"
"19-05-2026","1,467.10","1,446.30","1,506.80","1,445.60","6.70M","2.59%"
"18-05-2026","1,430.00","1,363.70","1,437.70","1,363.70","6.20M","4.34%"
"15-05-2026","1,370.50","1,350.00","1,387.70","1,350.00","5.31M","2.02%"
"14-05-2026","1,343.40","1,370.00","1,374.00","1,327.30","2.34M","-2.30%"
"13-05-2026","1,375.00","1,392.90","1,399.90","1,371.60","2.14M","-1.29%"
"12-05-2026","1,392.90","1,447.00","1,447.00","1,388.90","1.47M","-4.43%"
"11-05-2026","1,457.40","1,460.00","1,475.40","1,451.80","1.35M","-0.38%"
"08-05-2026","1,463.00","1,453.50","1,469.80","1,448.40","1.36M","1.02%"
"07-05-2026","1,448.20","1,467.00","1,475.90","1,444.00","1.15M","-1.26%"
"06-05-2026","1,466.70","1,467.90","1,480.60","1,455.40","877.90K","1.00%"
"05-05-2026","1,452.20","1,465.00","1,483.80","1,447.10","711.08K","-1.32%"
"04-05-2026","1,471.60","1,484.00","1,492.40","1,455.20","1.48M","-0.13%"
"30-04-2026","1,473.50","1,459.70","1,482.00","1,445.60","2.64M","0.94%"
"29-04-2026","1,459.80","1,414.00","1,464.00","1,405.20","3.33M","3.67%"
"28-04-2026","1,408.10","1,392.50","1,413.00","1,383.60","2.01M","0.86%"
"27-04-2026","1,396.10","1,362.90","1,400.50","1,360.20","1.83M","2.77%"
"24-04-2026","1,358.50","1,407.10","1,426.70","1,347.40","3.69M","-4.43%"
"23-04-2026","1,421.50","1,470.20","1,473.90","1,413.90","4.10M","-2.81%"
"22-04-2026","1,462.60","1,463.40","1,502.80","1,404.10","11.67M","-2.55%"
"21-04-2026","1,500.80","1,501.00","1,510.90","1,489.00","2.00M","-0.24%"
"20-04-2026","1,504.40","1,510.90","1,531.30","1,496.20","1.34M","-0.46%"
"17-04-2026","1,511.40","1,486.00","1,522.50","1,474.90","1.86M","1.37%"
"16-04-2026","1,491.00","1,489.80","1,511.50","1,479.50","1.77M","0.49%"
"15-04-2026","1,483.80","1,455.00","1,485.70","1,450.00","1.68M","3.37%"
"13-04-2026","1,435.40","1,425.60","1,439.40","1,412.90","1.29M","-0.33%"
"10-04-2026","1,440.20","1,461.00","1,461.00","1,426.00","2.05M","-1.46%"
"09-04-2026","1,461.60","1,452.00","1,464.00","1,433.60","1.81M","0.70%"
"08-04-2026","1,451.40","1,484.00","1,493.00","1,445.80","2.74M","-1.49%"
"07-04-2026","1,473.40","1,435.00","1,482.00","1,431.30","1.67M","1.65%"
"06-04-2026","1,449.50","1,435.00","1,464.90","1,433.70","1.48M","0.55%"
"02-04-2026","1,441.50","1,390.00","1,447.00","1,383.50","2.50M","2.63%"
"01-04-2026","1,404.50","1,412.60","1,422.80","1,395.00","1.62M","1.48%"
"30-03-2026","1,384.00","1,380.00","1,422.00","1,367.10","3.05M","-0.55%"
"27-03-2026","1,391.60","1,395.00","1,421.00","1,385.50","2.58M","-1.20%"
"25-03-2026","1,408.50","1,422.40","1,428.70","1,393.00","4.94M","-1.69%"
"24-03-2026","1,432.70","1,414.00","1,439.20","1,400.00","3.99M","3.52%"
"23-03-2026","1,384.00","1,366.00","1,414.60","1,357.60","3.65M","-0.06%"
"20-03-2026","1,384.80","1,360.70","1,391.00","1,355.60","3.40M","3.30%"
"19-03-2026","1,340.60","1,364.10","1,379.30","1,331.10","1.22M","-3.22%"
"18-03-2026","1,385.20","1,346.80","1,404.70","1,344.30","2.97M","3.23%"
"17-03-2026","1,341.80","1,340.90","1,354.80","1,318.20","1.63M","0.17%"
"16-03-2026","1,339.50","1,324.00","1,346.40","1,315.90","2.06M","0.50%"
"13-03-2026","1,332.80","1,342.50","1,342.50","1,319.80","1.15M","-1.26%"
"12-03-2026","1,349.80","1,334.40","1,356.50","1,327.00","3.07M","1.15%"
"11-03-2026","1,334.40","1,343.90","1,355.40","1,330.20","1.50M","-0.16%"
"10-03-2026","1,336.60","1,340.00","1,347.90","1,316.70","1.07M","0.02%"
"09-03-2026","1,336.30","1,305.00","1,340.40","1,304.10","1.03M","0.35%"
"06-03-2026","1,331.70","1,330.00","1,359.50","1,326.60","1.03M","-0.12%"
"05-03-2026","1,333.30","1,358.00","1,366.70","1,319.30","1.21M","-1.32%"
"04-03-2026","1,351.20","1,321.00","1,362.20","1,321.00","1.82M","0.43%"
"02-03-2026","1,345.40","1,335.00","1,362.80","1,322.20","1.56M","-0.91%"
"27-02-2026","1,357.80","1,391.00","1,410.40","1,354.00","2.60M","-0.29%"
"26-02-2026","1,361.80","1,366.40","1,396.60","1,360.40","1.59M","0.00%"
"25-02-2026","1,361.80","1,355.10","1,397.70","1,351.40","2.68M","1.22%"
"24-02-2026","1,345.40","1,420.00","1,423.20","1,335.30","7.44M","-6.63%"
"23-02-2026","1,440.90","1,459.50","1,470.00","1,430.00","2.66M","-1.10%"
"20-02-2026","1,456.90","1,465.00","1,477.30","1,453.10","1.60M","-1.51%"
"19-02-2026","1,479.30","1,506.80","1,532.80","1,472.30","1.11M","-1.69%"
"18-02-2026","1,504.80","1,524.60","1,528.60","1,481.70","1.99M","-1.25%"
"17-02-2026","1,523.80","1,512.70","1,547.50","1,506.00","1.78M","0.73%"
"16-02-2026","1,512.70","1,526.00","1,541.90","1,494.70","1.87M","-1.41%"
"13-02-2026","1,534.40","1,482.60","1,548.00","1,464.40","7.06M","-0.14%"
"12-02-2026","1,536.60","1,605.00","1,611.00","1,528.00","5.34M","-5.98%"
"11-02-2026","1,634.40","1,655.00","1,658.00","1,625.00","1.52M","-0.62%"
"10-02-2026","1,644.60","1,625.00","1,658.50","1,611.10","1.53M","1.41%"
"09-02-2026","1,621.70","1,625.00","1,636.00","1,613.60","933.82K","0.11%"
"06-02-2026","1,619.90","1,645.00","1,645.90","1,600.00","1.99M","-1.60%"
"05-02-2026","1,646.20","1,630.10","1,659.10","1,630.00","1.72M","0.05%"
"04-02-2026","1,645.30","1,651.00","1,656.00","1,598.00","4.82M","-4.15%"
"03-02-2026","1,716.50","1,845.00","1,854.00","1,712.70","2.71M","-0.44%"
"02-02-2026","1,724.00","1,713.70","1,729.60","1,709.20","1.03M","0.39%"
"01-02-2026","1,717.30","1,732.00","1,766.40","1,706.40","654.18K","-1.48%"
"30-01-2026","1,743.10","1,757.10","1,760.00","1,731.00","1.67M","-1.43%"
"29-01-2026","1,768.40","1,751.10","1,776.60","1,736.10","1.89M","0.31%"
"28-01-2026","1,762.90","1,748.00","1,765.70","1,739.90","2.53M","1.02%"
"27-01-2026","1,745.10","1,720.00","1,749.00","1,700.00","2.93M","2.59%"
"23-01-2026","1,701.10","1,699.00","1,709.70","1,689.20","1.83M","0.81%"
"22-01-2026","1,687.40","1,695.00","1,712.60","1,682.70","3.12M","0.04%"
"21-01-2026","1,686.70","1,678.50","1,694.30","1,660.10","1.77M","0.49%"
"20-01-2026","1,678.50","1,715.00","1,716.70","1,675.00","1.83M","-2.32%"
"19-01-2026","1,718.30","1,690.00","1,736.00","1,673.50","10.62M","2.86%"
"16-01-2026","1,670.50","1,600.00","1,680.70","1,600.00","3.73M","5.16%"
"14-01-2026","1,588.50","1,612.90","1,613.00","1,583.10","1.57M","-1.63%"
"13-01-2026","1,614.80","1,582.00","1,622.90","1,582.00","2.57M","1.81%"
"12-01-2026","1,586.10","1,572.10","1,594.00","1,562.80","652.32K","0.25%"
"09-01-2026","1,582.20","1,583.00","1,606.40","1,578.10","1.41M","0.27%"
"08-01-2026","1,577.90","1,625.00","1,632.80","1,574.50","1.66M","-2.91%"
"07-01-2026","1,625.20","1,599.00","1,633.90","1,595.80","1.31M","1.46%"
"06-01-2026","1,601.80","1,603.90","1,625.40","1,596.10","570.34K","0.31%"
"05-01-2026","1,596.90","1,601.90","1,610.10","1,576.10","907.81K","-0.94%"
"02-01-2026","1,612.00","1,611.00","1,619.10","1,601.90","637.08K","0.27%"
