"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2026","3,005.90","3,008.00","3,026.70","2,990.90","605.22K","0.22%"
"30-07-2026","2,999.20","3,020.20","3,042.60","2,982.00","806.91K","-0.20%"
"29-07-2026","3,005.20","2,940.00","3,010.10","2,916.50","1.01M","2.54%"
"28-07-2026","2,930.70","2,938.30","2,945.30","2,908.80","514.39K","-0.26%"
"27-07-2026","2,938.30","2,918.90","2,953.50","2,907.10","789.07K","1.65%"
"24-07-2026","2,890.50","2,841.30","2,913.00","2,836.00","654.17K","0.55%"
"23-07-2026","2,874.80","2,880.00","2,930.00","2,865.00","710.24K","-0.43%"
"22-07-2026","2,887.30","2,914.80","2,914.80","2,861.30","628.55K","-0.26%"
"21-07-2026","2,894.70","2,930.00","2,934.40","2,883.10","480.35K","-1.07%"
"20-07-2026","2,925.90","2,840.00","2,935.00","2,837.00","1.56M","2.94%"
"17-07-2026","2,842.40","2,860.90","2,873.90","2,838.20","791.07K","-0.62%"
"16-07-2026","2,860.20","2,876.70","2,905.00","2,855.00","905.52K","-0.26%"
"15-07-2026","2,867.70","2,875.00","2,897.40","2,857.40","1.03M","-0.05%"
"14-07-2026","2,869.10","2,900.00","2,900.00","2,855.20","784.33K","-1.07%"
"13-07-2026","2,900.10","2,884.00","2,914.90","2,862.50","1.11M","-0.09%"
"10-07-2026","2,902.80","2,934.00","2,938.70","2,896.80","1.09M","-0.04%"
"09-07-2026","2,904.10","2,945.00","2,963.20","2,895.50","1.55M","-0.68%"
"08-07-2026","2,924.00","2,921.00","2,984.90","2,892.40","2.74M","-0.13%"
"07-07-2026","2,927.80","3,080.00","3,080.00","2,920.00","9.06M","-12.44%"
"06-07-2026","3,343.80","3,341.00","3,365.00","3,330.10","800.66K","0.10%"
"03-07-2026","3,340.60","3,374.00","3,399.70","3,320.00","1.50M","0.69%"
"02-07-2026","3,317.80","3,290.50","3,344.90","3,265.00","1.09M","0.84%"
"01-07-2026","3,290.30","3,285.00","3,296.70","3,263.00","683.23K","0.23%"
"30-06-2026","3,282.60","3,275.00","3,295.00","3,242.40","1.51M","0.75%"
"29-06-2026","3,258.30","3,225.30","3,312.00","3,225.30","2.68M","1.31%"
"25-06-2026","3,216.20","3,270.00","3,290.90","3,206.60","1.41M","-0.95%"
"24-06-2026","3,247.00","3,158.10","3,309.20","3,140.00","3.95M","3.31%"
"23-06-2026","3,142.90","3,172.10","3,232.00","3,137.00","1.49M","-1.19%"
"22-06-2026","3,180.60","3,209.80","3,241.80","3,171.00","1.27M","-0.79%"
"19-06-2026","3,205.80","3,182.00","3,218.80","3,140.00","2.46M","0.82%"
"18-06-2026","3,179.70","3,125.00","3,192.00","3,105.00","3.70M","2.48%"
"17-06-2026","3,102.80","2,905.00","3,115.00","2,905.00","5.65M","7.07%"
"16-06-2026","2,897.80","2,915.50","2,923.20","2,875.00","811.50K","-0.11%"
"15-06-2026","2,901.10","2,791.30","2,944.50","2,791.30","2.23M","5.29%"
