Date,Open,High,Low,Close,Volume
2015-01-01,502.65,504.0,499.05,503.05,1350000.0
2015-01-02,503.2,516.9,501.7,514.3,3850000.0
2015-01-05,516.9,520.4,515.1,517.55,2560000.0
2015-01-06,513.55,513.55,496.75,499.05,5280000.0
2015-01-07,498.8,505.35,494.5,498.65,4250000.0
2015-01-08,506.0,507.0,494.65,501.95,5640000.0
2015-01-09,504.9,505.9,487.0,494.95,5080000.0
2015-01-12,495.0,503.8,492.15,501.55,2290000.0
2015-01-13,504.0,511.7,500.3,504.5,4070000.0000000005
2015-01-14,504.5,505.75,494.2,499.6,2970000.0
2015-01-15,523.45,523.95,511.1,514.05,6670000.0
2015-01-16,516.6,521.5,512.6,514.8,6920000.0
2015-01-19,519.45,531.8,516.85,528.95,6110000.0
2015-01-20,532.55,554.7,531.1,551.4,6930000.0
2015-01-21,553.0,556.8,545.55,547.25,4460000.0
2015-01-22,549.7,567.15,547.8,564.75,5550000.0
2015-01-23,571.0,577.4,560.3,565.15,4980000.0
2015-01-27,570.9,597.8,567.0,592.1,5380000.0
2015-01-28,590.0,599.8,583.45,590.6,6370000.0
2015-01-29,588.95,602.0,582.1,599.5,5420000.0
2015-01-30,602.75,604.05,583.7,588.1,4500000.0
2015-02-02,586.0,621.0,584.4,617.3,6310000.0
2015-02-03,623.0,625.6,584.5,586.6,9290000.0
2015-02-04,591.0,592.0,553.25,558.6,10770000.0
2015-02-05,562.4,578.5,558.6,565.9,6870000.0
2015-02-06,568.0,571.5,545.75,563.15,7710000.0
2015-02-09,555.0,569.6,550.0,553.6,4330000.0
2015-02-10,546.9,569.8,540.5,554.1,9810000.0
2015-02-11,559.35,572.65,555.5,569.25,6200000.0
2015-02-12,573.0,581.5,564.0,578.75,5850000.0
2015-02-13,582.15,588.75,576.5,581.1,4630000.0
2015-02-16,583.0,584.0,566.1,570.3,4280000.0
2015-02-18,572.0,574.0,564.0,569.5,4700000.0
2015-02-19,574.0,575.6,553.25,565.25,5350000.0
2015-02-20,566.45,570.8,554.0,561.5,6030000.0
2015-02-23,563.5,567.0,546.05,549.05,6090000.0
2015-02-24,549.9,555.7,542.0,551.8,6160000.0
2015-02-25,554.2,558.6,550.1,553.0,4190000.0000000005
2015-02-26,552.65,557.65,543.8,552.3,5580000.0
2015-02-27,555.6,570.35,550.35,567.15,5790000.0
2015-02-28,574.0,618.9,562.8,612.6,16350000.000000002
2015-03-02,630.0,650.0,628.7,647.55,13210000.0
2015-03-03,649.0,649.0,628.55,631.4,6820000.0
2015-03-04,650.9,654.9,608.15,612.75,10100000.0
2015-03-05,613.0,622.0,603.5,616.8,6910000.0
2015-03-09,610.0,610.0,589.15,591.6,6040000.0
2015-03-10,591.9,594.8,580.0,585.45,5790000.0
2015-03-11,585.25,592.7,580.0,583.85,5820000.0
2015-03-12,587.5,593.5,582.7,584.1,4510000.0
2015-03-13,589.5,590.95,564.1,570.0,6750000.0
2015-03-16,569.5,573.8,559.1,568.6,6450000.0
2015-03-17,574.9,585.8,567.05,580.1,5630000.0
2015-03-18,584.25,585.8,575.75,581.25,5850000.0
2015-03-19,588.0,595.55,558.5,563.55,7710000.0
2015-03-20,563.0,564.0,551.7,556.25,8160000.0
2015-03-23,559.9,562.0,552.65,555.2,4190000.0000000005
2015-03-24,553.95,566.0,551.25,558.05,6310000.0
2015-03-25,559.85,567.15,553.9,562.2,5580000.0
2015-03-26,560.0,561.45,537.5,544.3,9230000.0
2015-03-27,548.0,551.25,526.1,546.4,10660000.0
2015-03-30,552.5,565.45,549.35,563.55,6630000.0
2015-03-31,567.9,573.5,557.25,560.2,5970000.0
2015-04-01,557.7,572.0,555.25,569.65,3750000.0
2015-04-06,571.95,571.95,562.1,569.05,4310000.0
2015-04-07,571.0,573.0,555.0,557.85,6750000.0
2015-04-08,561.8,564.0,551.1,555.9,5750000.0
2015-04-09,560.0,577.0,555.1,572.15,9650000.0
2015-04-10,573.4,574.8,565.4,568.05,4940000.0
