Date,Open,High,Low,Close,Volume
2015-01-01,104.89,107.2,104.2,106.59,2670000.0
2015-01-02,107.01,107.9,106.33,106.92,3660000.0
2015-01-05,106.92,108.7,105.8,106.66,3390000.0
2015-01-06,105.41,105.89,102.06,102.77,5550000.0
2015-01-07,101.6,102.58,99.72,101.19,5290000.0
2015-01-08,102.5,103.49,99.86,102.21,4780000.0
2015-01-09,102.7,103.5,100.41,101.3,5050000.0
2015-01-12,101.0,101.2,99.77,100.07,2410000.0
2015-01-13,100.59,101.4,98.92,99.34,5070000.0
2015-01-14,99.5,99.8,96.31,96.83,5880000.0
2015-01-15,97.8,98.8,95.67,97.09,6810000.0
2015-01-16,97.37,99.25,96.09,98.05,4950000.0
2015-01-19,98.6,99.21,97.23,97.67,3390000.0
2015-01-20,97.95,100.83,97.88,100.51,6120000.0
2015-01-21,101.01,101.3,98.2,100.0,5030000.0
2015-01-22,100.1,100.96,98.62,99.33,3850000.0
2015-01-23,101.0,102.1,99.5,101.53,5490000.0
2015-01-27,101.61,102.42,100.16,101.65,4700000.0
2015-01-28,101.5,101.7,99.0,99.5,4530000.0
2015-01-29,99.38,100.28,97.83,99.72,7120000.0
2015-01-30,99.6,100.55,95.77,97.75,8130000.000000001
2015-02-02,97.83,100.96,97.7,99.7,4970000.0
2015-02-03,99.7,100.59,97.8,98.55,5150000.0
2015-02-04,98.8,100.76,98.7,99.5,4890000.0
2015-02-05,99.6,100.0,97.12,97.65,5190000.0
2015-02-06,97.88,98.47,95.4,96.08,4720000.0
2015-02-09,95.0,95.39,92.2,93.61,7210000.0
2015-02-10,93.3,96.39,92.7,93.86,4330000.0
2015-02-11,93.69,98.98,93.69,97.78,4970000.0
2015-02-12,98.11,98.69,96.15,97.19,4870000.0
2015-02-13,97.98,99.94,97.2,98.6,6540000.0
2015-02-16,99.2,100.31,98.52,99.12,4550000.0
2015-02-18,99.38,100.04,97.0,97.32,4620000.0
2015-02-19,97.88,105.2,97.52,103.76,10900000.0
2015-02-20,105.01,105.81,102.03,102.42,6070000.0
2015-02-23,102.8,103.28,99.12,99.72,6030000.0
