Date,Open,High,Low,Close,Volume
2015-01-01,619.0,621.9,615.05,618.52,713340.0
2015-01-02,615.12,621.85,611.25,612.33,1280000.0
2015-01-05,610.05,624.0,608.5,609.23,1460000.0
2015-01-06,607.5,612.17,600.5,605.83,2580000.0
2015-01-07,606.0,615.7,601.25,612.08,2190000.0
2015-01-08,615.0,623.38,615.0,618.8,1670000.0
2015-01-09,621.4,623.0,612.6,619.1,1530000.0
2015-01-12,617.15,618.9,608.5,616.5,897680.0
2015-01-13,615.0,630.55,615.0,624.4,1480000.0
2015-01-14,622.65,631.25,612.23,618.48,2830000.0
2015-01-15,629.5,647.0,626.7,639.05,2860000.0
2015-01-16,638.5,656.42,637.27,652.3,2130000.0
2015-01-19,652.45,667.5,648.0,666.1,1360000.0
2015-01-20,666.6,669.5,657.65,662.62,1840000.0
2015-01-21,669.0,670.0,657.52,662.52,1390000.0
2015-01-22,662.5,668.05,657.5,664.98,1820000.0
2015-01-23,668.0,687.83,665.65,680.95,4560000.0
2015-01-27,679.83,680.0,656.55,662.23,2380000.0
2015-01-28,662.23,667.0,651.5,658.15,1660000.0
2015-01-29,658.25,659.98,641.2,648.4,2950000.0
2015-01-30,650.5,650.95,630.0,632.55,1630000.0
2015-02-02,632.65,642.48,616.8,620.6,1460000.0
2015-02-03,621.05,624.48,596.05,599.6,4690000.0
2015-02-04,601.45,609.95,600.0,605.48,1830000.0
2015-02-05,605.5,607.62,587.62,589.85,4850000.0
2015-02-06,588.55,590.1,571.5,574.88,4179999.9999999995
2015-02-09,566.5,567.2,553.15,556.7,5280000.0
2015-02-10,554.55,576.38,551.0,570.1,4019999.9999999995
2015-02-11,571.2,576.38,561.5,566.7,2160000.0
2015-02-12,573.42,577.2,565.85,567.23,2270000.0
2015-02-13,567.0,599.5,561.8,596.27,5990000.0
2015-02-16,599.83,614.0,588.3,605.23,4290000.0
2015-02-18,606.0,621.0,604.02,614.1,3600000.0
2015-02-19,618.5,629.48,610.5,624.95,2830000.0
2015-02-20,628.35,632.73,621.0,626.0,1300000.0
2015-02-23,627.92,637.25,624.02,630.62,2710000.0
2015-02-24,630.5,634.5,622.67,629.35,1830000.0
2015-02-25,630.0,640.6,630.0,633.55,1400000.0
2015-02-26,633.5,634.98,622.48,624.8,4450000.0
2015-02-27,627.95,644.0,625.08,640.25,2310000.0
2015-02-28,643.95,651.5,632.5,645.98,1130000.0
2015-03-02,647.55,654.4,629.27,639.08,2760000.0
2015-03-03,629.0,629.0,609.77,615.83,2630000.0
2015-03-04,627.5,630.33,602.6,605.55,2730000.0
