Date,Open,High,Low,Close,Volume
2015-01-01,314.4,315.14,310.21,311.1,60500.0
2015-01-02,308.05,313.49,308.05,311.76,136860.0
2015-01-05,313.66,313.66,309.72,311.93,213800.0
2015-01-06,310.01,310.85,306.27,307.59,263180.0
2015-01-07,308.49,310.65,307.63,308.88,713460.0
2015-01-08,308.98,312.43,308.98,310.23,150480.0
2015-01-09,313.66,319.07,308.91,314.46,409840.0
2015-01-12,316.12,321.04,314.42,318.23,951140.0
2015-01-13,318.58,331.93,318.58,330.63,1100000.0
2015-01-14,331.63,341.23,329.17,333.94,748060.0
2015-01-15,338.24,341.72,332.91,335.28,1200000.0
2015-01-16,332.96,344.93,331.88,343.95,997040.0
2015-01-19,344.93,349.6,343.92,348.32,708280.0
2015-01-20,348.27,350.1,344.68,348.35,568620.0
2015-01-21,349.0,350.59,346.56,348.62,622080.0
2015-01-22,348.37,353.05,347.24,349.46,1080000.0
2015-01-23,351.97,358.96,351.97,357.4,917320.0
2015-01-27,357.4,365.85,357.28,361.92,907000.0
2015-01-28,361.67,365.41,355.27,359.65,475240.0
2015-01-29,359.45,362.65,351.97,355.24,440800.0
2015-01-30,355.51,355.51,349.6,350.25,607740.0
2015-02-02,350.28,352.63,343.51,347.62,494320.0
2015-02-03,350.14,354.03,342.22,348.54,378180.0
2015-02-04,348.52,351.53,342.51,343.58,131760.0
2015-02-05,347.14,347.14,335.32,339.71,340860.0
2015-02-06,339.76,343.2,337.29,338.99,177620.0
2015-02-09,339.26,341.23,332.86,336.57,311020.0
2015-02-10,339.76,345.57,333.21,334.54,318040.0
2015-02-11,339.71,344.68,335.08,338.82,274160.0
2015-02-12,339.02,343.2,333.86,336.04,257740.0
2015-02-13,336.8,349.49,336.31,346.34,573700.0
2015-02-16,355.81,358.07,349.72,351.93,477900.0
2015-02-18,352.07,355.76,347.64,353.02,643780.0
2015-02-19,353.3,353.3,345.35,346.73,230180.0
2015-02-20,347.19,356.38,345.91,353.38,2700000.0
2015-02-23,354.78,354.78,342.83,344.65,584180.0
2015-02-24,344.77,348.61,341.23,345.16,1170000.0
2015-02-25,345.87,348.37,345.17,347.26,858920.0
2015-02-26,349.59,349.59,342.22,345.63,514039.99999999994
2015-02-27,346.88,347.58,344.65,345.71,1310000.0
2015-02-28,348.12,349.5,345.02,345.86,83540.0
2015-03-02,347.14,347.14,342.21,344.19,521600.0
2015-03-03,346.65,352.58,341.35,349.42,524860.0
2015-03-04,352.75,360.39,350.24,359.44,905620.0
2015-03-05,359.45,362.72,356.81,359.25,607680.0
2015-03-09,359.3,365.61,356.25,363.6,431520.0
2015-03-10,363.73,369.55,361.89,364.23,365160.0
2015-03-11,363.86,366.63,357.14,358.5,386900.0
2015-03-12,359.46,363.39,359.46,360.87,274020.0
2015-03-13,362.18,362.29,357.19,359.4,430300.0
2015-03-16,361.81,361.81,357.24,358.31,254460.0
2015-03-17,359.45,364.38,359.45,363.85,541880.0
2015-03-18,364.87,365.36,362.7,364.79,992220.0
2015-03-19,365.36,365.36,360.49,362.77,540260.0
2015-03-20,364.38,364.38,355.76,357.68,548920.0
2015-03-23,358.66,358.68,349.11,351.27,472500.0
2015-03-24,353.79,354.03,344.19,345.75,535500.0
2015-03-25,343.3,349.35,343.3,346.74,542640.0
2015-03-26,345.66,346.2,333.11,337.06,847220.0
2015-03-27,339.66,340.59,333.4,335.57,524860.0
2015-03-30,336.8,344.63,336.8,341.92,903860.0
2015-03-31,342.22,351.18,336.19,342.09,1280000.0
2015-04-01,347.19,347.63,338.28,340.9,274980.0
2015-04-06,344.13,352.07,341.06,350.65,498260.0
2015-04-07,350.66,353.29,347.84,352.43,354360.0
2015-04-08,351.87,352.96,345.17,346.95,253900.0
2015-04-09,347.63,350.19,347.63,349.65,609340.0
2015-04-10,350.69,351.56,347.88,349.53,899140.0
2015-04-13,350.59,350.59,347.94,349.53,590040.0
2015-04-15,349.65,350.06,345.91,348.05,468540.0
2015-04-16,348.05,349.36,344.19,346.0,528120.0
2015-04-17,345.87,347.29,344.19,344.72,286920.0
2015-04-20,344.73,345.17,339.76,342.37,305160.0
2015-04-21,344.67,344.67,338.03,339.16,222660.0
2015-04-22,339.12,341.72,336.08,338.38,347480.0
2015-04-23,341.43,341.43,338.08,340.18,716540.0
2015-04-24,342.22,342.22,333.85,337.28,212780.0
2015-04-27,337.24,338.18,332.91,337.2,684780.0
2015-04-28,336.8,337.29,334.61,336.65,506520.0
2015-04-29,338.77,338.77,321.29,323.28,833100.0
2015-04-30,323.27,330.4,321.33,323.63,858380.0
2015-05-04,327.94,335.32,326.14,334.9,338820.0
2015-05-05,335.27,336.55,333.45,335.2,291640.0
2015-05-06,335.29,335.82,332.68,334.97,348660.0
2015-05-07,337.29,337.29,331.14,333.23,570180.0
