Date,Open,High,Low,Close,Volume
2015-01-01,826.5,830.0,818.1,822.2,587480.0
2015-01-02,824.0,830.5,824.0,826.25,710310.0
2015-01-05,826.1,830.7,824.45,826.75,792290.0
2015-01-06,823.0,824.6,803.7,808.55,1710000.0
2015-01-07,809.1,815.2,800.0,809.8,1730000.0
2015-01-08,815.0,821.0,814.4,818.8,943540.0
2015-01-09,820.0,836.0,820.0,830.05,1770000.0
2015-01-12,832.45,837.25,830.1,835.3,1190000.0
2015-01-13,837.05,843.4,826.15,833.1,838420.0
2015-01-14,831.0,837.75,817.0,820.65,996070.0
2015-01-15,826.0,833.9,819.4,825.9,2220000.0
2015-01-16,828.9,854.4,826.2,849.75,2009999.9999999998
2015-01-19,855.0,866.15,853.1,863.0,1380000.0
2015-01-20,865.0,874.5,854.5,872.3,2049999.9999999998
2015-01-21,875.0,888.0,873.0,885.95,2360000.0
2015-01-22,885.3,927.35,885.3,920.05,4800000.0
2015-01-23,921.5,938.7,918.0,926.8,2840000.0
2015-01-27,939.9,939.95,901.0,914.0,2260000.0
2015-01-28,915.0,933.1,892.0,909.75,1940000.0
2015-01-29,900.0,933.0,891.0,919.8,2670000.0
2015-01-30,923.5,927.8,910.5,917.75,1870000.0
2015-02-02,925.0,943.55,922.0,929.1,1750000.0
2015-02-03,936.0,947.65,919.05,941.25,2280000.0
2015-02-04,947.5,965.95,946.0,958.95,2770000.0
2015-02-05,960.0,965.9,951.0,959.55,1850000.0
2015-02-06,958.75,962.9,920.25,926.85,3120000.0
2015-02-09,926.8,948.2,915.85,941.45,1350000.0
2015-02-10,942.0,942.0,911.0,919.55,1520000.0
2015-02-11,924.8,937.0,920.2,925.85,1050000.0
2015-02-12,929.65,932.2,919.0,923.6,778560.0
2015-02-13,928.0,952.0,928.0,940.55,2049999.9999999998
2015-02-16,918.0,930.9,907.3,914.75,2870000.0
2015-02-18,919.9,927.5,911.75,917.8,1310000.0
2015-02-19,922.7,926.8,909.55,916.7,1190000.0
2015-02-20,914.8,921.6,910.0,913.2,1150000.0
2015-02-23,914.0,924.0,904.25,908.65,2440000.0
2015-02-24,907.0,913.9,905.0,910.45,1470000.0
