Date,Open,High,Low,Close,Volume
2015-01-01,1279.1,1291.18,1275.02,1281.84,244690.0
2015-01-02,1278.11,1293.92,1278.11,1288.11,512600.0
2015-01-05,1284.53,1294.26,1262.3,1266.62,385400.0
2015-01-06,1262.32,1269.22,1242.71,1253.04,979970.0
2015-01-07,1257.36,1272.08,1241.65,1247.18,665770.0
2015-01-08,1248.96,1274.6,1248.96,1268.05,880470.0
2015-01-09,1268.72,1328.95,1268.72,1324.23,1500000.0
2015-01-12,1332.45,1363.09,1326.53,1360.62,1730000.0
2015-01-13,1365.56,1369.61,1351.23,1364.12,1510000.0
2015-01-14,1365.56,1381.34,1359.38,1379.17,821110.0
2015-01-15,1381.88,1383.34,1367.09,1374.35,1170000.0
2015-01-16,1375.93,1393.2,1368.82,1391.72,1920000.0
2015-01-19,1390.75,1393.22,1374.99,1383.46,533100.0
2015-01-20,1380.9,1393.2,1380.9,1384.23,624020.0
2015-01-21,1383.84,1391.2,1377.31,1381.61,1050000.0
2015-01-22,1381.71,1385.81,1358.14,1362.64,1230000.0
2015-01-23,1368.94,1385.32,1363.58,1373.83,998750.0
2015-01-27,1373.39,1393.17,1363.83,1391.57,988240.0
2015-01-28,1386.45,1425.34,1386.45,1419.58,1190000.0
2015-01-29,1421.88,1447.57,1420.4,1434.92,1890000.0
2015-01-30,1448.06,1477.95,1401.7,1417.18,2350000.0
2015-02-02,1468.32,1479.73,1418.99,1430.3,3900000.0
2015-02-03,1442.13,1445.1,1417.92,1442.21,1220000.0
2015-02-04,1445.1,1445.1,1403.15,1409.16,875720.0
2015-02-05,1408.59,1433.22,1405.57,1416.81,801390.0
2015-02-06,1417.92,1443.1,1408.02,1413.16,855640.0
2015-02-09,1403.1,1419.9,1388.83,1393.44,677980.0
2015-02-10,1385.81,1386.6,1357.9,1364.81,1420000.0
2015-02-11,1368.52,1412.0,1368.45,1403.97,1440000.0
2015-02-12,1412.98,1440.16,1405.87,1437.34,699480.0
2015-02-13,1442.63,1443.81,1424.0,1426.1,683740.0
2015-02-16,1430.28,1456.44,1428.67,1432.52,869680.0
2015-02-18,1422.37,1440.16,1411.5,1428.92,2320000.0
2015-02-19,1432.75,1432.75,1395.74,1398.24,1500000.0
2015-02-20,1388.28,1396.36,1380.5,1388.38,777800.0
2015-02-23,1388.28,1404.09,1364.72,1372.84,1080000.0
2015-02-24,1378.43,1387.32,1373.95,1379.04,873150.0
2015-02-25,1385.81,1387.29,1359.73,1364.84,1310000.0
2015-02-26,1370.89,1370.89,1353.7,1357.7,2130000.0
2015-02-27,1360.1,1408.04,1354.54,1401.0,1050000.0
2015-02-28,1411.21,1417.92,1384.03,1414.61,409220.0
2015-03-02,1422.27,1430.28,1407.48,1413.01,820080.0
2015-03-03,1423.85,1439.47,1400.66,1436.95,1010000.0
2015-03-04,1437.69,1452.01,1415.75,1422.62,1100000.0
2015-03-05,1422.87,1439.07,1408.59,1421.95,862520.0
2015-03-09,1413.97,1413.97,1373.95,1388.95,1280000.0
2015-03-10,1360.34,1406.07,1360.34,1403.0,1260000.0
2015-03-11,1403.15,1454.36,1390.75,1443.44,2510000.0
2015-03-12,1451.69,1452.53,1409.16,1411.5,2220000.0
2015-03-13,1421.88,1421.88,1387.29,1392.43,1420000.0
2015-03-16,1402.12,1403.33,1390.75,1397.15,2350000.0
2015-03-17,1405.08,1423.75,1398.61,1414.42,2570000.0
2015-03-18,1419.9,1422.87,1378.4,1383.59,7610000.0
2015-03-19,686.73,692.56,676.85,678.97,5620000.0
2015-03-20,680.75,681.79,664.99,670.23,3620000.0
2015-03-23,675.86,677.29,642.46,648.98,3670000.0
2015-03-24,653.13,659.56,644.24,651.8,3790000.0
2015-03-25,655.11,655.11,643.25,648.54,3050000.0
2015-03-26,648.19,657.09,640.44,643.4,3770000.0
2015-03-27,646.22,653.53,631.4,638.21,3220000.0
2015-03-30,640.19,644.98,611.29,619.49,3890000.0
2015-03-31,625.57,631.99,619.05,622.21,3130000.0
2015-04-01,623.0,631.1,621.52,625.17,4890000.0
2015-04-06,627.54,639.8,627.54,635.69,5050000.0
2015-04-07,638.66,648.19,637.28,645.08,1920000.0
2015-04-08,649.13,667.96,648.19,664.3,3510000.0
2015-04-09,671.81,672.5,654.91,662.42,1880000.0
2015-04-10,662.82,665.44,647.21,652.34,1680000.0
2015-04-13,656.79,666.38,642.91,656.49,1360000.0
2015-04-15,656.49,663.66,648.19,652.0,3790000.0
2015-04-16,654.81,656.35,636.83,648.24,1850000.0
2015-04-17,644.24,645.23,626.6,633.42,2220000.0
2015-04-20,633.37,633.37,615.09,624.78,2300000.0
2015-04-21,616.62,636.58,614.6,629.91,1500000.0
2015-04-22,627.44,628.33,615.19,622.31,3460000.0
2015-04-23,624.78,629.72,603.88,607.88,3890000.0
2015-04-24,604.42,607.39,571.22,580.51,3380000.0
2015-04-27,584.07,589.35,558.38,580.26,4640000.0
2015-04-28,580.9,604.72,573.1,601.36,1780000.0
2015-04-29,600.77,619.39,594.94,609.56,1730000.0
2015-04-30,608.67,618.35,591.18,613.96,2980000.0
2015-05-04,615.49,617.41,595.82,604.47,2860000.0
2015-05-05,609.66,612.62,597.65,602.69,2830000.0
2015-05-06,604.72,609.02,592.86,601.65,3150000.0
2015-05-07,594.84,610.65,592.86,606.94,1950000.0
2015-05-08,614.6,617.46,608.67,614.01,1400000.0
2015-05-11,617.56,632.29,610.65,623.79,2020000.0
2015-05-12,625.47,631.2,604.77,608.87,2540000.0
2015-05-13,613.56,614.6,603.78,609.02,2840000.0
2015-05-14,607.68,610.1,599.48,608.13,1440000.0
2015-05-15,605.26,614.55,604.82,610.99,1250000.0
2015-05-18,609.07,613.61,597.8,605.31,2240000.0
2015-05-19,604.72,616.53,602.05,611.88,1760000.0
2015-05-20,613.56,635.35,613.56,633.18,2350000.0
2015-05-21,635.5,651.65,633.37,647.8,2430000.0
2015-05-22,647.11,661.04,640.29,659.11,1590000.0
2015-05-25,656.94,660.94,623.15,640.73,1800000.0
2015-05-26,622.5,645.97,621.52,632.63,2610000.0
2015-05-27,569.39,571.72,538.61,542.57,22930000.0
2015-05-28,543.46,553.24,534.56,538.61,11500000.0
2015-05-29,543.41,550.27,540.39,547.8,4960000.0
2015-06-01,552.35,552.35,541.48,544.05,1840000.0
2015-06-02,544.44,551.26,537.77,542.86,2280000.0
2015-06-03,546.32,548.2,533.62,540.84,3680000.0
2015-06-04,545.28,553.14,541.48,550.62,2350000.0
2015-06-05,551.36,552.35,544.44,546.91,1390000.0
2015-06-08,548.3,548.84,539.9,544.0,1410000.0
2015-06-09,542.91,544.34,512.87,534.07,3680000.0
2015-06-10,534.07,552.15,534.07,549.68,2140000.0
2015-06-11,548.69,557.59,545.83,550.92,2140000.0
2015-06-12,545.43,551.85,536.93,544.89,1970000.0
2015-06-15,544.44,554.32,539.5,547.46,1750000.0
2015-06-16,548.4,548.4,539.85,544.89,1590000.0
2015-06-17,546.91,549.78,539.7,542.62,1910000.0
2015-06-18,540.69,543.11,533.67,534.76,3010000.0
2015-06-19,538.47,544.05,535.6,537.68,2310000.0
2015-06-22,538.52,545.93,536.59,544.89,1940000.0
2015-06-23,545.43,551.95,542.12,547.01,760740.0
2015-06-24,546.42,546.42,534.71,538.81,3300000.0
2015-06-25,537.53,538.96,521.72,523.5,5290000.0
2015-06-26,522.56,529.42,513.86,515.59,3500000.0
2015-06-29,508.87,511.44,461.54,477.6,11480000.0
2015-06-30,469.35,485.85,466.38,472.11,12370000.0
2015-07-01,470.98,482.54,470.14,480.37,4380000.0
2015-07-02,483.18,484.07,471.67,473.6,2750000.0
2015-07-03,474.29,476.26,463.42,465.99,2800000.0
2015-07-06,459.47,464.06,453.04,459.02,2660000.0
2015-07-07,459.47,471.03,459.02,465.79,2970000.0
2015-07-08,464.21,467.12,454.82,464.7,3450000.0
2015-07-09,468.36,473.2,465.49,468.66,2410000.0
2015-07-10,472.31,472.31,463.42,468.36,1850000.0
2015-07-13,468.41,471.32,464.01,470.14,2240000.0
2015-07-14,473.25,475.28,469.35,471.23,2089999.9999999998
2015-07-15,472.31,479.23,471.87,474.24,1690000.0
2015-07-16,477.65,489.85,474.49,485.95,2550000.0
2015-07-17,488.07,499.78,487.13,496.17,5010000.0
2015-07-20,496.52,498.2,485.5,494.84,3000000.0
2015-07-21,496.92,514.31,493.8,503.34,3510000.0
2015-07-22,504.43,507.34,491.78,504.08,2089999.9999999998
2015-07-23,500.87,506.2,493.06,494.1,2670000.0
2015-07-24,492.57,508.82,489.11,504.97,2290000.0
2015-07-27,504.92,518.75,502.05,513.37,4210000.0
2015-07-28,515.79,523.4,511.54,517.32,6320000.0
2015-07-29,517.72,522.71,516.38,519.3,2060000.0
2015-07-30,522.71,526.46,513.22,518.11,6560000.0
2015-07-31,521.62,525.67,519.2,524.39,1230000.0
2015-08-03,522.71,527.15,515.29,517.37,811780.0
2015-08-04,518.75,542.47,517.91,535.6,2150000.0
2015-08-05,537.43,552.15,535.55,544.05,2640000.0
2015-08-06,549.38,550.42,524.78,527.55,1550000.0
2015-08-07,528.44,538.91,525.13,528.78,1370000.0
2015-08-10,530.07,535.7,520.58,524.63,600680.0
2015-08-11,525.97,538.52,524.68,534.22,1430000.0
2015-08-12,538.52,552.6,529.77,550.92,3670000.0
2015-08-13,550.37,560.75,537.03,544.74,2710000.0
2015-08-14,539.5,555.51,531.6,548.45,2260000.0
2015-08-17,553.24,557.98,542.47,545.33,2140000.0
2015-08-18,545.43,557.29,545.43,555.76,2130000.0
2015-08-19,558.57,558.57,550.42,553.63,1600000.0
2015-08-20,568.16,568.9,548.49,552.25,2870000.0
2015-08-21,548.0,562.38,538.56,556.35,1330000.0
2015-08-24,542.47,551.21,513.37,517.42,3420000.0
2015-08-25,523.69,537.03,486.84,521.72,3060000.0
2015-08-26,523.69,526.61,498.99,501.26,2170000.0
2015-08-27,507.39,521.72,507.39,513.37,2970000.0
2015-08-28,519.74,523.15,505.91,510.16,1640000.0
2015-08-31,510.26,518.75,505.91,508.87,2100000.0
2015-09-01,503.93,517.27,500.08,506.2,1340000.0
2015-09-02,512.82,533.48,508.08,529.62,2310000.0
2015-09-03,535.55,546.12,521.77,533.97,2220000.0
2015-09-04,533.57,541.03,519.84,523.0,1440000.0
2015-09-07,522.71,534.71,513.81,531.6,1220000.0
2015-09-08,531.6,537.38,524.68,530.81,1070000.0
2015-09-09,541.18,541.18,524.48,527.05,1270000.0
2015-09-10,525.67,531.1,519.35,527.45,929830.0
2015-09-11,526.66,533.13,515.79,518.8,873940.0
2015-09-14,519.74,523.2,509.91,519.54,1780000.0
2015-09-15,522.61,536.93,521.27,535.06,1370000.0
2015-09-16,537.28,541.18,534.27,537.68,722800.0
2015-09-18,538.76,557.63,538.76,554.82,1910000.0
2015-09-21,546.42,572.01,542.47,560.75,995390.0
2015-09-22,566.97,570.63,546.77,551.16,1170000.0
2015-09-23,544.44,554.32,534.12,549.48,943910.0
2015-09-24,553.34,563.22,543.41,560.6,1230000.0
2015-09-28,566.53,575.07,563.42,566.58,1600000.0
2015-09-29,565.64,569.24,555.91,563.61,1770000.0
2015-09-30,568.85,568.85,546.62,550.72,2800000.0
2015-10-01,552.05,559.76,530.66,556.3,2009999.9999999998
2015-10-05,557.78,568.16,554.42,563.12,2110000.0
2015-10-06,568.16,571.96,551.36,558.03,1830000.0
2015-10-07,559.41,562.87,553.93,559.56,1150000.0
2015-10-08,563.22,565.98,553.73,556.3,1530000.0
2015-10-09,555.12,561.24,549.58,554.52,1120000.0
2015-10-12,555.91,563.22,551.36,556.05,758840.0
2015-10-13,555.31,558.13,548.64,554.32,639490.0
2015-10-14,552.35,557.63,538.71,541.53,950850.0
2015-10-15,542.86,548.4,533.33,538.81,1830000.0
2015-10-16,543.46,544.94,536.79,539.31,1930000.0
2015-10-19,539.31,553.34,527.74,535.16,1450000.0
2015-10-20,538.42,543.75,534.56,541.58,1060000.0
2015-10-21,541.48,542.67,529.13,533.03,1570000.0
2015-10-23,536.04,540.49,532.59,533.67,1230000.0
2015-10-26,533.67,538.52,533.18,536.19,814360.0
2015-10-27,536.84,537.77,529.72,532.39,839550.0
2015-10-28,530.31,547.41,530.12,543.01,1730000.0
2015-10-29,543.46,549.93,538.66,542.47,3050000.0
2015-10-30,542.47,543.7,530.71,532.73,879390.0
2015-11-02,534.56,550.87,526.11,549.43,1860000.0
2015-11-03,551.66,556.3,541.97,550.13,1880000.0
2015-11-04,561.24,561.74,533.67,536.44,3420000.0
2015-11-05,539.01,540.44,526.61,528.58,1060000.0
2015-11-06,530.61,530.96,519.89,527.1,1220000.0
2015-11-09,517.76,528.49,512.87,526.06,2140000.0
2015-11-10,526.06,526.61,517.32,518.7,860680.0
2015-11-11,523.59,523.59,517.96,519.3,101170.0
2015-11-13,513.81,519.3,511.84,513.86,860930.0
2015-11-16,511.84,512.38,501.96,509.81,1350000.0
2015-11-17,509.91,521.47,509.91,517.27,2180000.0
2015-11-18,517.27,524.09,508.87,510.55,892770.0
2015-11-19,515.29,529.42,513.81,528.04,1210000.0
2015-11-20,528.58,533.57,524.68,528.54,1130000.0
2015-11-23,529.62,538.27,528.73,532.59,839940.0
2015-11-24,528.73,537.28,526.11,531.15,985300.0
2015-11-26,531.6,537.53,520.78,523.3,3050000.0
2015-11-27,523.59,530.46,522.21,527.94,772320.0
2015-11-30,528.54,534.76,523.69,527.1,2080000.0
2015-12-01,526.66,536.64,526.66,535.7,1080000.0
2015-12-02,536.54,539.11,530.76,533.57,715680.0
2015-12-03,533.18,538.02,529.62,536.14,852540.0
2015-12-04,533.53,538.12,527.65,529.97,938870.0
2015-12-07,529.62,540.0,528.78,538.17,788610.0
2015-12-08,538.47,539.5,522.31,524.39,1060000.0
2015-12-09,524.68,531.1,518.85,521.08,1220000.0
2015-12-10,524.09,534.07,517.57,532.34,702930.0
2015-12-11,533.57,537.43,528.73,530.56,926350.0
2015-12-14,520.73,538.52,520.73,537.18,773990.0
2015-12-15,541.48,541.48,510.45,513.76,2700000.0
