Company,Algorithm,Initial Capital,Final Portfolio Value,Total Return %,Annualized Return %,Sharpe Ratio,Maximum Drawdown %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Total Reward
ADELc1_NS,Q-Learning,100000.0,130051.40475000009,30.05140475000009,18.151230118084662,0.9506297094457025,-24.91109816995075,312,104,41,71.72413793103448,0.28044299981248494
ADELc1_NS,SARSA,100000.0,115240.50420000007,15.240504200000068,9.422309694397635,1.0833403228257816,-10.78797708302501,333,85,81,51.204819277108435,0.1478418366247512
ADELc1_NS,Monte Carlo,100000.0,113164.72380000004,13.164723800000036,8.167016677045979,0.4273032410442025,-33.32180884994644,149,29,27,51.78571428571429,0.1163404861341262
ADELc1_NS,Value Iteration,100000.0,111973.19835000002,11.97319835000002,7.44266350633529,0.6761301726649709,-8.045547181557106,166,23,45,33.82352941176471,0.11987871590195057
ADELc1_NS,Policy Iteration,100000.0,111973.19835000002,11.97319835000002,7.44266350633529,0.6761301726649709,-8.045547181557106,166,23,45,33.82352941176471,0.11987871590195057
ADELc1_NS,Expected SARSA,100000.0,99582.72679999997,-0.4172732000000251,-0.2650799854467256,-0.6859532517637068,-0.7733907216692749,222,53,58,47.74774774774775,-0.004169534373072477
ADELc1_NS,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
ADELc1_NS,Buy & Hold,100000.0,117289.31790000002,17.28931790000002,10.633777127776423,0.4694936731603161,-33.54438865051381,1,0,0,0.0,0.25070709228248705
APLH,Q-Learning,100000.0,108336.33055000007,8.336330550000072,5.214115263928654,0.45069570013374094,-11.420878521942564,331,96,69,58.18181818181818,0.0649992476399505
APLH,SARSA,100000.0,123662.2258000001,23.6622258000001,14.432788510050099,1.0238270052419032,-13.459257801454344,205,53,43,55.208333333333336,0.13841636376472713
APLH,Monte Carlo,100000.0,128545.79455,28.545794550000004,17.2811028332984,0.952608803485121,-14.793290083608932,14,0,0,0.0,0.1146288389302878
