Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
AXBK,Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.005113390907501131,0.005176425887879664,0.004583485686818064,BUY
AXBK,Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.005005869442259288,0.005095589352713032,0.005261278071308837,SELL
AXBK,Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.005520745969728265,0.0056333465173798985,0.004764960813845334,BUY
AXBK,Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.005540078069299199,0.0051101873538531226,0.005707764172539697,SELL
AXBK,Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.004322504487307553,0.005148105928884677,0.003680068654388549,BUY
AXBK,Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.004844600285253699,0.004505839995488688,0.004974594836142461,SELL
AXBK,Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.006101854211925883,0.006428285297341812,0.005031289838302547,BUY
AXBK,Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.005654331916734382,0.00561771189146645,0.005402087657154944,HOLD
AXBK,Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.005220473067860841,0.005637201940519843,0.004396476994092255,BUY
AXBK,Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.006628977604761791,0.006513083358415728,0.006477486335818597,HOLD
AXBK,Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.004286917917321985,0.005971521614038413,0.004020960274954761,BUY
AXBK,Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.005507620452302194,0.005971077784188122,0.005569189320044584,BUY
AXBK,Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.005661960147710894,0.00568962772800862,0.0046864945508486465,BUY
AXBK,Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.005439353154742607,0.005543530720356146,0.005585355389993711,SELL
AXBK,Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.005599635482555873,0.005694625183257911,0.0049112007005658355,BUY
AXBK,Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0056248051500002215,0.005596072157934931,0.006095055020117913,SELL
AXBK,Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
AXBK,Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
