Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
BAJE,Double Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-2.614546131863246e-05,-1.1620593569760672e-05,-0.0010146786045374897,BUY
BAJE,Double Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-4.291274898036972e-05,-1.3411819799989247e-05,-1.1332869624595197e-05,SELL
BAJE,Double Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-1.0475544342983795e-05,-1.1019423682399447e-05,-0.001003855832818487,HOLD
BAJE,Double Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-7.186201873388159e-05,-7.255111590391958e-05,-1.0411772066077299e-05,SELL
BAJE,Double Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-6.794407729519567e-06,-1.8435081405344937e-05,-0.001008704507746348,HOLD
BAJE,Double Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.00011924498930392677,-9.822136733734675e-05,-1.2560394268552758e-05,SELL
BAJE,Double Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-4.864992541222659e-06,-1.2369509619654624e-05,-0.0010045519141296728,HOLD
BAJE,Double Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0003241439246027886,-0.0003580997472725971,-6.043328097907027e-06,SELL
BAJE,Double Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-8.189406954890216e-06,-1.5016439942185787e-05,-0.0010065785122024798,HOLD
BAJE,Double Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-7.983230195382688e-05,-9.403989239105249e-05,-8.562484714519872e-06,SELL
BAJE,Double Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-5.061412673646912e-06,-2.164209385596552e-05,-0.0010069894318574303,HOLD
BAJE,Double Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0001908183331110747,-0.00014233779999519105,-5.948477277885649e-06,SELL
BAJE,Double Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-1.3508039066075389e-05,-1.6061584894365187e-05,-0.0010062835839593784,HOLD
BAJE,Double Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-4.698897278812341e-05,-6.284558746184654e-05,-1.2765599618308248e-05,SELL
BAJE,Double Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-6.165775289179758e-06,-1.308282664090406e-07,-0.0010051482279053046,BUY
BAJE,Double Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00010293066217477703,-8.441209831927613e-05,-7.4808362307960025e-06,SELL
BAJE,Double Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,-1.4146821471350127e-05,-3.598365966125409e-05,-0.0007780020203618932,HOLD
BAJE,Double Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,-0.0002538294561024516,-8.507955416072584e-05,-0.00022612827672169314,BUY
BAJE,Double Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BAJE,Double Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
