Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
BJFN,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,4.643772317613997e-05,HOLD
BJFN,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,4.542252214539711e-05,SELL
BJFN,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,6.368533502384822e-05,BUY
BJFN,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,6.76734961685409e-05,HOLD
BJFN,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,8.244862324398533e-05,BUY
BJFN,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,8.668579305515444e-05,BUY
BJFN,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,9.685486327436416e-05,BUY
BJFN,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.00010495492855232002,BUY
BJFN,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00011260265136061995,BUY
BJFN,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00012190828989528024,BUY
BJFN,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,4.0498960720571054e-05,HOLD
BJFN,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,3.436573550973964e-05,SELL
BJFN,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,4.983815425980849e-05,HOLD
BJFN,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,4.633848621886778e-05,SELL
BJFN,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,4.7420916226923944e-05,HOLD
BJFN,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,4.248693579013378e-05,SELL
BJFN,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.574256522999781e-05,BUY
BJFN,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.971241735781525e-05,BUY
BJFN,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
BJFN,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
BJFN,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
