Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
BJFS,Monte Carlo,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.002241967971952473,-0.0012695818185139583,-0.0028922059408097184,BUY
BJFS,Monte Carlo,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0011141995866465674,0.0010565637132331008,0.0010459075912280236,HOLD
BJFS,Monte Carlo,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0016357924489425032,-0.0007853621969979314,-0.002171664804028164,BUY
BJFS,Monte Carlo,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0002920634930063148,-0.0003533838964193152,-0.0005398665107894803,HOLD
BJFS,Monte Carlo,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0020923181446399334,-0.00081345489004685,-0.0027829937941678913,BUY
BJFS,Monte Carlo,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0006215740906908132,0.000657541109137435,0.0006545623550753356,BUY
BJFS,Monte Carlo,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0014234730419302936,-0.0005700607084809018,-0.002338849172526009,BUY
BJFS,Monte Carlo,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.00017894860700306368,-0.00016109594146125364,-0.00054029445806172,BUY
BJFS,Monte Carlo,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.001925259693172499,-0.0007332036854890119,-0.0014356955041295015,BUY
BJFS,Monte Carlo,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.009091636690370863,0.00857461240209879,0.007362478722614055,HOLD
BJFS,Monte Carlo,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0012864857123075662,-0.0009964795191436237,-0.0025822320938270428,BUY
BJFS,Monte Carlo,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.0009706092601864079,0.001189931199145492,0.001133331055487847,BUY
BJFS,Monte Carlo,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.001333877376468195,-0.0010269954290584979,-0.0025508404863432413,BUY
BJFS,Monte Carlo,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0019551959071010105,0.0019645650271495974,0.001861666280315013,BUY
BJFS,Monte Carlo,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0014441946038540238,-0.0006692525299035186,-0.002430556264656701,BUY
BJFS,Monte Carlo,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00011151966718235744,-0.00010045454285411272,-0.0002222427634171076,BUY
BJFS,Monte Carlo,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BJFS,Monte Carlo,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
