Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
BRTI,Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.006084555418466882,0.008292253951378276,0.005581772987049431,BUY
BRTI,Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0099070892101889,0.010685498212884281,0.009373297476696017,BUY
BRTI,Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00673165037540357,0.009120941215888276,0.004675109501656439,BUY
BRTI,Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.010236633697511996,0.010073304090830376,0.010581381889240168,SELL
BRTI,Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.006757302988148138,0.006746754759806277,0.005889828788978024,HOLD
BRTI,Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.009137600989628611,0.009714686245898737,0.009236150725761347,BUY
BRTI,Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00632901541809677,0.006773214031848276,0.005707321887667973,BUY
BRTI,Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.012532396163817813,0.009939918708672096,0.009405119247017786,HOLD
BRTI,Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.0069503525909470395,0.008571256102796429,0.006163336815968474,BUY
BRTI,Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.011884863097802668,0.011993764305808114,0.012631968615421353,SELL
BRTI,Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.006509227270944581,0.0066267828180547085,0.005744318609354551,BUY
BRTI,Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.011424541195803137,0.008948812115640697,0.010641136240482733,HOLD
BRTI,Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.007087984368205314,0.010347764706405728,0.006149066373007459,BUY
BRTI,Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.010627989293393519,0.010636502752743478,0.01172165714379138,SELL
BRTI,Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.006687843704836025,0.010945228188200914,0.00575510466339798,BUY
BRTI,Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.011310084363989982,0.012285183137065584,0.012411217925275973,SELL
BRTI,Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
