Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
BRTI,SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0008810894180930457,0.0010798608156692565,0.0001658130660334221,BUY
BRTI,SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00693351958317278,0.006238694669696218,0.0032813816741185872,HOLD
BRTI,SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.000673640544387538,0.001304038251150228,-0.0003366771320375089,BUY
BRTI,SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0012527061675787952,2.8786798573064926e-05,0.005478471340201672,SELL
BRTI,SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.0009791467284480382,0.001001312526995618,4.639376579183038e-05,BUY
BRTI,SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.001983999470927621,0.0020507457166058004,0.00010080415567838242,BUY
BRTI,SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.001273342564390521,0.001271390167238669,0.00020380452053517394,HOLD
BRTI,SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0009051881495564485,0.0031957978283682826,0.002972888901561563,BUY
BRTI,SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.0015229769587622268,0.0015991895973802345,0.0005486629597852013,BUY
BRTI,SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0021611515741924506,0.004586669974884247,0.0027766873479713964,BUY
BRTI,SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.0014713493723276033,0.001468040207740632,0.0003311122311663429,HOLD
BRTI,SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.0010262809475463219,-0.0007943526036925375,-0.0008372170316226976,HOLD
BRTI,SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0012152665296812728,0.0014708017484846491,0.00036492111666191606,BUY
BRTI,SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.005738883324862455,0.006260245058743014,0.005435869114802429,BUY
BRTI,SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0008791503849055022,0.0013121000187515735,-0.00013245285544589245,BUY
BRTI,SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.005922773149388445,0.007735685445068675,0.004959609472821572,BUY
BRTI,SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
BRTI,SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
BRTI,SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
