Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
CIPL,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,5.982647831473791e-05,BUY
CIPL,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,6.854550452649254e-05,HOLD
CIPL,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,5.8472869034250356e-05,HOLD
CIPL,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.639498999591809e-05,HOLD
CIPL,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,5.3225639374184395e-05,HOLD
CIPL,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,4.428693330025703e-05,SELL
CIPL,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,6.579433641729004e-05,BUY
CIPL,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,7.339049914661132e-05,HOLD
CIPL,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,6.373556443969519e-05,BUY
CIPL,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,7.063021394888772e-05,HOLD
CIPL,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.00011123439970307949,BUY
CIPL,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00012522552560043272,BUY
CIPL,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,7.327212406435909e-05,BUY
CIPL,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,8.146935484023277e-05,HOLD
CIPL,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,8.186351978093151e-05,BUY
CIPL,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,8.92561945818971e-05,HOLD
CIPL,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,6.883630202129409e-05,HOLD
CIPL,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,7.012363295695662e-05,HOLD
CIPL,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
CIPL,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
CIPL,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
