Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
COAL,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,8.173451096738638e-06,BUY
COAL,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,1.173626091712065e-05,BUY
COAL,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.949469786700833e-07,HOLD
COAL,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,2.648446000619632e-06,HOLD
COAL,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,3.484968463812338e-06,HOLD
COAL,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,7.442752335677434e-07,SELL
COAL,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,4.449605138197002e-07,HOLD
COAL,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-1.9524164457152613e-06,SELL
COAL,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,6.147642082254533e-07,HOLD
COAL,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-6.1725936368364186e-09,HOLD
COAL,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,9.88663136723525e-08,HOLD
COAL,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,2.2594711036488696e-06,HOLD
COAL,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,1.9660783762479253e-06,HOLD
COAL,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,2.9986771884409912e-06,HOLD
COAL,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,2.158824168528147e-07,HOLD
COAL,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,1.993152099146302e-06,HOLD
COAL,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
COAL,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
COAL,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
