Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
GRAS,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00015846984916864746,BUY
GRAS,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00017194817774439055,HOLD
GRAS,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00021252433172398797,BUY
GRAS,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00023209647037765452,BUY
GRAS,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.00015515177684039097,BUY
GRAS,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.00016819137820249527,HOLD
GRAS,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00016364115349673942,HOLD
GRAS,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00015484962915591913,HOLD
GRAS,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.000276670618530803,BUY
GRAS,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0003150959935379958,BUY
GRAS,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.00013759517061670383,HOLD
GRAS,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00013868596119524923,HOLD
GRAS,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00019294420453040887,BUY
GRAS,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00020659524157613023,HOLD
GRAS,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00015582775225087445,HOLD
GRAS,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00016361990421885953,HOLD
GRAS,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
GRAS,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
GRAS,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
