Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
GRAS,Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.011900253875447794,0.01204088880303049,0.011564990887823584,BUY
GRAS,Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.017261807150575046,0.014265167926723001,0.015747495630268574,HOLD
GRAS,Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.012054504095716987,0.011988669650320919,0.011436080535001067,HOLD
GRAS,Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.020235858499527835,0.01679569774248639,0.01880059837997442,HOLD
GRAS,Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.01012935197887095,0.012695350442249868,0.008393320089743177,BUY
GRAS,Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.01591150484333755,0.015838335236599808,0.015627065530798727,HOLD
GRAS,Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.012004106677234496,0.014060239672238234,0.010392934402697004,BUY
GRAS,Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.01645612263913494,0.01688067212085692,0.015166042127680671,BUY
GRAS,Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.01126120760882693,0.013557581330852251,0.010929593542750402,BUY
GRAS,Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.014329511982859162,0.01585614175304478,0.016808350564015175,SELL
GRAS,Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.011332256155803808,0.01297854125976393,0.009799364741082396,BUY
GRAS,Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.014881962859942621,0.012554864485155574,0.01105059581507472,HOLD
GRAS,Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.012310818492509984,0.012494548621273822,0.011232871351642033,BUY
GRAS,Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.019795167425656172,0.017962849873909927,0.015234348970249948,HOLD
GRAS,Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.013173679587893857,0.013207913223662165,0.012141650859957649,BUY
GRAS,Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.014350666620487897,0.02057559772607571,0.015423026804886894,BUY
GRAS,Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
GRAS,Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
