Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
HALC,Double Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-3.4951517640144546e-05,-8.425514518653517e-05,-0.0010184504786445473,HOLD
HALC,Double Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00018993971976679478,-0.00026998279911700997,-3.6679729122524834e-05,SELL
HALC,Double Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-3.981275661817453e-05,-6.86564822289356e-05,-0.0010343500483935434,HOLD
HALC,Double Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00011093987215137917,-6.716551878987426e-05,-5.904051421419923e-05,SELL
HALC,Double Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-4.225616392003655e-05,-4.601198739928643e-05,-0.0010173950622186165,HOLD
HALC,Double Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.00021490682105749787,-0.0002963062138522309,-2.900576018132173e-05,SELL
HALC,Double Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-4.5997608862400066e-05,-4.951584653127152e-05,-0.0010265451118280022,HOLD
HALC,Double Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0003435615585458662,-0.0005131095310827126,-3.489503133238123e-05,SELL
HALC,Double Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-2.413312334876118e-05,-5.18504031777179e-05,-0.001016580561262084,HOLD
HALC,Double Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.00043418216109837886,-0.0004169753873341306,-2.5314160940902778e-05,SELL
HALC,Double Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-5.049850667973059e-05,-4.802394486991493e-05,-0.0010256161248127999,BUY
HALC,Double Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0012034644006401122,-0.0006391603397884176,-4.045117153874592e-05,SELL
HALC,Double Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-3.07958567164442e-05,-3.8679394067523e-05,-0.0010166623771927425,HOLD
HALC,Double Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00019237273661425018,-0.00021179543997518777,-2.5000141909978436e-05,SELL
HALC,Double Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-4.686881333091631e-05,-4.980333962150864e-05,-0.0010238449001494553,HOLD
HALC,Double Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-9.746454814009561e-05,-5.324532019270901e-05,-4.965727154172824e-05,SELL
HALC,Double Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HALC,Double Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
