Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
HALC,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,4.024642591308678e-05,BUY
HALC,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,4.3708709677904884e-05,BUY
HALC,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.226059519321446e-05,BUY
HALC,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.653012969534145e-05,BUY
HALC,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,3.932985921102675e-05,BUY
HALC,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,4.3505561087679144e-05,HOLD
HALC,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,4.62241802290097e-05,HOLD
HALC,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,4.652478694287354e-05,HOLD
HALC,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,3.453065618474011e-05,BUY
HALC,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,3.755373176492386e-05,BUY
HALC,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,5.089080320040932e-05,HOLD
HALC,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,4.8432887737784995e-05,SELL
HALC,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,3.283366769637787e-05,HOLD
HALC,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,2.988896834402097e-05,SELL
HALC,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.875238616188058e-05,BUY
HALC,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,7.531141279798317e-05,BUY
HALC,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
HALC,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
HALC,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
