Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
HCLT,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00016696029610199556,BUY
HCLT,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0001803085954249663,BUY
HCLT,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00010267752058136413,BUY
HCLT,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0001107062226874134,HOLD
HCLT,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.0001641984688387647,BUY
HCLT,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.000175089037684776,BUY
HCLT,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00010630445960404625,BUY
HCLT,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00011553412306831156,HOLD
HCLT,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.0001759827646987402,BUY
HCLT,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.000196788328856817,BUY
HCLT,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.00013484260486702757,BUY
HCLT,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00014675496994429383,BUY
HCLT,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00013295519442136128,HOLD
HCLT,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0001313049745327408,HOLD
HCLT,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00010457217126254195,BUY
HCLT,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00011144452217183875,HOLD
HCLT,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
HCLT,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
HCLT,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
