Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
HLL,Expected SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0005455224658134528,-0.0004548741428690365,-0.0015447364268073918,BUY
HLL,Expected SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.000638640190650984,-0.000655085001402717,-0.0005497563292679419,SELL
HLL,Expected SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0005408329446679428,-0.0005628102170616064,-0.0015438176166618265,HOLD
HLL,Expected SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0006119761370052538,-0.0006921558919423166,-0.0005684691984003895,SELL
HLL,Expected SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0005443734036079784,-0.0006356327312496655,-0.0015464060585092167,HOLD
HLL,Expected SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.00043213551810168996,-0.000717386479726757,-0.000603250457716834,HOLD
HLL,Expected SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0005406971202840404,-0.0005864396562318857,-0.001548264499606902,HOLD
HLL,Expected SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0006028269736450338,-0.0007452935941323119,-0.0005598920770951284,SELL
HLL,Expected SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0005491633589679503,-0.0006098346243422503,-0.001549646802981471,HOLD
HLL,Expected SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0006602604445219021,-0.0014515396420594802,-0.0005704211659613977,SELL
HLL,Expected SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0005443609046889043,-0.0006061275599645768,-0.0015494061591030614,HOLD
HLL,Expected SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.002197327449187685,-0.0018413547562177279,-0.0005658032028135928,SELL
HLL,Expected SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0005521746077546257,-0.0006856119634118163,-0.0015482733664617912,HOLD
HLL,Expected SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0007178479610735508,-0.0009313576377611155,-0.0005666310998022544,SELL
HLL,Expected SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0005422653099305371,-0.0005885891039063208,-0.0015442684471124722,HOLD
HLL,Expected SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0006734422925189056,-0.0007347726087325348,-0.0005564446393838921,SELL
HLL,Expected SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,Expected SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
