Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
HLL,SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0011541630885448368,0.0029101722693817803,0.0009999963444818508,BUY
HLL,SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.008783663103536116,0.006173202396477381,0.007413922123342305,HOLD
HLL,SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0007094899939971343,0.001523854515288478,-0.0001274014905974836,BUY
HLL,SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0014049455816674593,-0.003300014120083259,-0.0007209667187571971,SELL
HLL,SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.0012538231457160792,0.003196776759905221,0.0007624400996827172,BUY
HLL,SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0012814776302819222,0.006727114597460233,0.004966970172792157,BUY
HLL,SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0007310048310119305,0.0018408534391375375,-0.0002687097106660794,BUY
HLL,SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.006232432985724545,-0.0033189626089450692,0.002938283572140051,HOLD
HLL,SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,3.0771799202722346e-05,0.0007941391814927817,-0.0009995922216313243,BUY
HLL,SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0006552875739406457,-0.0045216329968000195,-0.0009112546204502953,HOLD
HLL,SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,3.528208228284249e-05,0.0008938602259080555,-0.0006325317116998578,BUY
HLL,SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0011656738297605015,0.0017454094990074153,-4.908909635787173e-05,BUY
HLL,SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0006071471919174537,0.0019628432334377584,-0.0007441589992096278,BUY
HLL,SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0004686632946281224,0.003687448389383034,0.0020614675045556867,BUY
HLL,SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00047806929078773457,0.0013842134340695872,-0.0004435635892551912,BUY
HLL,SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.001950139392117266,0.0007286457430565678,-0.001168799700678229,BUY
HLL,SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
HLL,SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
HLL,SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
