Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
ICBK,Double Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.00026147676535874525,-0.00024152447593080633,-0.001121359879743235,BUY
ICBK,Double Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00131485558377271,-0.0010916655791698715,-0.00031891668899768294,SELL
ICBK,Double Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-8.84125397410435e-05,-5.510678116344187e-05,-0.001027744479002087,BUY
ICBK,Double Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0005691534037409894,-0.0004366945792516904,-8.411174984636594e-05,SELL
ICBK,Double Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0001304305023383691,-0.00013138162014934363,-0.0010245646673223787,HOLD
ICBK,Double Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0010421927571218322,-0.001136452124736594,-0.0001595528999160309,SELL
ICBK,Double Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-7.622751420320863e-05,-7.840010510019963e-05,-0.0010187374550358966,HOLD
ICBK,Double Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0010097958624404753,-0.0016155292562504285,-5.825091432994016e-05,SELL
ICBK,Double Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0008411597549363902,-0.0009881840474796164,-0.001032532568999098,HOLD
ICBK,Double Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0010118839203766767,-0.0012228407699933453,-0.00046737874254438954,SELL
ICBK,Double Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.00014540269864001524,-0.00015027692036174748,-0.0010429920741534767,HOLD
ICBK,Double Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0031612361999059663,-0.002236558863613668,-8.795142495144755e-05,SELL
ICBK,Double Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0006625951722295427,-0.0006195146066910156,-0.001102098248077651,BUY
ICBK,Double Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.002315882801975949,-0.0030873283938439864,-0.0006091775120743031,SELL
ICBK,Double Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.00014410331167173172,-0.00011618404318493898,-0.0010412693979765116,BUY
ICBK,Double Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.000615084475326235,-0.0005034160728923269,-0.00011392474587069407,SELL
ICBK,Double Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Double Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
