Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
ICBK,Expected SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,8.839385361439945e-05,7.30280776770862e-05,-0.0005838351435906988,HOLD
ICBK,Expected SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,6.674201297008953e-06,9.197274808538298e-05,0.0003038968595508281,SELL
ICBK,Expected SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-1.0898275448793938e-05,9.169752767143662e-05,-0.0007410938906090323,BUY
ICBK,Expected SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0002683893592412479,-0.00010435514803056667,0.00022474455184430726,SELL
ICBK,Expected SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.000100204965099215,0.0001006927905313427,-0.0007953177058666465,BUY
ICBK,Expected SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,9.494969955193873e-05,9.335479299529569e-05,9.975597954387632e-05,SELL
ICBK,Expected SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-1.2946764171498111e-05,-2.2027721813283445e-05,-0.0008001723771429554,HOLD
ICBK,Expected SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.00023384558364564922,0.0001090638491526834,-0.00033818749887068087,BUY
ICBK,Expected SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,6.546843976555338e-05,0.0005102897564439531,-0.0006103529461533698,BUY
ICBK,Expected SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0003168658883733234,0.0009720756543286225,0.0003381551128593878,BUY
ICBK,Expected SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-2.788516166345661e-05,-9.149190683662372e-05,-0.0009983468976129172,HOLD
ICBK,Expected SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.004012288200842919,-0.004563905919328801,-2.2551842914311468e-05,SELL
ICBK,Expected SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0001502580285025169,0.00022202014961711513,-0.0007251037995451967,BUY
ICBK,Expected SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,5.388884269223347e-05,3.834168705688796e-05,0.00016171130614221286,SELL
ICBK,Expected SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-1.0886802062853108e-05,-5.781945608909551e-05,-0.0008046340159030969,HOLD
ICBK,Expected SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0001893216368811136,-8.546607223932978e-05,-0.00012593134778945137,HOLD
ICBK,Expected SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ICBK,Expected SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
