Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
INFY,SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0008277662769214381,0.0011216667492306128,0.00020458644938597573,BUY
INFY,SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.002451307000524764,0.0021648077848753886,0.0021173646313012444,HOLD
INFY,SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0013785700800641944,0.001474842170418107,0.0006905379116231901,BUY
INFY,SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.003732546353114633,0.004724177481252896,0.0024626479660023186,BUY
INFY,SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.001694293275140661,0.002732243890273785,0.0007636176922857165,BUY
INFY,SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0015269011294685763,0.0054199772692380774,0.00335520024771428,BUY
INFY,SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.001981149529747174,0.0022537108196648984,0.0009008051378290764,BUY
INFY,SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.002113019463049196,-4.726261919976428e-05,0.0036067500140082665,SELL
INFY,SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.001154607073891711,0.0011273876271203367,7.182673602835135e-06,HOLD
INFY,SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0018858169014653527,0.0004903987787814087,0.0003638494849284668,HOLD
INFY,SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.002394976265992726,0.0032988258693017977,0.0018995939798541158,BUY
INFY,SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.0020872677021668016,0.0023332062514569087,0.00422806420629122,SELL
INFY,SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0011017063942920893,0.001177233643045085,0.00017990010502776305,BUY
INFY,SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00039348749956222057,0.0008186878273310073,0.0023315057742461015,SELL
INFY,SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0016744867401765817,0.001904408544122845,0.0006928907028308954,BUY
INFY,SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0023796711667057155,0.003899049097003999,0.006693202393578704,SELL
INFY,SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INFY,SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INFY,SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
