Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
INGL,SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0007648991005002482,0.0006787796169810742,0.0,HOLD
INGL,SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,-0.000522788423989643,0.0005482140712433764,0.0017231813072532466,SELL
INGL,SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0028070780269147185,0.0031218499470889857,0.001871535605960569,BUY
INGL,SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0062670262612041314,0.005600528534386246,0.009926352328222695,SELL
INGL,SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.002510837677279166,0.002387480341866565,0.0018368890176212623,HOLD
INGL,SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,1.256888645828234e-05,0.006461135615137366,0.0017886843953601687,BUY
INGL,SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.0032772589860854667,0.004076351381919284,0.0026545982710007724,BUY
INGL,SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.008696536048417705,0.0067434312243147415,0.009156298652651555,SELL
INGL,SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0030517302763311124,0.0027271465945511177,0.0023449752810039996,HOLD
INGL,SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.002589261157144893,0.0062652812981264325,-0.0005422934342405015,BUY
INGL,SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.00322276487060708,0.0031400052869896724,0.0026781121807482747,HOLD
INGL,SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0049651961819003,0.004776686296334652,-0.0027603682192706676,HOLD
INGL,SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.003908257278916961,0.003992285255500228,0.0037216544811875213,BUY
INGL,SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.010289873795744675,0.008726095761754678,0.009873198981506766,HOLD
INGL,SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0024866920398842543,0.002360426632475379,0.0016651844327949632,HOLD
INGL,SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.004135983406510264,0.003231232246532714,0.007733834555501207,SELL
INGL,SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0026912964117991253,0.0023653846535167666,0.0019533745901950637,HOLD
INGL,SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.005931747346625002,0.007932908349303946,0.008253597130472402,SELL
INGL,SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
INGL,SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
INGL,SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
