Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
JIOF,Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0014276965571095182,0.001589972354371116,0.0004857294297569163,BUY
JIOF,Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0014570401023489387,0.0012256029352484977,0.0014575268017285661,SELL
JIOF,Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0019844053431768323,0.00287456898643501,0.001140990893765056,BUY
JIOF,Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.002806036305395907,0.0026357208641881514,0.0031756577017216466,SELL
JIOF,Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.001427914317649423,0.001985598295415,0.0006380778946758021,BUY
JIOF,Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0016530467082400478,0.002373306382212133,0.0017402304082443838,BUY
JIOF,Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0019403584044279333,0.002458706146135197,0.000895907210461539,BUY
JIOF,Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00239072075572677,0.002281246301530717,0.0023162924544411646,HOLD
JIOF,Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.0015384636769788817,0.0017960134220955984,0.0006660137111887453,BUY
JIOF,Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.002047808238865538,0.0017389912202560387,0.0017982172661292993,HOLD
JIOF,Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.0017998373697705248,0.002350146917351606,0.000568407772684931,BUY
JIOF,Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.002720546176548795,0.002732210763587998,0.0024844853546639235,BUY
JIOF,Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0015025125408003213,0.0017670369085304974,0.0005494073021550583,BUY
JIOF,Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0019512886348699993,0.0019185146750335948,0.0017203399567656892,HOLD
JIOF,Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.002194921528759001,0.0028462059584451133,0.0011287429902252302,BUY
JIOF,Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0028054448970153746,0.0027376546401934976,0.0029693574899720865,SELL
JIOF,Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JIOF,Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
