Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
JSTL,Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00397145767081167,0.00454503042454539,0.003066013678056606,BUY
JSTL,Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.004024624053037848,0.00373141310946074,0.004900259889083377,SELL
JSTL,Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.003618101703197347,0.005322440020151635,0.0029510191225089345,BUY
JSTL,Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00498768941214478,0.006568051280848139,0.007215333859200006,SELL
JSTL,Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.004225513659056412,0.004223108340754341,0.003682382719345435,HOLD
JSTL,Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.004723420860439906,0.005715050015226695,0.005252110125530034,BUY
JSTL,Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.003989284544467632,0.0036973938373162465,0.003316426049490784,HOLD
JSTL,Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.007821555186307326,0.007938245561859137,0.007820972666916944,BUY
JSTL,Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.005222605648604103,0.005211944481139776,0.004693900558878317,HOLD
JSTL,Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.005627472234406381,0.006440302771630856,0.004929044867164577,BUY
JSTL,Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.0046954605493375,0.004876685187086192,0.004576673806139994,BUY
JSTL,Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.004695876964592759,0.0046071424292443985,0.0056593734931908645,SELL
JSTL,Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.004117843223338463,0.004877950614827475,0.0033530315742747287,BUY
JSTL,Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.005143091384718842,0.005241358991089913,0.005854202240296642,SELL
JSTL,Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0036225870788304396,0.0046934978642564455,0.0029757526394277615,BUY
JSTL,Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.006866421210375664,0.008197383843000037,0.005766418167678387,BUY
JSTL,Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
JSTL,Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
