Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
KTKMc1_NS,Expected SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.00041877043295046015,-0.0006087678028243663,-0.0014032052515655985,HOLD
KTKMc1_NS,Expected SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0022096436579057154,-0.0018305962255465921,-0.0004978842209584943,SELL
KTKMc1_NS,Expected SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0003482004488164558,-0.0007657479415493985,-0.001401587969890945,HOLD
KTKMc1_NS,Expected SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.002906594168179689,-0.0025402507267515005,-6.313695122657938e-05,SELL
KTKMc1_NS,Expected SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.00042353496319601274,-0.0006627065703145305,-0.0014245293057166314,HOLD
KTKMc1_NS,Expected SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0006405774719563735,-0.0006630850136952687,-0.0010275236063385404,HOLD
KTKMc1_NS,Expected SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.00042319748977927366,-0.0008929720532697221,-0.0014310855426257797,HOLD
KTKMc1_NS,Expected SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.018339092446264093,-0.00256527554527314,-0.0017725960939133267,SELL
KTKMc1_NS,Expected SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.00040055765403633725,-0.00021592816218522017,-0.0014188098977483672,BUY
KTKMc1_NS,Expected SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0006160851728398901,-0.00043063051855996677,-0.0002667305800273836,SELL
KTKMc1_NS,Expected SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0004494429642411043,0.0007952877827359786,-0.0014880161000657122,BUY
KTKMc1_NS,Expected SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.0004736856410934221,0.001119217008561158,-0.0014065399028218273,BUY
KTKMc1_NS,Expected SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0003844851417788706,-0.00043078722641469485,-0.0012992153900176213,HOLD
KTKMc1_NS,Expected SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0002272955624567716,-0.002319560528648457,-0.0009507844751453445,HOLD
KTKMc1_NS,Expected SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.00015856002399465877,-0.0003680207870127748,-0.0012541128965719152,HOLD
KTKMc1_NS,Expected SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0014471950568713354,-0.0014575387502075827,7.821253570296252e-06,SELL
KTKMc1_NS,Expected SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
KTKMc1_NS,Expected SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
