Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
KTKMc1_NS,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,7.619660549104166e-05,HOLD
KTKMc1_NS,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,8.026405566505902e-05,HOLD
KTKMc1_NS,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,7.663338025915521e-05,HOLD
KTKMc1_NS,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.943850661212045e-05,HOLD
KTKMc1_NS,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.00011082137474896217,BUY
KTKMc1_NS,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.00012733649018474677,BUY
KTKMc1_NS,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,7.084020503040106e-05,HOLD
KTKMc1_NS,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,5.536263016517383e-05,SELL
KTKMc1_NS,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.00015228357283184234,BUY
KTKMc1_NS,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0001773713862023407,BUY
KTKMc1_NS,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.00015081734850493292,BUY
KTKMc1_NS,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00016645915960907743,BUY
KTKMc1_NS,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,9.053656912037862e-05,BUY
KTKMc1_NS,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00010438404987843269,HOLD
KTKMc1_NS,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00011519293795574101,BUY
KTKMc1_NS,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00012982114803178392,BUY
KTKMc1_NS,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
KTKMc1_NS,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
KTKMc1_NS,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
