Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
MAHM,Double Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-1.732637448005228e-05,-7.57237781993321e-05,-0.0010282555068905457,HOLD
MAHM,Double Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00031254194326769827,-0.0003455027664614414,-4.6976078535358046e-05,SELL
MAHM,Double Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-3.909041563963017e-05,-9.954224619345683e-05,-0.001044822307153189,HOLD
MAHM,Double Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0002271435217524272,-0.0004078574681810269,-4.968511930940584e-05,SELL
MAHM,Double Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-1.9402247742231367e-05,-9.33982608342013e-05,-0.0010381296001831545,HOLD
MAHM,Double Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0003683636302763701,-0.00037745614643609846,-4.766937440574097e-05,SELL
MAHM,Double Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-3.080008514158759e-05,-0.00016739174876904234,-0.0010598679818356604,HOLD
MAHM,Double Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0006267143948762873,-0.0005300319742072211,-8.063481653882646e-05,SELL
MAHM,Double Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-2.1727675985924985e-05,-9.557046987114339e-05,-0.0010615171697070961,HOLD
MAHM,Double Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0030102199282120248,-0.003152870104894572,-6.191410651481137e-05,SELL
MAHM,Double Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0002074135186134691,1.673677056495874e-05,-0.001091012023095311,BUY
MAHM,Double Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,8.564468285738935e-05,-0.00021884133558767023,-0.00016948166774944826,HOLD
MAHM,Double Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-2.5001112292835952e-05,-6.61233353732073e-05,-0.0010257324860926441,HOLD
MAHM,Double Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00047594260760120403,-0.00066738114153795,-3.861559500547526e-05,SELL
MAHM,Double Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.00010468957510643272,1.2814993161760585e-05,-0.0010408741308988159,BUY
MAHM,Double Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00013070405549107236,-0.0001540648422162671,-5.006136424294918e-05,SELL
MAHM,Double Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0003984743834777495,-0.00025369870003320773,-0.000736384066543102,BUY
MAHM,Double Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0014872074142583743,-0.0016205979578395055,-0.0012389546570800486,SELL
MAHM,Double Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MAHM,Double Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
