Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
MRTI,Double Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.00018640310010842927,-0.0010030596164412745,-0.0013287433262015819,HOLD
MRTI,Double Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0013819276193796923,-0.0011953971506349238,-0.0004333662058727025,SELL
MRTI,Double Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0003503979776656947,-0.0003912294316310165,-0.0013143604563447743,HOLD
MRTI,Double Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0011631025279075708,-0.0009173079208207554,-0.00041595619637895356,SELL
MRTI,Double Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.00017115014098079544,-0.0008395419961347325,-0.0013640021216449196,HOLD
MRTI,Double Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0011979383397774611,-0.0015011011935434082,-0.0005502223084173227,SELL
MRTI,Double Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0002559800862549505,-0.0010516568622965686,-0.0014023798488167363,HOLD
MRTI,Double Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0030963785311616246,-0.002736111925955115,-0.0005055325796843679,SELL
MRTI,Double Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0003276169079617829,-0.0008307748066837447,-0.001360469211188601,HOLD
MRTI,Double Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.001765957700659332,-0.0013764185122138305,-0.0005307423992791094,SELL
MRTI,Double Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0008494497906011776,-0.0008888297811884097,-0.0016116167905658055,HOLD
MRTI,Double Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.005135344612909602,-0.004338340351757345,-0.0007731682318951389,SELL
MRTI,Double Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.00023993812408223475,-0.0011170827348174637,-0.0013014600962252048,HOLD
MRTI,Double Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00236405323057267,-0.002030381542419454,-0.0005899952290413268,SELL
MRTI,Double Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.00043219907537429727,-0.0009134753573530047,-0.0014826150562231065,HOLD
MRTI,Double Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00214139913294365,-0.0016956292460030616,-0.0005404246176682232,SELL
MRTI,Double Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.00052012172505714,-0.0017070676551891601,-0.0016522566398181934,HOLD
MRTI,Double Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.003365425092710858,-0.002603691111651878,-0.0029281363716390915,BUY
MRTI,Double Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
MRTI,Double Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
