Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
MRTI,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0009823717856655661,BUY
MRTI,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.001060019385495626,HOLD
MRTI,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0007210356185708644,BUY
MRTI,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0007908547018527564,HOLD
MRTI,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.001120064527854344,BUY
MRTI,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0012118842259898615,BUY
MRTI,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00064161030858292,HOLD
MRTI,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0005663990768367414,SELL
MRTI,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.0010411797821848307,BUY
MRTI,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.001151510068001621,BUY
MRTI,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.0007076911511531449,BUY
MRTI,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.0007726162551450071,HOLD
MRTI,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0008980931048307656,BUY
MRTI,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0009801563927407744,HOLD
MRTI,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0006415959651239701,HOLD
MRTI,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0006183758011591172,HOLD
MRTI,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0006087508056215556,HOLD
MRTI,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0005339717141271474,SELL
MRTI,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
MRTI,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
MRTI,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
