Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
REDY,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,6.53703087920515e-05,HOLD
REDY,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,6.773744818950125e-05,HOLD
REDY,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.760595438872849e-05,BUY
REDY,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,7.469387326272163e-05,HOLD
REDY,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.00010316361473837152,BUY
REDY,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.00011577987741251962,BUY
REDY,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,7.94707279577011e-05,BUY
REDY,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,8.724007713010646e-05,HOLD
REDY,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.00015112992351466213,BUY
REDY,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.00018357029420704607,BUY
REDY,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,4.541473009948765e-05,BUY
REDY,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,5.223059866687125e-05,HOLD
REDY,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,7.283934950474264e-05,HOLD
REDY,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,6.441210626383041e-05,SELL
REDY,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,4.933200775859439e-05,HOLD
REDY,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,5.018995900978703e-05,HOLD
REDY,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
REDY,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
REDY,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
