Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
RELI,Double Q-Learning,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,1.7548999242215707e-05,-0.0001488431271133413,-0.0009839954119578418,HOLD
RELI,Double Q-Learning,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00048579314476724923,-0.00044412300686328494,-0.0002554396818853326,SELL
RELI,Double Q-Learning,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-2.7772767582136406e-05,-3.585890290742957e-05,-0.0010010005420818383,HOLD
RELI,Double Q-Learning,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0002747898247409739,-0.00029087879288617333,-0.0002014196914725237,SELL
RELI,Double Q-Learning,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,1.2262720464621815e-05,-2.4468360252359977e-05,-0.0009986358706949782,HOLD
RELI,Double Q-Learning,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0004161913477720591,-0.00041793653445195154,-0.00010262715484540317,SELL
RELI,Double Q-Learning,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-2.301014449807569e-05,-4.901023864017687e-05,-0.0010167207851441433,HOLD
RELI,Double Q-Learning,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0003483837885585294,-0.0003769755354992424,-0.0005809538383959942,HOLD
RELI,Double Q-Learning,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.00023532015281442525,0.0001982103602979351,-0.0010763241187869699,BUY
RELI,Double Q-Learning,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0001019833576110107,0.0007579624204470928,-1.3379977537175198e-05,BUY
RELI,Double Q-Learning,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,1.4950759643863374e-05,-1.6775570139520662e-05,-0.0010292758443845946,HOLD
RELI,Double Q-Learning,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0003964853880085667,-0.0009201776890269656,0.00015651581186969487,SELL
RELI,Double Q-Learning,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,4.043987955000352e-05,2.248602465048894e-05,-0.0009655895542590625,HOLD
RELI,Double Q-Learning,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00044011690178904833,-0.0003753027039352215,-0.00040245647979684124,BUY
RELI,Double Q-Learning,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,1.0548571424031295e-05,-1.9780668248544882e-05,-0.000995973682865827,HOLD
RELI,Double Q-Learning,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.000624245902872955,-0.000336746974118413,-0.0003179626893682638,HOLD
RELI,Double Q-Learning,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
RELI,Double Q-Learning,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
