Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
SUN,Expected SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0003533313964873099,-0.0002266058471919275,-0.0012965706636851992,BUY
SUN,Expected SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,9.693831921653714e-05,-0.00021970877408002105,-0.0003433716838520761,HOLD
SUN,Expected SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0004041744317896566,-0.00032825335107214084,-0.0013939783954964582,BUY
SUN,Expected SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0005816217545517911,-0.0003819009816172569,-0.0004003419937915918,BUY
SUN,Expected SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0003257643310820786,-0.00017537652415344112,-0.0013451922008040557,BUY
SUN,Expected SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-5.078965020006488e-06,-0.0003030043842222124,-0.00035488722902515926,HOLD
SUN,Expected SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0003614000100017901,-0.00038012085762011356,-0.001396068586317849,HOLD
SUN,Expected SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0004997884327459667,-0.0004671890037412617,-0.00036755258407602457,SELL
SUN,Expected SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.00033815265523680506,-0.0004592231764188653,-0.0014252378048508268,HOLD
SUN,Expected SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0013481070174197077,-0.002134102339789111,-0.0001985503251415295,SELL
SUN,Expected SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0004180506062203158,-0.0004695107693879457,-0.0014282005508458185,HOLD
SUN,Expected SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0014820460896948226,-0.0011645728484153373,-0.0004451267830837682,SELL
SUN,Expected SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.00034644551384144907,-0.0003658329640167129,-0.0013695486789963313,HOLD
SUN,Expected SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0006611847856673108,-0.000532772628920416,-0.0003031991240051297,SELL
SUN,Expected SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.00038933022412903414,-0.0004362496024838029,-0.001416679100552163,HOLD
SUN,Expected SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00045724424719665284,-0.0007401785454567027,-0.0003341319558478673,SELL
SUN,Expected SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Expected SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
