Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
SUN,Monte Carlo,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.002056917879062513,-0.0018730235418717943,-0.0033454014145124973,BUY
SUN,Monte Carlo,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0073421077917855725,-0.0073847051787933144,-0.007025695629670333,SELL
SUN,Monte Carlo,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0011905285557962417,-0.0006125390864739081,-0.0026304970327396915,BUY
SUN,Monte Carlo,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00021334281358288974,0.0007948840596120234,0.00018430330947681356,BUY
SUN,Monte Carlo,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.000865085762236981,8.27787160633486e-05,-0.002050658831804397,BUY
SUN,Monte Carlo,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0013563460548985332,-0.004615581937633538,-0.0025233181754486574,HOLD
SUN,Monte Carlo,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0019669928972671615,-0.00042509273877808625,-0.00242588498070111,BUY
SUN,Monte Carlo,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0004614572027174791,-0.0014027979136257915,-0.0012584760105569064,HOLD
SUN,Monte Carlo,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0018622635306577361,-0.0010209515166739404,-0.003058025153050387,BUY
SUN,Monte Carlo,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,1.6002429593314034e-05,-0.003905766453783624,-0.004345603407402228,HOLD
SUN,Monte Carlo,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0017756065396517182,-0.0011903955369883383,-0.002982492688893878,BUY
SUN,Monte Carlo,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00014901969627635907,0.0022347707507031044,-0.00012544739979204105,BUY
SUN,Monte Carlo,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0021547830186470452,-0.0015865502378129177,-0.0029701316192458278,BUY
SUN,Monte Carlo,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.007961312394881044,-0.0017454975155328373,-0.007133581907083792,BUY
SUN,Monte Carlo,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.002199307915858612,-0.0002652699922451063,-0.0030433707524481156,BUY
SUN,Monte Carlo,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0016130982393663998,0.0009996766230910275,0.0005058024266841965,HOLD
SUN,Monte Carlo,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
SUN,Monte Carlo,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
