Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
SUN,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.00013881065223838036,BUY
SUN,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0001548933917223017,BUY
SUN,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,8.603754975829588e-05,BUY
SUN,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,9.257269281953768e-05,HOLD
SUN,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.00010465987350186623,HOLD
SUN,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.00010667829839903024,HOLD
SUN,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,7.347058796670709e-05,HOLD
SUN,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,6.613904164149552e-05,SELL
SUN,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,8.632370302727793e-05,BUY
SUN,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,9.427693568718113e-05,HOLD
SUN,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,8.130562353445369e-05,BUY
SUN,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,8.746257009502281e-05,HOLD
SUN,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,9.124571384091544e-05,HOLD
SUN,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,8.847526060332115e-05,HOLD
SUN,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.00010138474644535978,BUY
SUN,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00010954969062337844,BUY
SUN,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
SUN,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
SUN,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
