Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
TACN,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,8.182541125641626e-05,BUY
TACN,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,8.75632535095925e-05,HOLD
TACN,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,7.830328374021455e-05,BUY
TACN,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,8.334525408993396e-05,BUY
TACN,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,8.321109548532569e-05,BUY
TACN,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,8.969330499719849e-05,HOLD
TACN,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,7.646675286938444e-05,BUY
TACN,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,7.983152188014696e-05,HOLD
TACN,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,7.529593233473706e-05,HOLD
TACN,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,6.86964632017039e-05,SELL
TACN,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,9.071772063530064e-05,BUY
TACN,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.00010037277956346312,BUY
TACN,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,9.374814445272198e-05,BUY
TACN,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.00010260805826505266,BUY
TACN,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.88919318177404e-05,HOLD
TACN,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.453697041893814e-05,SELL
TACN,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,9.598062323467238e-05,BUY
TACN,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,9.717362383108507e-05,HOLD
TACN,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
TACN,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
