Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
TACN,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,7.858551678366888e-05,BUY
TACN,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,8.432335903684512e-05,HOLD
TACN,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,7.508465630956959e-05,BUY
TACN,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,8.012662665928899e-05,BUY
TACN,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,7.981117991996968e-05,BUY
TACN,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,8.629338943184248e-05,HOLD
TACN,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,7.302436601861075e-05,BUY
TACN,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,7.638913502937327e-05,HOLD
TACN,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,7.263032522100722e-05,HOLD
TACN,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,6.603085608797407e-05,SELL
TACN,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,8.83073717729483e-05,BUY
TACN,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,9.796243070111078e-05,BUY
TACN,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,9.075189897747525e-05,BUY
TACN,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,9.961181278980592e-05,BUY
TACN,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.61716990520237e-05,HOLD
TACN,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.181673765322144e-05,SELL
TACN,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,9.300914591095167e-05,BUY
TACN,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,9.420214650736436e-05,HOLD
TACN,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
TACN,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
TACN,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
