Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
TAMO,Monte Carlo,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0021854024184451313,-0.0017545828699187262,-0.0031841597510962006,BUY
TAMO,Monte Carlo,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.003359423503063962,-0.0018279345402985243,-0.003284930978166931,BUY
TAMO,Monte Carlo,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0019771914804896113,-0.0014524505655080094,-0.002764823498333504,BUY
TAMO,Monte Carlo,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0010256122730912672,-0.0012994114529721148,-0.0015503912498501977,HOLD
TAMO,Monte Carlo,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0013497393379231638,-0.0012370683582320228,-0.002778941515379389,BUY
TAMO,Monte Carlo,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0020283217601063832,-0.0030530460785821653,-0.0044452760686807475,HOLD
TAMO,Monte Carlo,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.001718816903724425,-0.001163081044442782,-0.0026294200916207626,BUY
TAMO,Monte Carlo,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.00014423100045381424,-0.00016760799969933745,-0.00019608421889501685,HOLD
TAMO,Monte Carlo,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.002527659891260405,-0.0024344787568692993,-0.00328825683430835,BUY
TAMO,Monte Carlo,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.003209821870884885,-0.00278362866570395,-0.0032728209363318854,BUY
TAMO,Monte Carlo,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.002770582153186257,-0.0016559486418414482,-0.0030579337623800316,BUY
TAMO,Monte Carlo,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.004114117140395617,-0.004110488408079706,-0.004050336315184437,SELL
TAMO,Monte Carlo,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.002226701259239982,-0.001754385264734084,-0.003720153620521116,BUY
TAMO,Monte Carlo,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0016492796236326184,-0.001438808605485425,-0.0015946125646303002,BUY
TAMO,Monte Carlo,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0021868859700442727,-0.0013284070130740561,-0.002944192312944203,BUY
TAMO,Monte Carlo,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0014166566350288347,-0.0009063876391643234,-0.0017277096409593522,BUY
TAMO,Monte Carlo,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TAMO,Monte Carlo,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
