Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
TAMOc1_NS,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,7.601749076579279e-05,BUY
TAMOc1_NS,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,8.592983812516277e-05,BUY
TAMOc1_NS,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,7.070143926987796e-05,BUY
TAMOc1_NS,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,7.378584882662714e-05,HOLD
TAMOc1_NS,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,5.988520675578619e-05,HOLD
TAMOc1_NS,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,5.3926952274495964e-05,SELL
TAMOc1_NS,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.00010765479269523616,BUY
TAMOc1_NS,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00011775582698842849,BUY
TAMOc1_NS,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,4.746848271169426e-05,HOLD
TAMOc1_NS,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,4.250537451383101e-05,SELL
TAMOc1_NS,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,6.735837054248278e-05,BUY
TAMOc1_NS,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,7.242385352899277e-05,BUY
TAMOc1_NS,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,5.1776314961759805e-05,HOLD
TAMOc1_NS,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,4.6964236077305775e-05,SELL
TAMOc1_NS,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,6.318680541773198e-05,BUY
TAMOc1_NS,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,6.66735299930179e-05,HOLD
TAMOc1_NS,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
TAMOc1_NS,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
TAMOc1_NS,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
