Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
TISC,Expected SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-5.659119527930465e-05,-2.2610799148896443e-05,-0.000999702453282919,BUY
TISC,Expected SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-5.562429935395492e-05,-7.78322924894002e-05,-0.00010259656887215731,HOLD
TISC,Expected SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-6.471746203616032e-05,-6.158767634501914e-05,-0.0009733405678234408,BUY
TISC,Expected SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0001870128410022907,-0.0002158248768495795,-4.715254191545802e-05,SELL
TISC,Expected SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-8.626397709077599e-05,-5.470907453014351e-05,-0.0010562040662390193,BUY
TISC,Expected SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-7.796869592323093e-05,-0.00032834613028482024,-0.00014273248417172985,HOLD
TISC,Expected SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-2.1564610409567732e-05,-9.288272513613617e-06,-0.0009681834657039314,BUY
TISC,Expected SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-3.201498741540844e-05,-2.4352602260399964e-05,-3.547507353770126e-05,BUY
TISC,Expected SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-8.412452845375802e-05,-2.4416257905362256e-05,-0.0010301450985725756,BUY
TISC,Expected SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.00010573239135064237,-5.4343916000299006e-05,-4.606209295915031e-05,SELL
TISC,Expected SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-5.933150923801365e-05,-4.953977984720023e-05,-0.0010428014706833268,BUY
TISC,Expected SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0004080936456210282,-0.0003936117151326158,-0.00012464282209013894,SELL
TISC,Expected SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-6.815310673944513e-05,-5.2560697955571415e-05,-0.0010084240707752112,BUY
TISC,Expected SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-5.236117521170964e-05,-0.00014312545165016166,-0.0001380475681013586,HOLD
TISC,Expected SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-3.214753407673226e-05,-2.078599598896397e-05,-0.0010012842161148151,BUY
TISC,Expected SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-1.897195732859519e-05,-7.311725065329086e-05,-4.8619330680619866e-05,HOLD
TISC,Expected SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,5.314368287685888e-06,0.0001881334217314947,-9.250077655862957e-05,BUY
TISC,Expected SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,-5.125079756999608e-05,-0.0004484886481292208,-0.0005035066551990351,HOLD
TISC,Expected SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Expected SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
