Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
TISC,Monte Carlo,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0024077345985063824,-0.0013336039225115186,-0.002989109474679101,BUY
TISC,Monte Carlo,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.00022238707799989064,-0.00013928444001009554,-0.00026179779981896304,BUY
TISC,Monte Carlo,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0024175931450904882,-0.0011949188915049678,-0.002589012698074056,BUY
TISC,Monte Carlo,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.00040186639461919,-0.0001697016237826446,-0.00047508950804330674,BUY
TISC,Monte Carlo,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0024377719217151964,-0.0016182343813746442,-0.0033395127080897316,BUY
TISC,Monte Carlo,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.000444395779792525,-0.00035357784048079444,-0.0003554341002501516,BUY
TISC,Monte Carlo,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0014844508689889054,-0.001064731021753885,-0.002827286712245419,BUY
TISC,Monte Carlo,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.00039978861554929734,-0.0004165952415997055,-0.0004337832083061304,HOLD
TISC,Monte Carlo,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.001851353763333414,-0.0009655024337791206,-0.003053212769719048,BUY
TISC,Monte Carlo,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.00023260527449382867,-0.0001463756380508768,-0.00025326863575498036,BUY
TISC,Monte Carlo,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0018823157632000688,-0.0011663200190720274,-0.002685872140714844,BUY
TISC,Monte Carlo,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.0005387331138368945,-0.0003138711867569876,-0.0006398992034012074,BUY
TISC,Monte Carlo,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0021339514573953675,-0.0009375811944538064,-0.00262973720484199,BUY
TISC,Monte Carlo,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0003423906064165779,-0.00033645118074699694,-0.0004943103497857727,BUY
TISC,Monte Carlo,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0012507373236525026,-0.0005916234863620244,-0.0023334947902087697,BUY
TISC,Monte Carlo,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.000435591971540239,-0.00040879792567320223,-0.0006647306781968303,BUY
TISC,Monte Carlo,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.027244167697008416,-0.03002018619838901,-0.02766969276198301,HOLD
TISC,Monte Carlo,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TISC,Monte Carlo,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
