Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
TREN,Monte Carlo,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0013624166985497003,-0.0006204669396270799,-0.002298421868274169,BUY
TREN,Monte Carlo,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0005980187337087178,-0.0004646604705014919,-0.0007756716808897506,BUY
TREN,Monte Carlo,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0014841934717880433,-0.0009773176087344627,-0.0031958355619596816,BUY
TREN,Monte Carlo,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.000377233609090701,-0.0005314846847302525,-0.00048003556465217584,HOLD
TREN,Monte Carlo,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0024293148664036135,-0.0011132104392672095,-0.0029561212583693063,BUY
TREN,Monte Carlo,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0004169173852174583,0.00039514987431834284,0.00041218030347791196,HOLD
TREN,Monte Carlo,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0018348876240911534,-0.0011107494448646638,-0.0030773704066378214,BUY
TREN,Monte Carlo,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.00018319699377426153,0.00018938271231190026,0.00019089313437544044,SELL
TREN,Monte Carlo,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0016310103059691205,-0.0009980193348154715,-0.002929495910287685,BUY
TREN,Monte Carlo,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0012564888157108182,-0.0012650840307062508,-0.0012524402907803302,SELL
TREN,Monte Carlo,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.0015289740663206124,-0.001487992300126859,-0.0025946430436009464,BUY
TREN,Monte Carlo,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,1.7923514249355628e-05,1.1834491339755746e-05,-2.068886188352803e-05,HOLD
TREN,Monte Carlo,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.001791339628882173,-0.0007331595091484715,-0.0023772637637309185,BUY
TREN,Monte Carlo,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0007278995559109146,-0.0004078209148537333,-0.0008343157070414799,BUY
TREN,Monte Carlo,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.001606013083821973,-0.0010653109189172469,-0.0028496062190772786,BUY
TREN,Monte Carlo,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.00018045854656355796,0.0001726445647098184,0.00021117444274814108,SELL
TREN,Monte Carlo,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
TREN,Monte Carlo,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
