Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
ULTC,Expected SARSA,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.00018588871441056347,-0.0006040782851078165,-0.0014688735824228707,HOLD
ULTC,Expected SARSA,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0018912397576979338,-0.0023971740240958184,-0.00040551385531846507,SELL
ULTC,Expected SARSA,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0003816018361696822,-0.0011704685130948188,-0.0015741450645493237,HOLD
ULTC,Expected SARSA,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0006141215060713194,-0.0013600620172802913,-0.0006692778292836863,HOLD
ULTC,Expected SARSA,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0003162194148795723,-0.0007944840482257498,-0.0015698639100145168,HOLD
ULTC,Expected SARSA,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,5.076448752237919e-05,-0.002652869049717685,-0.0027100819094885704,HOLD
ULTC,Expected SARSA,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0005935192979609362,0.0005627329563106084,-0.0015933334861405809,BUY
ULTC,Expected SARSA,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0023738037569904988,-0.0032167666243764935,0.005607142671585929,SELL
ULTC,Expected SARSA,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0005002826592263297,0.0011691068464368022,-0.0014977073031503124,BUY
ULTC,Expected SARSA,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0025030956090208376,-0.0012027116176390785,-0.003282379978398745,HOLD
ULTC,Expected SARSA,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.00022766896332309335,-0.0007352230285654061,-0.0015502037272019206,HOLD
ULTC,Expected SARSA,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.002860853472056404,-0.0012326220393232658,0.0008023231014882934,SELL
ULTC,Expected SARSA,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-9.459233657116587e-05,-0.0004802299609401908,-0.0013980931465828047,HOLD
ULTC,Expected SARSA,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0012646709278844755,-0.002308300156769236,6.0558393865866e-05,SELL
ULTC,Expected SARSA,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0004265003670275489,0.002289099775630982,-0.001575034766342815,BUY
ULTC,Expected SARSA,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0029339316445099657,-0.0002676288445409883,-0.005713434857700305,HOLD
ULTC,Expected SARSA,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
ULTC,Expected SARSA,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
