Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
ULTC,Policy Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0007594144043746504,BUY
ULTC,Policy Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0008216327906279545,HOLD
ULTC,Policy Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0005956005332891591,BUY
ULTC,Policy Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.000646113788336232,HOLD
ULTC,Policy Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,0.0007007077465413856,BUY
ULTC,Policy Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,0.0007608518154782932,HOLD
ULTC,Policy Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0005347514902205193,BUY
ULTC,Policy Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0005894229919877994,HOLD
ULTC,Policy Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,0.0010974183314012556,BUY
ULTC,Policy Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,0.0012676782700015371,BUY
ULTC,Policy Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,0.0006850544515956772,BUY
ULTC,Policy Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,0.0007277556478902823,HOLD
ULTC,Policy Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,0.0007974465756439432,BUY
ULTC,Policy Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,0.0008568162779055209,HOLD
ULTC,Policy Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,0.0005556634011303756,HOLD
ULTC,Policy Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,0.0005938559480738555,HOLD
ULTC,Policy Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
ULTC,Policy Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
ULTC,Policy Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
