Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Q_HOLD,Q_BUY,Q_SELL,Best_Action
WIPR,Monte Carlo,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0023108406212205656,-0.0012426961018455543,-0.002738627143966167,BUY
WIPR,Monte Carlo,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0006559870182945058,-0.0006813314895817974,-0.0008958547030316043,HOLD
WIPR,Monte Carlo,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0016194979997156225,-0.00116010276836888,-0.0026248491197947152,BUY
WIPR,Monte Carlo,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.0006629807459590403,-0.0005320117517866021,-0.0007117551942727314,BUY
WIPR,Monte Carlo,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,-0.0019033081704644655,-0.0011952728350415269,-0.004002692376526968,BUY
WIPR,Monte Carlo,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,-0.0008812600188240209,-0.0006890874214842754,-0.0010945851682916878,BUY
WIPR,Monte Carlo,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,-0.0013746553405824412,-0.000571388421741828,-0.0022190187551976784,BUY
WIPR,Monte Carlo,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,-0.0006010226906333044,-0.00037161474857445214,-0.0007324035029390415,BUY
WIPR,Monte Carlo,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,-0.0018227756762468552,-0.00115889535946711,-0.0024180820259076807,BUY
WIPR,Monte Carlo,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,-0.0005347487669324446,-0.000569003362805943,-0.0005314613538546736,SELL
WIPR,Monte Carlo,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,-0.00214295130476412,-0.0010571590456096406,-0.003078787914779957,BUY
WIPR,Monte Carlo,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,-0.00041341478625650703,-0.0004421855120796226,-0.00041680661826001966,HOLD
WIPR,Monte Carlo,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,-0.0019604735745771752,-0.001424333509304715,-0.0028449584847624236,BUY
WIPR,Monte Carlo,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,-0.0008620613767054853,-0.0008876384676853321,-0.0009292678777560562,HOLD
WIPR,Monte Carlo,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,-0.0018560847538316647,-0.0011119282528186355,-0.002750517834719967,BUY
WIPR,Monte Carlo,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,-0.001125165619818234,-0.0010768455991931269,-0.001164235081012225,BUY
WIPR,Monte Carlo,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,0.0,0.0,HOLD
WIPR,Monte Carlo,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,0.0,0.0,HOLD
