Company,Algorithm,State_ID,Trend,RSI,Volatility,Position,Value,Best_Action
WIPR,Value Iteration,0,BULLISH,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,1,BULLISH,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,2,BULLISH,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,3,BULLISH,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,4,BULLISH,RSI_NORMAL,LOW_VOLATILITY,0,4.269716863570313e-06,HOLD
WIPR,Value Iteration,5,BULLISH,RSI_NORMAL,LOW_VOLATILITY,1,4.6834796221842366e-06,HOLD
WIPR,Value Iteration,6,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,0,2.191692894826456e-05,BUY
WIPR,Value Iteration,7,BULLISH,RSI_NORMAL,HIGH_VOLATILITY,1,2.4692945791984156e-05,BUY
WIPR,Value Iteration,8,BULLISH,RSI_HIGH,LOW_VOLATILITY,0,4.1933614710036194e-06,HOLD
WIPR,Value Iteration,9,BULLISH,RSI_HIGH,LOW_VOLATILITY,1,4.38875721795806e-06,HOLD
WIPR,Value Iteration,10,BULLISH,RSI_HIGH,HIGH_VOLATILITY,0,2.9238450027803485e-05,BUY
WIPR,Value Iteration,11,BULLISH,RSI_HIGH,HIGH_VOLATILITY,1,3.257298406932959e-05,BUY
WIPR,Value Iteration,12,BEARISH,RSI_LOW,LOW_VOLATILITY,0,2.7059351482940037e-06,HOLD
WIPR,Value Iteration,13,BEARISH,RSI_LOW,LOW_VOLATILITY,1,1.281940966550522e-06,SELL
WIPR,Value Iteration,14,BEARISH,RSI_LOW,HIGH_VOLATILITY,0,8.109397590927756e-06,HOLD
WIPR,Value Iteration,15,BEARISH,RSI_LOW,HIGH_VOLATILITY,1,6.25029869115923e-06,SELL
WIPR,Value Iteration,16,BEARISH,RSI_NORMAL,LOW_VOLATILITY,0,3.819427856973191e-06,HOLD
WIPR,Value Iteration,17,BEARISH,RSI_NORMAL,LOW_VOLATILITY,1,4.044205381061488e-06,HOLD
WIPR,Value Iteration,18,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,0,1.3342314872029341e-05,BUY
WIPR,Value Iteration,19,BEARISH,RSI_NORMAL,HIGH_VOLATILITY,1,1.5033793027862496e-05,HOLD
WIPR,Value Iteration,20,BEARISH,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,21,BEARISH,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,22,BEARISH,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,23,BEARISH,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,24,NEUTRAL,RSI_LOW,LOW_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,25,NEUTRAL,RSI_LOW,LOW_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,26,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,27,NEUTRAL,RSI_LOW,HIGH_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,28,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,29,NEUTRAL,RSI_NORMAL,LOW_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,30,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,31,NEUTRAL,RSI_NORMAL,HIGH_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,32,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,33,NEUTRAL,RSI_HIGH,LOW_VOLATILITY,1,0.0,HOLD
WIPR,Value Iteration,34,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,0,0.0,HOLD
WIPR,Value Iteration,35,NEUTRAL,RSI_HIGH,HIGH_VOLATILITY,1,0.0,HOLD
